ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.00,0.02,1.01,0.14,-1.96,0.63,167,112,142,09/11/2022 08:11:50
-0.00,0.02,1.00,0.35,-1.82,0.56,222,161,268,09/11/2022 08:11:50
-0.01,0.02,1.00,0.49,-2.03,0.56,17,50,22,09/11/2022 08:11:50
-0.01,0.02,1.00,0.35,-1.96,0.56,220,144,225,09/11/2022 08:11:50
-0.01,0.03,1.01,0.14,-1.96,0.49,135,123,187,09/11/2022 08:11:50
0.00,0.05,0.91,-4.13,-1.96,0.49,169,113,132,09/11/2022 08:11:50
-0.00,0.03,1.00,0.07,-2.03,0.63,242,176,299,09/11/2022 08:11:50
-0.00,0.03,1.00,0.21,-1.96,0.56,6,45,0,09/11/2022 08:11:51
-0.01,0.02,1.00,0.07,-1.96,0.56,250,161,266,09/11/2022 08:11:51
-0.00,0.03,1.00,0.49,-2.66,0.63,48,84,118,09/11/2022 08:11:51
-0.01,0.03,1.00,0.28,-1.96,0.63,102,79,80,09/11/2022 08:11:51
-0.00,0.02,1.01,0.14,-1.89,0.63,80,95,143,09/11/2022 08:11:51
-0.01,0.02,1.01,0.14,-1.96,0.56,89,74,66,09/11/2022 08:11:51
-0.01,0.03,1.00,0.14,-1.96,0.63,193,151,263,09/11/2022 08:11:51
-0.00,0.02,1.00,0.14,-1.89,0.56,25,48,1,09/11/2022 08:11:51
-0.00,0.02,1.01,0.21,-1.96,0.56,222,160,290,09/11/2022 08:11:51
-0.00,0.02,1.00,0.28,-2.03,0.56,20,56,31,09/11/2022 08:11:51
-0.00,0.03,1.00,0.28,-1.89,0.56,181,118,167,09/11/2022 08:11:51
-0.00,0.02,1.00,0.14,-1.96,0.56,102,109,172,09/11/2022 08:11:51
-0.00,0.02,1.01,0.14,-1.89,0.63,116,87,93,09/11/2022 08:11:51
-0.01,0.02,1.00,0.21,-1.96,0.56,215,161,284,09/11/2022 08:11:51
-0.01,0.03,1.00,0.21,-1.96,0.56,7,41,0,09/11/2022 08:11:51
-0.00,0.02,1.00,0.07,-1.96,0.56,230,161,284,09/11/2022 08:11:51
-0.01,0.02,1.00,0.21,-1.96,0.63,22,56,39,09/11/2022 08:11:51
-0.00,0.02,1.00,0.07,-1.96,0.56,152,105,139,09/11/2022 08:11:51
-0.00,0.03,1.01,0.35,-2.03,0.56,225,155,251,09/11/2022 08:11:51
-0.00,0.02,1.00,0.21,-1.96,0.56,152,133,209,09/11/2022 08:11:52
-0.00,0.02,1.00,-0.07,-1.89,0.56,30,50,3,09/11/2022 08:11:52
-0.01,0.02,1.00,0.07,-2.03,0.56,237,167,294,09/11/2022 08:11:52
-0.01,0.02,1.00,0.28,-1.89,0.56,216,163,284,09/11/2022 08:11:52
-0.00,0.02,1.00,0.21,-1.96,0.49,148,130,209,09/11/2022 08:11:52
-0.01,0.02,1.01,0.21,-1.96,0.49,33,49,9,09/11/2022 08:11:52
-0.00,0.02,1.00,0.21,-1.96,0.56,251,172,299,09/11/2022 08:11:52
-0.01,0.02,1.00,0.21,-1.96,0.56,22,55,31,09/11/2022 08:11:52
-0.00,0.02,1.00,0.14,-1.96,0.56,191,128,179,09/11/2022 08:11:52
-0.01,0.02,1.00,0.28,-1.96,0.49,125,114,165,09/11/2022 08:11:52
-0.01,0.03,1.01,0.14,-1.96,0.63,71,71,59,09/11/2022 08:11:52
-0.00,0.02,1.01,0.21,-1.89,0.56,246,165,279,09/11/2022 08:11:52
-0.00,0.02,1.00,0.21,-1.89,0.49,5,45,0,09/11/2022 08:11:52
-0.01,0.03,1.01,0.28,-1.89,0.63,253,164,272,09/11/2022 08:11:52
-0.01,0.02,1.00,0.21,-1.89,0.56,26,60,33,09/11/2022 08:11:52
-0.01,0.02,1.00,0.07,-1.96,0.63,156,112,146,09/11/2022 08:11:52
-0.01,0.03,1.00,0.21,-1.96,0.49,119,115,183,09/11/2022 08:11:52
-0.00,0.03,1.00,0.21,-1.89,0.63,60,61,35,09/11/2022 08:11:53
-0.01,0.02,1.01,0.14,-1.96,0.77,251,173,295,09/11/2022 08:11:53
-0.00,0.02,1.00,0.14,-1.89,0.63,40,75,91,09/11/2022 08:11:53
-0.01,0.02,1.00,0.21,-1.89,0.56,112,87,96,09/11/2022 08:11:53
-0.01,0.02,1.00,0.21,-1.96,0.63,158,133,223,09/11/2022 08:11:53
-0.01,0.03,1.00,0.21,-1.89,0.63,26,46,0,09/11/2022 08:11:53
-0.01,0.02,1.00,0.28,-1.96,0.63,240,166,289,09/11/2022 08:11:53
-0.01,0.02,1.01,0.21,-1.96,0.63,245,176,301,09/11/2022 08:11:53
-0.00,0.02,1.00,0.21,-1.89,0.56,6,43,0,09/11/2022 08:11:53
-0.01,0.03,1.01,0.21,-1.96,0.56,246,170,297,09/11/2022 08:11:53
-0.00,0.02,1.00,0.21,-1.96,0.63,233,171,285,09/11/2022 08:11:53
-0.01,0.02,1.00,0.14,-1.82,0.63,8,44,0,09/11/2022 08:11:53
-0.01,0.03,1.01,0.14,-1.89,0.63,242,160,264,09/11/2022 08:11:53
-0.00,0.03,1.00,0.14,-1.96,0.56,26,62,49,09/11/2022 08:11:53
-0.01,0.02,1.00,0.14,-1.96,0.56,142,102,130,09/11/2022 08:11:53
