ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.00,0.03,1.00,0.00,-1.82,0.56,235,165,260,09/11/2022 08:13:12
-0.01,0.03,1.00,0.14,-2.10,0.63,4,47,0,09/11/2022 08:13:12
-0.00,0.03,1.01,0.21,-1.96,0.56,262,169,280,09/11/2022 08:13:12
-0.00,0.03,1.01,0.21,-1.96,0.56,119,112,140,09/11/2022 08:13:12
-0.00,0.03,1.00,0.14,-2.03,0.56,35,60,37,09/11/2022 08:13:12
-0.01,0.03,1.00,0.14,-2.03,0.56,160,116,157,09/11/2022 08:13:12
-0.00,0.03,1.00,0.14,-2.10,0.63,244,164,260,09/11/2022 08:13:13
-0.01,0.03,1.00,0.21,-1.89,0.49,279,185,297,09/11/2022 08:13:13
-0.01,0.02,1.01,-0.91,-2.59,0.56,2,48,0,09/11/2022 08:13:13
-0.01,0.03,1.01,0.35,-1.96,0.63,268,174,284,09/11/2022 08:13:13
-0.00,0.03,1.01,-0.49,-2.24,0.56,26,61,24,09/11/2022 08:13:13
-0.00,0.03,1.00,-0.07,-1.96,0.56,199,138,200,09/11/2022 08:13:13
-0.00,0.02,1.00,-0.49,-1.89,0.56,186,139,203,09/11/2022 08:13:13
-0.00,0.02,1.01,0.07,-2.03,0.56,31,59,22,09/11/2022 08:13:13
-0.00,0.03,1.00,0.28,-1.75,0.63,280,181,306,09/11/2022 08:13:13
-0.01,0.03,1.00,0.28,-1.82,0.56,47,71,48,09/11/2022 08:13:13
-0.00,0.03,1.01,0.63,-1.96,0.56,189,134,197,09/11/2022 08:13:13
-0.00,0.03,1.01,-0.35,-1.96,0.56,191,142,207,09/11/2022 08:13:13
-0.00,0.03,1.01,-0.07,-2.10,0.63,26,58,21,09/11/2022 08:13:13
-0.00,0.03,1.00,-0.14,-2.03,0.63,282,182,308,09/11/2022 08:13:13
-0.00,0.02,1.00,-0.07,-2.03,0.70,31,62,27,09/11/2022 08:13:13
-0.00,0.02,1.01,0.07,-1.82,0.63,192,136,200,09/11/2022 08:13:13
-0.00,0.02,1.01,0.14,-1.89,0.63,192,142,208,09/11/2022 08:13:14
-0.00,0.03,1.00,0.07,-1.82,0.63,27,58,20,09/11/2022 08:13:14
-0.01,0.03,1.00,0.28,-1.82,0.56,281,182,304,09/11/2022 08:13:14
-0.01,0.02,1.00,0.21,-1.96,0.63,33,64,28,09/11/2022 08:13:14
-0.00,0.03,1.00,0.21,-1.82,0.49,188,133,197,09/11/2022 08:13:14
-0.01,0.02,1.01,0.14,-1.96,0.56,192,141,209,09/11/2022 08:13:14
-0.01,0.03,1.00,0.07,-1.96,0.63,24,55,17,09/11/2022 08:13:14
-0.01,0.02,1.00,0.21,-1.75,0.49,281,182,306,09/11/2022 08:13:14
-0.00,0.02,1.01,0.98,-2.17,0.70,30,61,25,09/11/2022 08:13:14
-0.00,0.03,1.01,0.07,-1.89,0.63,244,162,259,09/11/2022 08:13:14
-0.00,0.02,1.00,0.21,-2.03,0.63,136,115,148,09/11/2022 08:13:14
-0.00,0.02,1.00,0.14,-1.96,0.70,75,81,73,09/11/2022 08:13:14
-0.01,0.02,1.00,0.21,-1.82,0.56,277,180,303,09/11/2022 08:13:14
-0.00,0.02,1.01,0.14,-1.89,0.63,31,63,25,09/11/2022 08:13:14
