ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.02,0.03,1.00,0.21,-1.96,0.63,278,180,342,02/11/2022 12:23:03
-0.02,0.03,1.01,0.84,-2.17,0.77,192,150,242,02/11/2022 12:23:03
-0.02,0.03,1.00,0.35,-2.03,0.70,100,104,125,02/11/2022 12:23:03
-0.02,0.03,1.00,-0.14,-1.89,0.63,293,190,375,02/11/2022 12:23:03
-0.02,0.03,1.00,0.28,-1.82,0.70,3,60,1,02/11/2022 12:23:03
-0.02,0.03,1.00,0.00,-1.82,0.70,315,198,400,02/11/2022 12:23:04
-0.02,0.03,1.00,-0.14,-1.82,0.77,54,85,62,02/11/2022 12:23:04
-0.02,0.04,1.02,0.49,-1.82,0.70,257,170,324,02/11/2022 12:23:04
-0.02,0.03,1.00,-0.07,-1.82,0.70,191,149,241,02/11/2022 12:23:04
-0.02,0.03,1.00,0.00,-1.82,0.70,97,103,125,02/11/2022 12:23:04
-0.02,0.03,1.00,-0.14,-2.03,0.63,298,193,375,02/11/2022 12:23:04
-0.02,0.03,1.00,0.07,-1.96,0.70,0,55,0,02/11/2022 12:23:04
-0.02,0.03,1.00,0.07,-1.82,0.63,285,182,365,02/11/2022 12:23:04
-0.02,0.03,1.01,0.07,-1.82,0.63,94,103,121,02/11/2022 12:23:04
-0.02,0.03,1.01,0.21,-1.89,0.77,112,103,141,02/11/2022 12:23:04
-0.02,0.03,1.00,0.07,-1.89,0.70,185,139,235,02/11/2022 12:23:04
-0.02,0.03,1.01,0.07,-1.82,0.70,163,132,203,02/11/2022 12:23:04
-0.02,0.03,1.01,0.14,-1.96,0.77,295,194,377,02/11/2022 12:23:04
-0.02,0.03,1.00,0.14,-1.82,0.70,0,57,0,02/11/2022 12:23:04
-0.02,0.03,1.01,0.07,-1.96,0.70,286,182,363,02/11/2022 12:23:04
-0.02,0.04,1.00,0.00,-1.89,0.70,53,83,62,02/11/2022 12:23:04
-0.02,0.03,1.01,-0.07,-1.89,0.70,182,134,229,02/11/2022 12:23:04
-0.02,0.03,1.01,-0.14,-1.82,0.70,324,208,416,02/11/2022 12:23:05
-0.02,0.03,1.00,0.00,-1.75,0.77,0,57,0,02/11/2022 12:23:05
