ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.02,0.03,1.00,-0.07,-1.82,0.77,94,94,114,02/11/2022 01:10:36
-0.02,0.03,1.00,0.28,-1.82,0.77,304,191,386,02/11/2022 01:10:36
-0.02,0.03,1.00,-0.49,-1.82,0.70,238,172,299,02/11/2022 01:10:36
-0.02,0.03,1.01,0.28,-2.03,0.63,0,54,0,02/11/2022 01:10:36
-0.02,0.03,1.00,-0.35,-1.82,0.70,272,176,344,02/11/2022 01:10:36
-0.02,0.03,1.00,0.00,-1.89,0.77,216,159,272,02/11/2022 01:10:36
-0.02,0.03,1.01,0.14,-2.03,0.77,84,96,106,02/11/2022 01:10:37
-0.02,0.03,1.00,-0.07,-1.96,0.70,305,195,392,02/11/2022 01:10:37
-0.02,0.03,1.01,-0.28,-1.82,0.77,11,64,10,02/11/2022 01:10:37
-0.02,0.03,1.01,0.49,-2.10,0.70,276,179,352,02/11/2022 01:10:37
-0.02,0.03,1.02,1.47,-2.10,0.77,126,121,170,02/11/2022 01:10:37
-0.01,0.04,1.02,3.15,-2.59,0.84,218,155,271,02/11/2022 01:10:37
-0.02,0.03,1.00,-0.07,-1.68,0.70,275,186,348,02/11/2022 01:10:37
-0.02,0.03,1.00,0.14,-1.82,0.77,0,56,0,02/11/2022 01:10:37
-0.02,0.03,1.01,0.00,-1.96,0.70,323,201,413,02/11/2022 01:10:37
-0.02,0.03,1.01,0.07,-1.82,0.77,14,64,14,02/11/2022 01:10:37
-0.02,0.03,1.00,0.14,-1.82,0.77,307,193,391,02/11/2022 01:10:37
-0.01,0.05,0.99,-0.07,-1.96,0.70,71,94,84,02/11/2022 01:10:37
-0.02,0.04,1.01,-0.35,-1.96,-1.05,140,115,174,02/11/2022 01:10:37
-0.02,0.02,1.01,1.47,-2.17,0.70,259,174,325,02/11/2022 01:10:37
-0.06,0.02,1.01,0.28,0.21,-4.06,183,145,233,02/11/2022 01:10:37
-0.09,0.07,0.97,7.07,7.49,-19.95,233,166,292,02/11/2022 01:10:37
0.01,0.02,1.09,42.77,1.54,3.15,239,172,302,02/11/2022 01:10:38
-0.03,0.19,1.05,149.59,4.13,-18.90,81,98,103,02/11/2022 01:10:38
-0.05,0.27,0.98,122.01,4.90,-5.60,225,160,282,02/11/2022 01:10:38
-0.07,0.40,0.88,139.79,0.70,-9.17,243,177,308,02/11/2022 01:10:38
-0.05,0.54,0.85,78.47,-0.49,0.84,30,77,34,02/11/2022 01:10:38
-0.03,0.66,0.79,58.17,-13.23,7.98,168,132,208,02/11/2022 01:10:38
-0.01,0.67,0.72,10.08,14.98,-0.84,144,124,177,02/11/2022 01:10:38
-0.09,0.70,0.79,40.04,3.22,7.21,12,61,11,02/11/2022 01:10:38
-0.06,0.62,0.73,-0.14,1.68,8.26,224,157,281,02/11/2022 01:10:38
-0.06,0.65,0.79,-13.86,11.69,2.94,5,64,1,02/11/2022 01:10:38
-0.09,0.59,0.77,-37.17,6.93,-10.01,209,148,261,02/11/2022 01:10:38
-0.02,0.73,0.78,11.83,-0.70,5.18,38,76,45,02/11/2022 01:10:38
-0.08,0.56,0.79,-45.08,7.14,1.61,115,108,138,02/11/2022 01:10:38
-0.07,0.60,0.84,-102.34,19.60,-17.36,138,118,175,02/11/2022 01:10:38
-0.08,0.56,0.90,-92.33,6.79,1.96,39,71,45,02/11/2022 01:10:38
-0.12,0.25,1.02,-173.32,9.80,0.49,219,156,274,02/11/2022 01:10:38
-0.12,0.21,1.05,-185.43,0.14,-19.18,6,62,2,02/11/2022 01:10:38
-0.10,0.11,0.95,-141.05,-6.37,-16.45,24,61,24,02/11/2022 01:10:39
-0.16,-0.18,0.92,-107.73,-6.44,-9.24,187,139,232,02/11/2022 01:10:39
-0.08,-0.12,0.90,14.98,5.60,12.60,45,80,55,02/11/2022 01:10:39
-0.15,-0.19,0.92,70.14,-3.29,6.30,20,61,21,02/11/2022 01:10:39
-0.12,-0.03,1.00,162.12,-5.11,25.76,170,131,211,02/11/2022 01:10:39
