ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.27,-0.86,-0.47,-8.19,-4.27,7.42,0,0,0,07/11/2022 01:36:27
0.25,-0.84,-0.49,4.62,-1.12,-22.33,0,0,0,07/11/2022 01:36:27
0.35,-0.86,-0.48,2.59,-29.75,35.21,0,0,0,07/11/2022 01:36:27
0.07,-0.76,-0.54,-45.50,-50.89,-5.88,0,0,0,07/11/2022 01:36:27
0.26,-1.06,-0.46,-8.82,-16.87,18.13,0,0,0,07/11/2022 01:36:27
0.20,-0.82,-0.49,-30.03,-21.91,4.55,0,0,0,07/11/2022 01:36:27
0.15,-0.88,-0.50,-24.15,-17.64,11.27,0,0,0,07/11/2022 01:36:27
0.14,-0.82,-0.55,-40.81,-17.22,8.96,0,0,0,07/11/2022 01:36:27
0.20,-0.77,-0.55,-57.26,-34.23,19.39,0,0,0,07/11/2022 01:36:27
0.17,-0.78,-0.63,-85.89,-38.43,33.81,0,0,0,07/11/2022 01:36:27
0.06,-0.55,-0.72,-90.44,-50.82,35.07,0,0,0,07/11/2022 01:36:28
0.12,-0.59,-0.78,-102.13,-45.99,51.24,0,0,0,07/11/2022 01:36:28
-0.13,-0.47,-0.84,-94.64,-37.80,54.74,0,0,0,07/11/2022 01:36:28
-0.17,-0.39,-0.80,-79.17,-31.92,53.69,0,0,0,07/11/2022 01:36:28
-0.25,-0.34,-0.90,-90.51,-16.66,65.17,0,0,0,07/11/2022 01:36:28
-0.26,-0.24,-0.91,-54.46,4.34,92.75,0,0,0,07/11/2022 01:36:28
-0.29,-0.10,-0.98,-55.23,-2.10,88.69,0,0,0,07/11/2022 01:36:28
-0.33,0.01,-0.94,-33.88,1.54,79.45,0,0,0,07/11/2022 01:36:28
-0.27,0.05,-0.95,-46.76,-4.41,70.84,0,0,0,07/11/2022 01:36:28
-0.33,0.14,-0.95,-17.64,14.28,64.89,0,0,0,07/11/2022 01:36:28
-0.20,0.23,-1.08,-18.27,10.36,43.75,0,0,0,07/11/2022 01:36:28
-0.28,0.23,-0.98,-25.20,-4.34,18.13,0,0,0,07/11/2022 01:36:28
-0.25,0.22,-0.99,-0.21,2.66,12.81,0,0,0,07/11/2022 01:36:28
-0.23,0.16,-0.96,-4.34,3.15,4.76,0,0,0,07/11/2022 01:36:28
-0.23,0.26,-0.96,-1.68,4.69,-13.79,0,0,0,07/11/2022 01:36:28
-0.22,0.18,-0.97,-7.35,3.50,-25.76,0,0,0,07/11/2022 01:36:28
