ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.59,0.31,-0.84,0.07,-0.28,8.68,0,0,0,17/11/2022 05:30:30
0.47,0.20,-0.86,3.43,-11.20,33.39,0,0,0,17/11/2022 05:30:30
0.40,0.19,-0.85,-11.97,-4.20,23.73,0,0,0,17/11/2022 05:30:30
0.43,0.19,-0.85,1.47,-3.22,0.14,0,0,0,17/11/2022 05:30:30
0.44,0.21,-0.85,-2.38,-2.52,0.91,0,0,0,17/11/2022 05:30:31
0.45,0.23,-0.85,-2.66,-2.31,-0.49,0,0,0,17/11/2022 05:30:31
0.45,0.23,-0.85,-1.47,-1.82,0.14,0,0,0,17/11/2022 05:30:31
0.45,0.23,-0.85,0.28,-0.70,1.33,0,0,0,17/11/2022 05:30:31
0.45,0.23,-0.85,-0.91,-1.33,0.98,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,-0.14,-0.84,1.12,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,0.70,-0.28,1.47,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,0.00,-0.91,1.12,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,1.40,-0.56,1.54,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,-0.35,-0.56,1.12,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,-0.77,-0.91,0.77,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,0.77,-0.63,0.84,0,0,0,17/11/2022 05:30:31
0.45,0.21,-0.85,-0.28,-0.98,1.12,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,-1.19,-1.40,0.70,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.86,-1.40,-1.05,0.98,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,-0.70,-1.19,0.77,0,0,0,17/11/2022 05:30:31
0.45,0.22,-0.85,-0.63,-0.70,1.05,0,0,0,17/11/2022 05:30:31
0.45,0.21,-0.85,-0.91,-0.84,0.84,0,0,0,17/11/2022 05:30:32
0.45,0.22,-0.86,-1.12,-0.91,0.77,0,0,0,17/11/2022 05:30:32
0.45,0.22,-0.85,-0.91,-1.05,0.56,0,0,0,17/11/2022 05:30:32
0.45,0.22,-0.85,-1.47,-1.05,0.49,0,0,0,17/11/2022 05:30:32
0.45,0.21,-0.85,-1.19,-1.26,0.42,0,0,0,17/11/2022 05:30:32
0.45,0.21,-0.85,-1.05,-1.05,0.42,0,0,0,17/11/2022 05:30:32
0.45,0.22,-0.85,-1.54,-1.26,0.28,0,0,0,17/11/2022 05:30:32
0.45,0.22,-0.85,-1.82,-1.33,0.14,0,0,0,17/11/2022 05:30:32
0.45,0.22,-0.85,-0.77,-0.91,0.42,0,0,0,17/11/2022 05:30:32
0.45,0.22,-0.86,-1.19,-0.98,0.56,0,0,0,17/11/2022 05:30:32
