ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.32,-0.06,-0.95,-5.04,-8.40,16.73,0,90,2,30/12/2022 03:27:08
0.32,-0.10,-0.95,-0.35,-5.95,-16.52,9,92,0,30/12/2022 03:27:09
0.80,0.59,-0.87,24.01,-61.74,60.90,5,81,0,30/12/2022 03:27:09
0.21,-0.18,-0.94,-44.31,6.16,-37.10,0,73,0,30/12/2022 03:27:09
0.28,-0.12,-0.94,-33.39,-25.83,-3.01,0,35,0,30/12/2022 03:27:09
0.39,-0.12,-1.06,-1.12,-36.61,-14.07,0,15,0,30/12/2022 03:27:09
0.22,-0.18,-1.16,-13.16,-42.98,-22.05,0,0,0,30/12/2022 03:27:09
0.19,-0.16,-1.11,-51.59,-59.64,2.31,0,0,0,30/12/2022 03:27:09
0.12,0.11,-0.96,-27.16,-73.29,17.57,0,0,0,30/12/2022 03:27:09
-0.17,0.23,-0.72,39.27,-53.34,35.70,0,0,0,30/12/2022 03:27:09
-0.11,0.20,-0.67,34.86,-8.54,41.44,0,0,0,30/12/2022 03:27:09
-0.08,0.08,-0.89,25.27,22.26,31.78,0,0,0,30/12/2022 03:27:09
0.01,-0.08,-1.02,-34.44,28.42,24.36,0,0,0,30/12/2022 03:27:09
0.03,0.09,-1.08,-22.33,8.75,16.38,0,0,0,30/12/2022 03:27:09
0.08,0.18,-1.04,-10.08,10.99,7.00,1,3,2,30/12/2022 03:27:09
0.05,0.19,-1.00,23.31,19.95,-14.91,0,0,0,30/12/2022 03:27:09
0.08,0.07,-1.05,43.82,15.54,-12.88,5,10,1,30/12/2022 03:27:09
0.02,-0.07,-1.04,14.56,0.49,4.55,0,0,0,30/12/2022 03:27:09
0.03,-0.07,-0.99,4.27,-3.99,19.25,0,2,0,30/12/2022 03:27:10
-0.01,0.01,-1.02,2.52,5.11,25.27,0,4,3,30/12/2022 03:27:10
0.10,-0.05,-1.03,-1.61,6.16,21.14,0,0,0,30/12/2022 03:27:10
0.25,0.10,-0.96,-22.61,-1.89,12.74,1,7,0,30/12/2022 03:27:10
0.26,-0.08,-0.91,4.62,5.74,-7.28,2,0,0,30/12/2022 03:27:10
0.32,0.01,-1.07,85.61,-16.73,-31.57,0,0,0,30/12/2022 03:27:10
0.09,-0.43,-1.02,-8.33,4.34,-38.99,0,0,0,30/12/2022 03:27:10
0.13,-0.00,-1.04,45.57,6.79,-27.93,10,0,0,30/12/2022 03:27:10
-0.07,-0.31,-1.05,57.33,-14.56,0.07,0,0,0,30/12/2022 03:27:10
