ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.57,-0.37,-0.81,-9.17,-35.84,36.96,0,0,5,30/12/2022 03:29:44
0.44,-0.35,-0.82,-31.08,-42.84,33.39,2,0,4,30/12/2022 03:29:44
0.35,-0.29,-0.87,-10.08,-8.82,-5.04,1,4,2,30/12/2022 03:29:44
0.31,-0.25,-0.87,47.53,67.55,0.14,0,2,0,30/12/2022 03:29:44
0.70,-0.54,-0.91,-31.64,-7.70,-10.85,0,2,0,30/12/2022 03:29:44
0.58,-0.42,-0.93,-100.59,-15.89,-46.90,0,0,0,30/12/2022 03:29:44
0.62,-0.34,-0.96,-123.62,-40.25,-75.04,0,0,0,30/12/2022 03:29:44
0.56,-0.15,-0.87,-109.55,-78.33,-84.77,0,0,0,30/12/2022 03:29:44
0.30,-0.08,-0.84,-125.16,-102.69,-8.05,0,0,0,30/12/2022 03:29:45
0.10,0.13,-0.67,-66.08,-116.83,6.51,0,0,0,30/12/2022 03:29:45
-0.05,0.29,-0.67,-10.08,-89.95,69.79,1,0,0,30/12/2022 03:29:45
-0.11,0.33,-0.71,-32.20,-31.92,71.82,0,0,0,30/12/2022 03:29:45
0.06,0.63,-0.90,29.47,-1.05,54.32,2,0,0,30/12/2022 03:29:45
0.02,0.38,-1.07,33.53,3.08,47.32,0,0,0,30/12/2022 03:29:45
0.06,0.37,-1.08,53.34,-8.96,32.48,0,0,1,30/12/2022 03:29:45
0.06,0.23,-1.07,9.38,-14.91,14.91,0,0,1,30/12/2022 03:29:45
0.05,0.18,-1.04,10.22,-9.10,-8.40,3,0,2,30/12/2022 03:29:45
0.10,0.20,-1.00,-10.92,10.15,3.78,0,0,1,30/12/2022 03:29:45
0.07,0.08,-1.02,-3.57,6.09,12.74,0,0,0,30/12/2022 03:29:45
0.10,0.11,-0.99,-29.68,1.89,7.84,0,0,0,30/12/2022 03:29:45
0.03,0.21,-0.97,-100.45,22.61,16.17,0,0,0,30/12/2022 03:29:45
0.16,0.43,-0.95,-63.91,17.01,20.65,0,0,2,30/12/2022 03:29:45
0.12,0.25,-0.86,-13.30,3.57,-1.47,0,0,0,30/12/2022 03:29:45
0.19,0.39,-0.89,8.05,-1.82,-5.81,1,0,0,30/12/2022 03:29:45
0.20,0.40,-0.92,-20.30,0.42,-9.10,0,0,0,30/12/2022 03:29:45
0.20,0.38,-0.90,5.04,-11.62,-11.62,1,0,0,30/12/2022 03:29:46
0.09,0.27,-0.91,15.54,4.34,-13.93,0,0,0,30/12/2022 03:29:46
0.05,0.34,-1.00,38.71,-3.71,-12.18,0,0,0,30/12/2022 03:29:46
0.04,0.30,-1.06,73.22,-8.68,-9.94,0,0,0,30/12/2022 03:29:46
-0.09,0.12,-1.09,129.99,-85.26,-4.06,0,0,0,30/12/2022 03:29:46
-0.21,-0.01,-0.92,9.73,-4.76,-74.41,0,0,0,30/12/2022 03:29:46
0.34,0.01,-0.94,9.52,5.25,-53.83,0,0,0,30/12/2022 03:29:46
0.27,-0.07,-0.93,-32.97,51.45,-38.64,0,0,0,30/12/2022 03:29:46
0.15,-0.05,-1.00,45.57,10.57,-16.59,0,0,0,30/12/2022 03:29:46
-0.01,-0.04,-1.07,25.55,13.23,2.31,0,0,0,30/12/2022 03:29:46
-0.04,0.06,-1.05,-28.84,21.70,10.50,0,0,0,30/12/2022 03:29:46
0.05,0.19,-0.98,-53.34,24.22,15.47,0,0,0,30/12/2022 03:29:46
0.39,0.29,-0.86,-84.07,24.78,21.14,0,0,0,30/12/2022 03:29:46
0.47,0.29,-0.87,-19.25,9.94,-6.93,2,0,0,30/12/2022 03:29:46
