ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.20,-0.18,-0.96,-7.00,-7.56,4.69,0,0,0,07/11/2022 01:43:28
0.23,-0.01,-0.99,10.15,-7.91,-20.37,0,0,0,07/11/2022 01:43:28
0.19,-0.03,-1.01,18.41,-10.92,34.37,0,0,0,07/11/2022 01:43:28
0.23,-0.06,-1.01,28.77,-29.19,74.48,0,0,0,07/11/2022 01:43:28
0.29,-0.30,-1.00,37.31,15.05,24.01,0,0,0,07/11/2022 01:43:28
0.11,-0.20,-0.92,-23.52,-27.44,-0.70,0,0,0,07/11/2022 01:43:28
0.14,-0.21,-0.96,3.57,-9.10,11.83,0,0,0,07/11/2022 01:43:28
0.12,-0.16,-0.95,-22.96,-26.39,11.76,0,0,0,07/11/2022 01:43:28
0.05,-0.14,-0.94,-28.98,-32.90,0.35,0,0,0,07/11/2022 01:43:28
-0.01,-0.08,-0.92,-51.10,-29.54,-1.26,0,0,0,07/11/2022 01:43:28
-0.02,0.10,-1.00,-21.49,-20.02,-5.04,0,0,0,07/11/2022 01:43:28
0.01,-0.15,-1.00,28.84,4.06,-2.03,0,0,0,07/11/2022 01:43:28
-0.08,-0.06,-1.05,-39.13,-20.16,-2.87,0,0,0,07/11/2022 01:43:29
-0.07,0.00,-1.03,23.87,18.41,6.30,0,0,0,07/11/2022 01:43:29
0.02,-0.18,-0.98,21.91,4.62,-0.14,0,0,0,07/11/2022 01:43:29
0.01,-0.14,-0.98,-15.89,-11.55,-1.54,0,0,0,07/11/2022 01:43:29
-0.02,-0.10,-1.01,2.59,-0.56,-0.98,0,0,0,07/11/2022 01:43:29
-0.04,-0.09,-0.97,20.09,-4.76,3.22,0,0,0,07/11/2022 01:43:29
0.06,-0.12,-0.96,3.92,-18.48,6.58,0,0,0,07/11/2022 01:43:29
-0.05,0.04,-0.95,20.44,-36.54,9.31,0,0,0,07/11/2022 01:43:29
0.02,-0.17,-0.97,43.68,-18.83,9.17,0,0,0,07/11/2022 01:43:29
-0.17,-0.14,-0.91,-0.42,-32.83,6.65,0,0,0,07/11/2022 01:43:29
-0.12,-0.25,-0.99,-29.26,-28.00,-1.33,0,0,0,07/11/2022 01:43:29
-0.22,-0.18,-0.99,-15.82,-10.08,0.63,0,0,0,07/11/2022 01:43:29
-0.19,-0.17,-1.02,-24.85,-11.76,0.35,0,0,0,07/11/2022 01:43:29
-0.19,-0.12,-1.00,10.36,-1.61,2.24,0,0,0,07/11/2022 01:43:29
-0.16,-0.08,-0.94,-3.15,-9.38,5.04,0,0,0,07/11/2022 01:43:29
-0.07,0.30,-1.09,-31.29,-72.80,-16.10,0,0,0,07/11/2022 01:43:29
-0.24,0.01,-0.66,-41.86,-31.08,-25.13,0,0,0,07/11/2022 01:43:29
-0.36,-0.12,-1.04,75.39,20.65,-40.74,0,0,0,07/11/2022 01:43:30
-0.16,-0.67,-0.95,12.32,12.53,-14.91,0,0,0,07/11/2022 01:43:30
-0.22,-0.25,-1.00,-24.92,0.49,18.27,0,0,0,07/11/2022 01:43:30
-0.17,-0.26,-1.00,-22.75,-6.93,38.78,0,0,0,07/11/2022 01:43:30
-0.06,-0.23,-1.01,-46.76,-18.48,71.68,0,0,0,07/11/2022 01:43:30
-0.10,-0.18,-0.88,-135.94,-78.75,100.10,0,0,0,07/11/2022 01:43:30
-0.37,0.15,-0.93,-20.79,-35.70,134.33,0,0,0,07/11/2022 01:43:30
-0.55,0.34,-0.72,-83.23,-39.83,115.50,0,0,1,07/11/2022 01:43:30
-0.59,0.65,-0.68,-34.02,3.64,80.99,0,0,0,07/11/2022 01:43:30
-0.44,0.64,-0.72,6.09,30.59,27.37,0,0,0,07/11/2022 01:43:30
-0.39,0.54,-0.83,-29.19,16.10,6.72,0,0,0,07/11/2022 01:43:30
-0.26,0.33,-0.83,-39.48,26.95,13.23,0,0,0,07/11/2022 01:43:30
-0.32,0.55,-0.93,37.73,24.92,14.63,0,0,0,07/11/2022 01:43:30
-0.21,0.36,-0.87,-5.18,3.85,0.91,0,0,0,07/11/2022 01:43:30
-0.24,0.42,-0.89,-13.93,1.54,3.78,0,0,0,07/11/2022 01:43:30
-0.18,0.46,-0.85,-8.26,4.76,0.28,0,0,0,07/11/2022 01:43:30
-0.22,0.48,-0.86,6.93,8.68,4.06,0,0,0,07/11/2022 01:43:30
-0.15,0.38,-0.87,-23.17,-3.43,3.78,0,0,0,07/11/2022 01:43:31
-0.16,0.47,-0.85,-14.35,2.31,6.58,0,0,0,07/11/2022 01:43:31
-0.12,0.51,-0.91,-36.05,-23.87,0.77,0,0,0,07/11/2022 01:43:31
-0.19,0.41,-0.97,-81.76,-31.99,5.81,0,0,0,07/11/2022 01:43:31
-0.32,0.37,-0.77,-205.45,-60.48,3.36,0,0,0,07/11/2022 01:43:31
-0.22,0.38,-0.04,-496.72,-110.81,-74.41,0,0,0,07/11/2022 01:43:31
-0.75,1.56,0.64,-596.05,-13.37,-6.79,0,0,0,07/11/2022 01:43:31
-0.27,0.87,0.41,134.12,4.69,4.97,0,0,0,07/11/2022 01:43:31
-0.60,0.26,0.56,-169.89,-87.50,-34.44,0,0,0,07/11/2022 01:43:31
-0.43,0.84,0.64,-300.86,20.23,4.41,0,0,0,07/11/2022 01:43:31
-0.92,0.71,0.70,-244.23,33.67,-6.02,0,0,0,07/11/2022 01:43:31
-0.37,0.71,0.52,-88.20,-34.51,-27.37,0,0,0,07/11/2022 01:43:31
-0.30,0.31,0.67,3.50,24.50,-18.55,0,0,0,07/11/2022 01:43:31
-0.56,0.31,0.85,7.28,-5.95,-29.96,0,0,0,07/11/2022 01:43:31
-0.51,0.36,0.75,-23.38,-9.66,-13.16,0,0,0,07/11/2022 01:43:31
-0.46,0.34,0.83,-42.77,-7.84,0.42,0,0,0,07/11/2022 01:43:31
-0.56,0.20,0.84,23.17,12.60,-17.22,0,0,0,07/11/2022 01:43:32
-0.58,0.29,0.90,-1.68,-3.43,-28.98,0,0,0,07/11/2022 01:43:32
-0.45,0.37,0.82,-22.75,-10.99,-40.04,0,0,0,07/11/2022 01:43:32
-0.49,0.19,0.89,-18.41,-3.92,-25.13,0,0,0,07/11/2022 01:43:32
-0.46,0.07,0.84,-2.03,-4.48,-6.58,0,0,0,07/11/2022 01:43:32
-0.47,0.15,0.81,-12.67,-8.05,0.63,0,0,0,07/11/2022 01:43:32
-0.47,0.24,0.83,20.58,-4.06,-1.54,0,0,0,07/11/2022 01:43:32
-0.48,0.18,0.86,-2.80,-3.15,-2.10,0,0,0,07/11/2022 01:43:32
-0.47,0.19,0.85,0.49,-4.13,-6.79,126,223,0,07/11/2022 01:43:32
-0.49,0.24,0.85,1.05,-2.73,-9.17,574,654,0,07/11/2022 01:43:32
-0.49,0.22,0.95,22.54,-0.35,-2.66,617,705,0,07/11/2022 01:43:32
-0.51,0.21,0.85,-5.39,3.99,1.75,205,220,0,07/11/2022 01:43:32
-0.51,0.24,0.79,6.65,1.19,1.05,0,0,0,07/11/2022 01:43:32
-0.52,0.25,0.89,-0.56,-6.72,0.91,0,0,0,07/11/2022 01:43:32
-0.51,0.20,0.82,14.14,-1.89,-0.77,564,764,0,07/11/2022 01:43:32
-0.44,0.20,0.88,58.10,5.46,28.49,668,791,0,07/11/2022 01:43:32
-0.49,0.33,0.78,73.92,9.10,29.05,0,0,0,07/11/2022 01:43:32
-0.42,0.42,0.77,101.43,10.01,34.44,199,0,0,07/11/2022 01:43:33
-0.33,0.17,0.66,144.13,37.31,77.63,691,691,0,07/11/2022 01:43:33
-0.52,1.10,0.37,372.05,80.50,118.09,314,0,0,07/11/2022 01:43:33
-0.66,0.77,0.51,325.78,77.28,81.83,0,0,0,07/11/2022 01:43:33
-0.17,1.19,-0.26,271.60,43.61,-12.46,0,0,0,07/11/2022 01:43:33
-0.59,0.83,-0.18,127.61,39.83,-23.52,0,0,0,07/11/2022 01:43:33
-0.32,0.84,-0.61,200.69,48.93,-1.40,0,0,0,07/11/2022 01:43:33
-0.25,0.68,-0.64,1.68,1.54,-19.11,0,0,0,07/11/2022 01:43:33
-0.33,0.44,-0.70,66.43,33.25,9.73,0,0,0,07/11/2022 01:43:33
-0.28,0.74,-0.73,57.75,17.78,10.92,0,0,0,07/11/2022 01:43:33
-0.21,0.57,-0.69,-41.30,-7.77,12.18,0,0,0,07/11/2022 01:43:33
-0.22,0.59,-0.78,49.14,16.87,12.32,0,0,0,07/11/2022 01:43:33
-0.30,0.76,-0.68,-22.26,-3.92,2.10,0,0,0,07/11/2022 01:43:33
-0.22,0.57,-0.75,-13.44,-0.77,5.74,0,0,0,07/11/2022 01:43:33
-0.23,0.59,-0.72,-28.21,-3.85,6.58,137,0,0,07/11/2022 01:43:33
-0.26,0.67,-0.62,-44.17,-7.84,14.56,222,0,0,07/11/2022 01:43:33
-0.17,0.85,-0.64,-11.69,-5.67,1.61,218,0,0,07/11/2022 01:43:34
-0.26,0.77,-0.61,-15.75,-8.19,-17.57,230,0,0,07/11/2022 01:43:34
-0.31,0.94,-0.62,-11.13,-16.03,-36.40,215,0,0,07/11/2022 01:43:34
-0.33,0.56,-0.62,-14.63,-9.24,-29.75,218,0,0,07/11/2022 01:43:34
-0.36,0.65,-0.60,27.72,2.52,-15.89,216,0,0,07/11/2022 01:43:34
-0.34,0.70,-0.66,3.85,-5.88,-13.23,238,0,0,07/11/2022 01:43:34
-0.36,0.53,-0.56,-4.55,6.30,-2.59,239,0,0,07/11/2022 01:43:34
-0.35,0.77,-0.65,14.91,6.93,0.21,252,0,0,07/11/2022 01:43:34
-0.35,0.66,-0.61,-9.10,3.15,-0.77,269,0,0,07/11/2022 01:43:34
-0.31,0.70,-0.70,-5.32,-2.66,-0.84,62,0,0,07/11/2022 01:43:34
-0.34,0.62,-0.58,-47.46,-10.57,-9.17,0,0,0,07/11/2022 01:43:34
-0.36,0.81,-0.66,-8.26,-20.93,-3.22,0,0,0,07/11/2022 01:43:34
-0.43,0.75,-0.59,23.31,-22.89,-0.49,0,0,0,07/11/2022 01:43:34
-0.46,0.64,-0.61,23.24,-15.05,-1.68,0,0,0,07/11/2022 01:43:34
-0.46,0.57,-0.45,26.88,10.22,-8.68,0,0,0,07/11/2022 01:43:34
-0.41,0.80,-0.59,16.10,7.14,5.60,0,0,0,07/11/2022 01:43:34
-0.38,0.57,-0.61,16.80,7.28,-6.86,0,0,0,07/11/2022 01:43:34
-0.44,0.69,-0.64,34.65,13.02,-5.60,0,0,0,07/11/2022 01:43:35
-0.40,0.59,-0.71,19.74,-0.98,0.70,0,0,0,07/11/2022 01:43:35
-0.37,0.59,-0.68,-26.39,-10.71,-0.21,0,0,0,07/11/2022 01:43:35
-0.42,0.55,-0.60,-17.99,3.57,-0.28,0,0,0,07/11/2022 01:43:35
-0.37,0.78,-0.68,-9.38,-5.81,6.44,0,0,0,07/11/2022 01:43:35
-0.39,0.61,-0.61,-5.46,-10.01,8.89,0,0,0,07/11/2022 01:43:35
-0.45,0.65,-0.64,-5.88,-7.00,1.33,0,0,0,07/11/2022 01:43:35
-0.39,0.67,-0.64,-3.36,-4.62,0.70,0,0,0,07/11/2022 01:43:35
-0.43,0.60,-0.63,4.76,-1.19,-1.40,0,0,0,07/11/2022 01:43:35
-0.39,0.65,-0.65,-14.07,-10.36,1.96,0,0,0,07/11/2022 01:43:35
-0.41,0.73,-0.62,-12.18,-11.97,1.54,0,0,0,07/11/2022 01:43:35
-0.38,0.59,-0.59,-8.26,-6.93,6.16,0,0,0,07/11/2022 01:43:35
-0.46,0.73,-0.58,6.65,2.45,2.38,0,0,0,07/11/2022 01:43:35
-0.40,0.59,-0.62,13.30,0.42,4.13,0,0,0,07/11/2022 01:43:35
-0.41,0.69,-0.61,-8.89,-0.56,8.82,0,0,0,07/11/2022 01:43:35
-0.44,0.68,-0.65,-2.52,4.48,6.16,0,0,0,07/11/2022 01:43:35
-0.41,0.64,-0.63,-1.26,3.15,3.36,108,0,4,07/11/2022 01:43:35
-0.40,0.64,-0.59,-19.67,-6.02,9.03,0,0,0,07/11/2022 01:43:35
-0.42,0.83,-0.57,-0.14,-2.10,2.10,0,0,0,07/11/2022 01:43:36
