ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.29,0.33,-0.91,-8.54,-19.46,48.93,0,0,0,21/12/2022 09:11:30
-0.08,0.26,-0.94,87.50,-19.04,-36.54,0,0,0,21/12/2022 09:11:30
-0.96,0.06,-0.93,21.42,14.07,-78.40,0,0,0,21/12/2022 09:11:30
-0.16,0.14,-0.89,-35.07,-3.29,-14.07,0,0,0,21/12/2022 09:11:30
-0.40,0.18,-0.94,2.10,4.69,4.20,0,0,0,21/12/2022 09:11:30
-0.35,0.05,-0.93,1.33,-3.08,2.45,0,0,0,21/12/2022 09:11:30
-0.33,0.17,-0.91,-20.58,-0.63,-5.88,0,0,0,21/12/2022 09:11:30
-0.34,0.16,-0.94,7.77,5.18,3.78,0,0,0,21/12/2022 09:11:30
-0.39,0.13,-0.92,-8.40,0.14,0.14,0,0,0,21/12/2022 09:11:30
-0.33,0.16,-0.94,-5.04,-4.62,2.94,0,0,0,21/12/2022 09:11:30
-0.35,0.14,-0.91,-2.87,-1.54,2.52,0,0,0,21/12/2022 09:11:30
-0.37,0.19,-0.89,-5.74,-0.49,-0.56,0,0,0,21/12/2022 09:11:30
-0.33,0.18,-0.92,6.58,1.05,-0.98,0,0,0,21/12/2022 09:11:30
-0.35,0.14,-0.93,1.26,-0.77,-0.70,0,0,0,21/12/2022 09:11:30
-0.36,0.13,-0.93,-2.59,1.26,2.31,0,0,0,21/12/2022 09:11:30
-0.34,0.16,-0.91,-5.46,2.31,2.94,0,0,0,21/12/2022 09:11:30
-0.36,0.18,-0.93,-3.43,1.75,0.98,0,0,0,21/12/2022 09:11:30
-0.32,0.17,-0.93,0.28,0.35,-0.77,0,0,0,21/12/2022 09:11:31
-0.35,0.15,-0.93,-1.68,-0.91,-1.12,0,0,0,21/12/2022 09:11:31
-0.35,0.16,-0.92,-1.33,-0.91,0.21,0,0,0,21/12/2022 09:11:31
-0.33,0.16,-0.93,-1.75,-0.21,0.63,0,0,0,21/12/2022 09:11:31
-0.34,0.17,-0.92,-4.13,0.56,-0.14,0,0,0,21/12/2022 09:11:31
-0.33,0.18,-0.93,-2.59,0.00,-0.77,0,0,0,21/12/2022 09:11:31
-0.33,0.16,-0.93,0.49,0.21,0.91,0,0,0,21/12/2022 09:11:31
-0.34,0.18,-0.92,-1.61,-0.70,0.14,0,0,0,21/12/2022 09:11:31
-0.34,0.15,-0.92,-0.21,-0.49,1.12,0,0,0,21/12/2022 09:11:31
-0.34,0.17,-0.92,-4.27,-1.61,1.54,0,0,0,21/12/2022 09:11:31
-0.34,0.18,-0.92,-0.21,-1.26,-0.56,0,0,0,21/12/2022 09:11:31
-0.33,0.15,-0.93,1.82,0.49,0.14,0,0,0,21/12/2022 09:11:31
-0.33,0.18,-0.92,-3.50,-0.49,0.42,0,0,0,21/12/2022 09:11:31
-0.33,0.17,-0.93,-0.56,-0.35,0.91,0,0,0,21/12/2022 09:11:31
