ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.21,0.05,-0.96,-14.84,1.96,-14.91,3,1,0,30/12/2022 03:17:05
0.24,0.02,-0.96,-15.82,4.06,-1.75,0,28,0,30/12/2022 03:17:05
0.25,0.11,-0.95,-9.17,1.89,-4.97,2,48,0,30/12/2022 03:17:05
0.20,0.01,-0.98,0.70,1.61,-1.82,0,41,0,30/12/2022 03:17:05
0.26,0.06,-0.99,19.74,-11.41,12.39,0,0,0,30/12/2022 03:17:05
0.35,0.17,-0.98,48.93,-15.68,-5.60,0,12,0,30/12/2022 03:17:05
0.17,-0.06,-1.03,52.57,-15.26,17.50,0,0,0,30/12/2022 03:17:05
0.21,-0.18,-1.01,-14.42,-1.68,-37.73,0,0,1,30/12/2022 03:17:05
0.14,-0.07,-1.02,-3.85,-17.15,12.81,0,0,0,30/12/2022 03:17:05
0.14,-0.05,-0.98,-36.12,-0.49,1.75,0,1,0,30/12/2022 03:17:06
0.06,0.02,-0.90,0.77,-9.03,-5.81,0,0,0,30/12/2022 03:17:06
0.17,-0.01,-0.93,13.93,-2.03,-4.13,0,2,0,30/12/2022 03:17:06
0.19,0.00,-0.96,7.84,6.58,0.35,0,0,0,30/12/2022 03:17:06
0.21,0.01,-1.00,-3.92,7.77,1.05,0,0,1,30/12/2022 03:17:06
0.20,0.01,-1.00,1.33,5.74,3.08,0,0,0,30/12/2022 03:17:06
0.22,0.03,-1.02,1.19,0.42,-2.94,0,0,0,30/12/2022 03:17:06
0.20,-0.00,-0.99,0.70,-2.94,-3.08,0,0,0,30/12/2022 03:17:06
0.20,0.03,-1.00,19.81,-7.56,-4.62,0,4,1,30/12/2022 03:17:06
0.19,-0.05,-1.00,7.35,-3.36,-4.48,0,0,0,30/12/2022 03:17:06
0.18,-0.04,-0.98,18.13,-9.03,-2.24,3,0,0,30/12/2022 03:17:06
0.17,-0.12,-0.99,13.37,-6.58,1.19,0,0,3,30/12/2022 03:17:06
0.23,-0.01,-0.94,14.35,-13.79,11.83,1,0,0,30/12/2022 03:17:06
0.21,-0.14,-0.98,-29.54,-6.65,-9.73,1,0,0,30/12/2022 03:17:06
0.13,-0.09,-0.95,-7.70,-11.41,-2.17,0,0,0,30/12/2022 03:17:06
0.16,-0.06,-0.95,-23.73,4.06,-13.86,0,180,3,30/12/2022 03:17:06
0.18,-0.06,-1.02,-5.39,6.58,-6.79,0,209,0,30/12/2022 03:17:07
0.16,-0.16,-0.96,-45.85,9.03,-2.03,0,305,6,30/12/2022 03:17:07
0.16,0.06,-0.97,-45.36,2.17,-2.24,0,305,0,30/12/2022 03:17:07
0.19,0.08,-0.90,-56.77,4.62,10.36,0,297,0,30/12/2022 03:17:07
0.16,0.23,-0.98,-41.23,11.83,-4.41,1,280,0,30/12/2022 03:17:07
0.23,0.16,-0.95,-36.75,11.97,-11.83,0,286,0,30/12/2022 03:17:07
0.22,0.24,-0.91,-17.22,15.47,-26.04,0,441,0,30/12/2022 03:17:07
0.21,0.32,-0.97,-12.25,10.36,-25.41,0,413,1,30/12/2022 03:17:07
0.14,0.31,-0.90,1.68,17.50,-20.51,0,387,0,30/12/2022 03:17:07
0.23,0.35,-1.06,-19.88,-0.84,-29.96,0,337,0,30/12/2022 03:17:07
0.21,0.34,-0.91,-21.14,-4.76,-19.95,0,348,0,30/12/2022 03:17:07
0.17,0.44,-0.92,-25.90,4.20,-18.76,0,475,5,30/12/2022 03:17:07
0.23,0.40,-0.90,-32.76,0.63,-25.20,0,476,0,30/12/2022 03:17:07
0.19,0.37,-0.83,0.91,1.89,-20.23,1,348,0,30/12/2022 03:17:07
0.16,0.36,-0.88,21.14,-2.45,-17.22,1,308,0,30/12/2022 03:17:07
0.20,0.32,-0.91,14.14,-5.32,-11.76,0,430,0,30/12/2022 03:17:07
0.22,0.37,-0.91,2.38,-6.65,-8.96,0,508,0,30/12/2022 03:17:07
0.18,0.39,-0.94,-5.04,-3.22,-5.39,0,520,2,30/12/2022 03:17:08
0.17,0.37,-0.91,2.66,0.84,-6.72,0,552,5,30/12/2022 03:17:08
0.16,0.38,-0.90,12.67,-1.68,-2.03,0,585,4,30/12/2022 03:17:08
0.14,0.34,-0.95,3.71,-7.98,-3.71,0,586,2,30/12/2022 03:17:08
0.15,0.35,-0.91,-10.78,-0.91,-6.93,0,581,2,30/12/2022 03:17:08
0.16,0.43,-0.99,-6.44,-10.78,-11.69,0,574,6,30/12/2022 03:17:08
0.10,0.32,-0.85,17.57,5.95,-0.63,1,582,1,30/12/2022 03:17:08
0.13,0.35,-0.89,31.22,6.44,-9.66,0,586,1,30/12/2022 03:17:08
0.13,0.27,-0.95,11.20,2.73,-8.47,0,607,0,30/12/2022 03:17:08
0.17,0.35,-0.95,14.84,-0.63,-3.08,0,627,0,30/12/2022 03:17:08
0.14,0.23,-0.98,39.55,-8.96,3.92,0,637,0,30/12/2022 03:17:08
0.15,0.26,-0.96,12.74,4.76,4.83,0,595,0,30/12/2022 03:17:08
0.13,0.13,-0.94,43.12,-6.93,13.37,2,504,0,30/12/2022 03:17:08
0.18,0.18,-0.96,9.66,5.18,0.28,0,502,10,30/12/2022 03:17:08
0.16,0.20,-0.96,1.26,10.08,-0.07,0,520,0,30/12/2022 03:17:08
0.13,0.19,-0.97,11.90,-2.80,-1.12,0,553,0,30/12/2022 03:17:08
