ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.32,-0.16,-0.92,0.07,-9.17,10.78,1,0,0,30/12/2022 03:21:37
0.31,-0.15,-0.94,4.41,1.12,-17.01,0,0,4,30/12/2022 03:21:37
0.35,0.17,-0.99,12.67,-21.70,71.19,0,2,0,30/12/2022 03:21:37
0.37,-0.18,-0.96,-27.44,2.03,-17.36,0,6,0,30/12/2022 03:21:37
0.30,-0.21,-0.95,-26.04,-7.63,-7.42,0,0,1,30/12/2022 03:21:37
0.27,-0.14,-0.90,-30.31,-8.19,-15.82,0,1,3,30/12/2022 03:21:37
0.35,-0.11,-0.90,-25.34,-6.72,-12.60,3,2,1,30/12/2022 03:21:37
0.23,-0.03,-0.96,-35.14,3.99,-15.96,5,7,0,30/12/2022 03:21:37
0.26,-0.02,-0.95,-2.87,-6.37,-2.38,0,4,0,30/12/2022 03:21:37
0.26,-0.01,-0.97,-11.13,0.14,0.70,1,0,10,30/12/2022 03:21:37
0.25,0.02,-0.98,-5.32,2.87,4.41,0,0,0,30/12/2022 03:21:38
0.30,-0.05,-1.00,-5.32,-3.15,7.35,2,0,0,30/12/2022 03:21:38
0.42,-0.07,-1.15,-26.32,-8.33,-9.31,0,0,0,30/12/2022 03:21:38
0.41,-0.15,-1.16,-28.21,-47.53,-28.28,3,1,0,30/12/2022 03:21:38
0.26,-0.17,-1.06,-59.43,-52.78,-25.06,0,0,0,30/12/2022 03:21:38
0.17,0.01,-0.91,-38.22,-40.53,-1.40,0,269,0,30/12/2022 03:21:38
0.10,0.06,-0.82,-8.61,-13.09,34.30,0,572,3,30/12/2022 03:21:38
0.12,0.14,-0.82,11.20,-12.88,47.95,0,641,1,30/12/2022 03:21:38
0.11,0.26,-0.85,1.89,6.86,44.73,0,578,0,30/12/2022 03:21:38
0.11,0.24,-0.84,-11.83,11.13,40.53,0,549,0,30/12/2022 03:21:38
0.12,0.36,-0.87,23.45,19.04,21.91,2,525,0,30/12/2022 03:21:38
