ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.90,-0.08,-0.40,-19.81,-10.71,-57.68,0,0,0,21/12/2022 09:20:18
0.95,0.09,-0.35,-8.33,-31.71,-61.46,0,0,0,21/12/2022 09:20:18
1.00,0.06,-0.46,-8.40,-73.15,59.57,0,0,0,21/12/2022 09:20:18
0.97,0.03,-0.58,14.07,-133.49,79.24,0,0,0,21/12/2022 09:20:18
0.34,0.19,-0.64,4.97,-141.47,87.92,0,0,0,21/12/2022 09:20:18
0.67,-0.13,-0.74,44.87,-130.83,126.63,0,0,0,21/12/2022 09:20:18
0.46,-0.26,-0.81,-0.56,-124.88,90.37,0,0,0,21/12/2022 09:20:18
0.43,-0.30,-0.86,-25.97,-85.05,69.30,0,0,0,21/12/2022 09:20:18
0.34,-0.29,-0.92,31.01,-62.16,8.54,0,0,0,21/12/2022 09:20:18
0.31,-0.11,-0.85,-64.12,-121.94,113.61,0,0,0,21/12/2022 09:20:18
0.24,-0.35,-0.96,-41.30,-90.86,14.70,0,0,0,21/12/2022 09:20:18
0.24,0.01,-0.82,-11.55,-116.27,69.16,0,0,0,21/12/2022 09:20:18
-0.29,-0.27,-0.94,-72.31,-165.34,17.50,0,0,0,21/12/2022 09:20:18
-0.50,-0.05,-0.92,22.68,-88.62,17.85,0,0,0,21/12/2022 09:20:18
-0.09,-0.27,-0.98,83.93,-56.98,36.54,0,0,0,21/12/2022 09:20:18
-0.40,-0.41,-1.01,-48.44,-37.45,73.92,0,0,0,21/12/2022 09:20:18
-0.53,-0.24,-0.90,-54.18,-46.55,95.76,0,0,0,21/12/2022 09:20:19
-0.56,-0.01,-0.85,-56.70,-44.94,50.96,0,0,0,21/12/2022 09:20:19
-0.64,-0.08,-0.82,-29.75,-20.58,91.35,0,0,0,21/12/2022 09:20:19
-0.69,-0.00,-0.74,-24.29,-42.00,140.21,0,0,0,21/12/2022 09:20:19
-0.66,0.26,-0.71,-66.78,-37.94,179.34,0,0,0,21/12/2022 09:20:19
-0.67,0.43,-0.46,-87.01,-9.17,53.90,0,0,0,21/12/2022 09:20:19
-0.57,0.78,-0.54,-59.36,-4.83,-60.83,0,0,0,21/12/2022 09:20:19
-0.60,0.62,-0.47,33.67,43.96,47.95,0,0,0,21/12/2022 09:20:19
-0.68,0.35,-0.60,36.96,72.24,8.89,0,0,0,21/12/2022 09:20:19
-0.43,0.58,-0.69,-23.38,68.53,-15.33,0,0,0,21/12/2022 09:20:19
-0.20,0.59,-0.79,-43.75,49.14,-17.15,0,0,0,21/12/2022 09:20:19
-0.25,0.79,-0.77,3.43,47.81,-9.10,0,0,0,21/12/2022 09:20:19
-0.13,0.53,-0.83,39.62,47.32,-21.98,0,0,0,21/12/2022 09:20:19
-0.14,0.47,-0.81,28.91,53.76,-9.80,0,0,0,21/12/2022 09:20:19
-0.11,0.45,-0.93,49.63,62.30,-21.35,0,0,0,21/12/2022 09:20:19
-0.08,0.36,-0.83,33.95,55.44,-11.69,0,0,0,21/12/2022 09:20:19
0.01,0.34,-0.93,-8.61,33.25,-10.36,0,0,0,21/12/2022 09:20:19
-0.02,0.28,-0.95,16.10,35.84,-4.06,0,0,0,21/12/2022 09:20:20
