ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.39,-0.22,-1.01,-30.80,50.19,1.05,0,0,0,21/12/2022 09:24:27
-0.30,-0.21,-1.08,-44.94,44.17,-6.44,0,0,0,21/12/2022 09:24:28
-0.18,-0.18,-1.11,-8.19,41.30,-10.15,0,0,0,21/12/2022 09:24:28
-0.09,-0.31,-1.10,21.28,29.96,-12.60,0,0,0,21/12/2022 09:24:28
0.02,-0.26,-1.03,-9.31,2.38,20.02,0,0,0,21/12/2022 09:24:28
-0.04,-0.18,-0.96,-3.50,18.76,-12.81,0,0,0,21/12/2022 09:24:28
0.06,-0.24,-0.88,-0.84,10.57,-12.46,0,0,0,21/12/2022 09:24:28
0.08,-0.29,-0.95,34.93,13.02,-6.51,0,0,0,21/12/2022 09:24:28
0.08,-0.45,-0.87,16.10,18.83,8.75,0,0,0,21/12/2022 09:24:28
0.09,-0.17,-1.05,25.55,-17.99,8.40,0,198,0,21/12/2022 09:24:28
0.01,-0.40,-0.85,35.91,-10.22,14.42,0,266,0,21/12/2022 09:24:28
0.04,-0.34,-0.99,-10.85,-10.92,26.46,0,327,0,21/12/2022 09:24:29
-0.10,-0.27,-0.94,-22.33,-12.53,10.15,0,0,0,21/12/2022 09:24:29
-0.07,-0.17,-0.96,-29.75,-10.43,-12.74,0,0,0,21/12/2022 09:24:30
-0.17,-0.15,-0.95,5.67,5.32,-26.74,0,0,0,21/12/2022 09:24:30
0.08,-0.37,-0.95,10.64,-10.99,-8.19,0,0,0,21/12/2022 09:24:30
0.45,-0.17,-0.78,115.08,20.16,-78.96,0,0,0,21/12/2022 09:24:30
0.39,-0.64,-0.74,68.32,6.86,-56.14,0,0,0,21/12/2022 09:24:31
-0.04,-0.75,-0.88,-94.15,8.26,61.11,0,0,0,21/12/2022 09:24:31
0.40,-0.31,-0.85,-25.69,-10.85,-86.45,0,0,0,21/12/2022 09:24:31
0.26,-0.99,-0.81,101.15,-7.35,54.67,0,0,0,21/12/2022 09:24:31
-0.04,-0.42,-0.67,-214.55,-28.70,184.52,0,0,0,21/12/2022 09:24:32
-0.01,-0.11,-0.85,20.16,-4.27,-9.17,0,498,0,21/12/2022 09:24:32
-0.03,-0.13,-0.94,-22.33,-5.53,5.11,0,290,0,21/12/2022 09:24:32
0.07,-0.16,-1.11,-16.66,-11.20,5.39,0,0,0,21/12/2022 09:24:32
0.04,-0.08,-0.92,61.39,2.66,-3.36,0,760,0,21/12/2022 09:24:32
0.00,-0.41,-0.98,10.78,17.01,-5.67,0,743,0,21/12/2022 09:24:32
0.01,-0.16,-1.01,-40.60,-7.63,6.30,0,687,0,21/12/2022 09:24:32
0.02,-0.22,-1.06,-61.60,-7.35,9.73,0,643,0,21/12/2022 09:24:32
-0.03,-0.01,-0.95,-38.92,-4.20,16.17,0,555,0,21/12/2022 09:24:33
-0.02,-0.05,-0.98,-21.70,-4.34,14.35,0,478,0,21/12/2022 09:24:33
0.01,-0.11,-1.06,-18.13,-2.94,2.66,0,141,0,21/12/2022 09:24:33
-0.16,0.36,-1.00,-53.97,-19.74,-3.50,0,0,0,21/12/2022 09:24:33
-0.05,0.23,-1.00,56.07,4.41,-18.83,0,0,0,21/12/2022 09:24:33
-0.13,0.09,-1.02,-35.35,12.95,3.22,0,0,0,21/12/2022 09:24:33
-0.07,-0.07,-1.04,-55.16,-13.72,2.17,0,0,0,21/12/2022 09:24:33
-0.09,-0.08,-0.89,-95.69,-5.25,12.32,0,0,0,21/12/2022 09:24:33
-0.13,0.19,-1.10,16.17,5.25,7.91,0,0,0,21/12/2022 09:24:33
-0.13,0.08,-0.93,-75.11,-9.73,-8.75,0,0,0,21/12/2022 09:24:33
-0.10,0.22,-0.98,36.40,3.29,4.48,0,29,0,21/12/2022 09:24:33
-0.14,0.21,-0.99,36.82,-10.15,-17.78,0,9,0,21/12/2022 09:24:33
-0.11,-0.24,-0.93,-23.31,13.58,-17.29,0,0,0,21/12/2022 09:24:33
-0.00,0.14,-1.03,-10.92,15.33,0.56,0,0,0,21/12/2022 09:24:33
0.09,0.10,-1.08,-82.18,-23.94,-0.98,0,0,0,21/12/2022 09:24:34
-0.19,0.41,-0.77,-5.53,-3.36,-45.64,0,0,0,21/12/2022 09:24:34
-0.15,0.38,-1.05,51.52,-3.92,-17.64,0,0,0,21/12/2022 09:24:34
-0.18,-0.13,-1.04,135.45,-0.35,23.17,0,0,0,21/12/2022 09:24:34
-0.09,-0.18,-1.09,21.77,-1.47,12.11,0,301,0,21/12/2022 09:24:34
-0.13,0.24,-1.01,-5.04,-6.72,5.39,0,616,0,21/12/2022 09:24:34
-0.15,0.04,-1.00,7.42,1.75,-5.53,0,662,0,21/12/2022 09:24:34
-0.11,0.06,-1.01,-46.62,-9.31,-0.91,0,668,0,21/12/2022 09:24:34
-0.13,0.12,-1.03,-30.87,-9.31,-1.40,0,674,0,21/12/2022 09:24:34
-0.22,0.32,-0.96,13.51,7.28,-32.83,0,664,75,21/12/2022 09:24:34
-0.27,0.32,-1.00,56.63,13.51,-37.45,0,649,0,21/12/2022 09:24:34
-0.17,-0.00,-0.92,13.44,5.25,-30.87,0,699,0,21/12/2022 09:24:35
-0.14,-0.13,-0.86,-5.25,-8.96,-17.92,0,760,0,21/12/2022 09:24:35
-0.18,-0.01,-0.98,16.59,-12.67,-2.66,0,737,0,21/12/2022 09:24:35
-0.14,-0.18,-0.92,22.05,-10.15,-8.05,0,713,0,21/12/2022 09:24:35
-0.15,-0.15,-1.02,40.32,-6.79,8.12,0,739,0,21/12/2022 09:24:35
-0.18,-0.10,-1.00,-9.87,-10.78,21.77,0,784,0,21/12/2022 09:24:36
-0.69,1.03,-0.45,-54.88,-168.07,98.14,0,828,0,21/12/2022 09:24:36
-0.62,1.18,-0.09,245.63,26.11,-67.55,0,834,0,21/12/2022 09:24:36
-0.42,0.49,-0.87,-13.72,74.62,-44.10,0,797,0,21/12/2022 09:24:36
-0.27,0.40,-0.86,35.21,24.01,-19.32,0,810,0,21/12/2022 09:24:36
-0.34,0.43,-0.78,5.25,10.36,0.07,0,819,0,21/12/2022 09:24:36
-0.37,0.40,-0.88,11.06,-2.17,-1.40,0,827,0,21/12/2022 09:24:36
-0.38,0.28,-0.85,37.73,13.44,0.63,0,831,0,21/12/2022 09:24:36
-0.30,0.35,-0.87,-11.34,0.07,-14.49,0,832,0,21/12/2022 09:24:36
-0.32,0.34,-0.88,-8.05,-0.07,-4.34,0,837,0,21/12/2022 09:24:37
-0.32,0.30,-0.87,12.11,6.09,0.56,0,841,0,21/12/2022 09:24:37
-0.34,0.34,-0.92,14.42,-1.47,-4.55,0,851,0,21/12/2022 09:24:37
-0.32,0.29,-0.87,21.21,1.96,-9.24,0,854,0,21/12/2022 09:24:37
-0.29,0.14,-0.93,6.44,-4.27,-9.66,0,868,0,21/12/2022 09:24:37
-0.29,0.12,-0.92,2.03,-2.87,-2.03,0,868,0,21/12/2022 09:24:37
-0.31,0.08,-0.96,-2.87,-6.93,0.77,0,845,0,21/12/2022 09:24:38
-0.37,0.14,-0.87,-16.59,-5.74,-4.13,0,852,0,21/12/2022 09:24:38
-0.36,0.09,-0.93,11.69,8.82,0.77,0,849,0,21/12/2022 09:24:38
-0.33,0.09,-0.92,-3.29,1.89,-4.48,0,858,0,21/12/2022 09:24:38
-0.30,0.04,-0.97,-0.21,-4.62,-3.43,0,874,0,21/12/2022 09:24:38
-0.29,0.05,-0.96,3.29,0.49,-2.10,0,877,0,21/12/2022 09:24:38
-0.29,0.05,-0.95,-4.06,-2.59,0.84,0,878,0,21/12/2022 09:24:38
-0.30,0.05,-0.93,6.09,1.40,-1.75,0,880,0,21/12/2022 09:24:38
-0.30,0.03,-0.96,3.85,-0.42,-3.01,0,882,0,21/12/2022 09:24:38
