ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.73,-0.28,-0.57,-5.53,-13.79,-3.01,0,0,0,21/12/2022 08:39:38
0.73,-0.32,-0.61,2.87,4.69,5.60,0,0,0,21/12/2022 08:39:38
0.72,-0.27,-0.58,1.05,7.49,5.18,0,0,0,21/12/2022 08:39:38
0.84,-0.23,-0.57,50.68,-37.24,33.95,0,0,0,21/12/2022 08:39:38
0.73,-0.54,-0.66,28.07,-49.63,4.34,0,0,0,21/12/2022 08:39:38
0.61,-0.32,-0.62,-32.06,36.54,-2.59,0,0,0,21/12/2022 08:39:38
0.71,-0.30,-0.60,2.87,-34.72,3.15,0,0,0,21/12/2022 08:39:38
0.90,-0.43,-0.63,-23.87,-16.24,10.01,0,0,0,21/12/2022 08:39:38
0.87,-0.29,-0.69,-55.23,-88.20,-2.45,0,0,0,21/12/2022 08:39:38
0.77,-0.31,-0.86,-129.92,-168.35,-23.73,0,0,0,21/12/2022 08:39:38
0.87,0.18,-0.87,-138.88,-237.72,-36.26,0,0,0,21/12/2022 08:39:38
0.35,-0.01,-0.83,-107.73,-352.45,-29.61,0,0,0,21/12/2022 08:39:38
-0.24,-0.09,-0.72,-137.55,-303.24,-39.34,0,0,0,21/12/2022 08:39:38
-0.27,0.16,-0.61,-68.18,-235.83,-97.16,0,0,0,21/12/2022 08:39:38
-0.62,-0.10,-0.46,-32.90,-404.88,85.05,0,0,0,21/12/2022 08:39:38
-0.68,0.81,-0.23,162.68,38.01,1.26,0,0,0,21/12/2022 08:39:38
-1.10,-0.01,-0.29,168.35,-24.64,0.35,0,0,0,21/12/2022 08:39:39
-0.60,0.07,-0.46,120.26,-5.25,19.74,0,0,0,21/12/2022 08:39:39
-0.90,0.35,-0.36,22.75,-21.35,13.37,0,0,0,21/12/2022 08:39:39
-0.85,0.11,-0.40,98.91,28.35,75.74,0,0,0,21/12/2022 08:39:39
-0.80,0.12,-0.53,59.64,14.77,68.18,0,0,0,21/12/2022 08:39:39
-0.79,0.19,-0.52,32.27,12.18,73.22,0,0,0,21/12/2022 08:39:39
-0.80,0.30,-0.57,-2.66,-0.63,79.38,0,0,0,21/12/2022 08:39:39
-0.82,0.40,-0.53,16.52,0.63,47.18,0,0,0,21/12/2022 08:39:39
-0.79,0.37,-0.52,30.87,10.64,33.32,0,0,0,21/12/2022 08:39:39
-0.78,0.29,-0.53,-26.11,-5.46,12.67,0,0,0,21/12/2022 08:39:39
-0.76,0.28,-0.54,-16.87,11.06,14.63,0,0,0,21/12/2022 08:39:39
-0.74,0.50,-0.64,-39.62,-15.40,-16.87,0,0,0,21/12/2022 08:39:39
-0.69,0.38,-0.65,-16.17,-4.69,-4.13,0,0,0,21/12/2022 08:39:39
-0.68,0.39,-0.60,-14.49,-9.03,-8.54,0,0,0,21/12/2022 08:39:39
-0.70,0.37,-0.63,-9.80,-5.95,-2.87,0,0,0,21/12/2022 08:39:39
-0.73,0.38,-0.56,-6.02,-4.55,5.74,0,0,0,21/12/2022 08:39:39
-0.75,0.37,-0.50,-25.13,-16.94,4.34,0,0,0,21/12/2022 08:39:40
-0.72,0.42,-0.46,-12.18,-9.38,6.44,0,0,0,21/12/2022 08:39:40
-0.72,0.45,-0.52,-21.07,-10.64,1.33,0,0,0,21/12/2022 08:39:40
-0.75,0.45,-0.51,-12.53,-0.35,4.90,0,0,0,21/12/2022 08:39:40
-0.76,0.47,-0.51,-11.20,-3.08,-0.49,0,0,0,21/12/2022 08:39:40
-0.75,0.41,-0.50,-1.96,0.42,4.48,0,0,0,21/12/2022 08:39:40
