ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.36,-0.23,-0.93,-1.19,-7.28,8.19,0,0,0,30/12/2022 03:37:22
0.27,-0.23,-0.90,-6.23,-5.88,-23.03,0,0,0,30/12/2022 03:37:22
0.36,-0.17,-0.87,-13.86,-13.51,13.37,0,0,0,30/12/2022 03:37:23
0.38,-0.21,-0.90,3.43,5.74,17.01,0,0,0,30/12/2022 03:37:23
0.29,-0.22,-0.97,-23.45,6.93,-10.78,1,0,0,30/12/2022 03:37:23
0.38,-0.14,-1.00,-22.33,4.06,12.60,0,0,0,30/12/2022 03:37:23
0.44,-0.24,-0.97,8.54,-14.84,14.00,0,0,9,30/12/2022 03:37:23
0.28,-0.24,-0.91,-7.14,-6.16,-5.53,1,0,0,30/12/2022 03:37:23
0.32,-0.19,-0.95,-8.40,-5.67,0.49,0,2,0,30/12/2022 03:37:23
0.33,-0.19,-0.95,-17.08,-4.34,2.38,0,0,0,30/12/2022 03:37:23
0.31,-0.15,-0.95,-20.37,-14.91,-4.97,3,0,0,30/12/2022 03:37:23
0.27,-0.11,-0.85,-25.48,-18.41,-10.15,0,3,0,30/12/2022 03:37:23
0.26,-0.08,-0.90,-23.38,-9.87,-12.39,0,0,4,30/12/2022 03:37:23
0.25,-0.08,-1.01,-11.48,-3.50,-14.00,0,2,0,30/12/2022 03:37:23
0.23,-0.06,-1.04,-1.47,-5.32,-8.12,1,3,0,30/12/2022 03:37:23
0.25,-0.05,-1.00,-4.41,-8.54,-8.82,0,0,0,30/12/2022 03:37:23
0.24,-0.02,-0.93,-1.75,-12.46,-1.75,1,2,3,30/12/2022 03:37:23
0.19,-0.06,-0.93,-0.84,1.54,-9.31,4,1,0,30/12/2022 03:37:23
0.25,-0.02,-0.99,14.98,0.35,0.21,3,0,6,30/12/2022 03:37:24
0.26,-0.04,-0.97,1.40,-5.81,4.13,1,0,0,30/12/2022 03:37:24
0.27,-0.06,-0.93,-2.52,-4.27,0.00,0,1,0,30/12/2022 03:37:24
0.24,-0.08,-0.93,-5.39,2.45,0.70,0,0,0,30/12/2022 03:37:24
0.21,-0.11,-1.00,5.04,6.02,5.04,0,0,0,30/12/2022 03:37:24
0.25,-0.09,-1.01,-7.63,2.24,3.85,0,1,0,30/12/2022 03:37:24
0.26,-0.08,-0.99,-5.74,-2.66,-0.07,0,0,0,30/12/2022 03:37:24
0.28,-0.12,-0.92,-1.68,-6.30,-3.99,0,0,2,30/12/2022 03:37:24
0.25,-0.14,-0.93,-7.84,-0.91,-1.33,0,0,0,30/12/2022 03:37:24
0.24,-0.00,-1.02,3.78,-1.33,-4.76,0,0,0,30/12/2022 03:37:24
0.23,-0.07,-1.01,5.74,-4.69,-3.15,0,0,1,30/12/2022 03:37:24
0.22,-0.11,-0.97,-2.80,-5.46,-4.90,0,1,2,30/12/2022 03:37:24
0.22,-0.01,-0.97,-11.69,-1.19,-2.24,0,0,0,30/12/2022 03:37:24
0.21,-0.03,-0.98,-6.51,-1.26,-1.82,0,0,0,30/12/2022 03:37:24
0.20,-0.02,-1.04,-10.78,0.07,-5.04,0,0,2,30/12/2022 03:37:24
0.23,-0.02,-1.05,-4.13,-3.99,-7.91,0,0,0,30/12/2022 03:37:24
0.22,-0.07,-0.99,-7.84,-9.87,-4.90,0,0,0,30/12/2022 03:37:24
0.32,-0.09,-1.01,-0.21,-9.17,-2.80,0,0,0,30/12/2022 03:37:25
0.30,-0.09,-0.98,-4.06,-12.67,-12.11,0,0,0,30/12/2022 03:37:25
0.13,-0.04,-0.98,11.20,-17.22,-4.13,0,0,0,30/12/2022 03:37:25
0.18,-0.11,-1.02,-12.81,-8.47,-4.62,0,0,0,30/12/2022 03:37:25
0.19,-0.05,-0.99,4.69,-21.63,7.98,0,0,0,30/12/2022 03:37:25
0.10,-0.05,-0.93,-14.21,-10.22,13.09,1,0,2,30/12/2022 03:37:25
0.15,0.06,-0.92,1.40,-2.31,9.38,1,0,0,30/12/2022 03:37:25
0.18,0.01,-0.89,-4.06,4.13,-0.35,0,0,0,30/12/2022 03:37:25
0.14,0.03,-0.89,-21.00,16.73,1.96,0,0,0,30/12/2022 03:37:25
0.12,0.04,-0.95,8.82,24.01,3.15,0,0,0,30/12/2022 03:37:25
0.16,-0.02,-1.03,13.16,26.95,1.12,0,0,1,30/12/2022 03:37:25
0.22,-0.02,-1.09,28.42,12.18,6.65,0,9,0,30/12/2022 03:37:25
0.13,-0.09,-1.04,2.66,5.39,10.85,2,5,0,30/12/2022 03:37:25
0.16,0.00,-0.97,-26.32,-0.07,28.14,0,1,2,30/12/2022 03:37:25
0.18,0.08,-0.95,-33.53,-9.52,40.88,6,0,0,30/12/2022 03:37:25
0.17,0.17,-0.98,-49.14,-10.43,60.06,1,1,0,30/12/2022 03:37:25
0.17,0.17,-0.90,-50.19,-24.99,64.61,3,10,3,30/12/2022 03:37:25
0.26,0.17,-0.85,-48.51,-11.76,28.49,0,0,4,30/12/2022 03:37:25
0.40,0.17,-1.00,-13.37,-4.13,-3.92,0,0,0,30/12/2022 03:37:26
0.34,-0.02,-1.01,43.12,-4.41,-19.18,2,0,0,30/12/2022 03:37:26
0.20,-0.19,-0.96,45.08,6.09,-30.24,0,4,1,30/12/2022 03:37:26
0.10,-0.17,-1.03,63.56,-0.77,-4.69,0,0,0,30/12/2022 03:37:26
-0.01,-0.27,-1.10,19.11,4.41,25.34,5,8,2,30/12/2022 03:37:26
0.01,-0.03,-1.13,-39.97,4.13,52.15,2,8,0,30/12/2022 03:37:26
0.11,0.20,-1.06,-77.00,-16.52,59.36,0,2,0,30/12/2022 03:37:26
0.17,0.28,-0.84,-89.04,-14.42,52.99,0,0,0,30/12/2022 03:37:26
0.40,0.34,-0.77,-44.94,0.98,11.06,0,0,0,30/12/2022 03:37:26
0.51,0.14,-0.85,5.39,7.56,-44.17,0,1,0,30/12/2022 03:37:26
0.36,-0.16,-0.96,37.17,-2.38,-48.37,0,1,0,30/12/2022 03:37:26
-0.00,-0.20,-1.06,18.20,6.93,-18.83,0,0,0,30/12/2022 03:37:26
-0.10,-0.07,-1.22,45.29,-14.28,6.72,0,0,2,30/12/2022 03:37:26
