ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.62,-0.05,-0.80,-25.27,-20.37,62.16,0,0,0,17/11/2022 05:31:58
0.39,0.54,-0.79,-85.33,-16.10,29.05,0,0,0,17/11/2022 05:31:58
0.58,0.20,-0.80,-14.56,-3.29,4.41,0,0,0,17/11/2022 05:31:58
0.55,0.17,-0.80,1.54,-0.49,4.34,0,0,0,17/11/2022 05:31:58
0.56,0.14,-0.80,-1.68,-0.77,3.22,0,0,0,17/11/2022 05:31:58
0.57,0.13,-0.79,-1.89,-1.82,1.75,0,0,0,17/11/2022 05:31:58
0.57,0.15,-0.80,0.00,-0.63,2.17,0,0,0,17/11/2022 05:31:58
0.56,0.14,-0.80,0.28,-0.49,1.40,0,0,0,17/11/2022 05:31:58
0.56,0.14,-0.80,2.94,0.28,1.26,0,0,0,17/11/2022 05:31:58
0.57,0.13,-0.80,2.17,0.14,-0.07,0,0,0,17/11/2022 05:31:58
0.56,0.14,-0.81,2.17,1.68,-0.42,0,0,0,17/11/2022 05:31:58
0.57,0.13,-0.81,5.53,2.80,2.10,0,0,0,17/11/2022 05:31:58
0.57,0.12,-0.80,9.73,2.59,5.18,0,0,0,17/11/2022 05:31:58
0.57,0.10,-0.79,6.72,1.54,3.29,0,0,0,17/11/2022 05:31:58
0.57,0.10,-0.79,3.29,0.49,1.96,0,0,0,17/11/2022 05:31:58
0.57,0.09,-0.80,3.22,0.91,1.82,0,0,0,17/11/2022 05:31:58
0.58,0.10,-0.79,0.56,0.35,0.00,0,0,0,17/11/2022 05:31:59
0.59,0.10,-0.80,-0.21,-1.26,-0.49,0,0,0,17/11/2022 05:31:59
0.58,0.10,-0.79,-1.26,-1.96,-0.35,0,0,0,17/11/2022 05:31:59
0.58,0.10,-0.80,-2.38,-1.19,-0.63,0,0,0,17/11/2022 05:31:59
0.58,0.10,-0.79,-2.38,-1.33,0.00,0,0,0,17/11/2022 05:31:59
0.58,0.10,-0.79,-2.66,-1.47,0.21,0,0,0,17/11/2022 05:31:59
0.58,0.11,-0.80,-2.24,-1.47,0.07,0,0,0,17/11/2022 05:31:59
0.58,0.10,-0.79,-3.64,-2.03,-1.33,0,0,0,17/11/2022 05:31:59
0.57,0.11,-0.80,-3.36,-0.63,-2.45,0,0,0,17/11/2022 05:31:59
0.57,0.12,-0.80,-1.47,1.40,-1.19,0,0,0,17/11/2022 05:31:59
0.58,0.11,-0.79,-0.77,0.70,1.33,0,0,0,17/11/2022 05:31:59
0.58,0.10,-0.79,0.21,-0.21,1.40,0,0,0,17/11/2022 05:31:59
0.58,0.10,-0.79,-0.14,-1.61,0.70,0,0,0,17/11/2022 05:31:59
0.59,0.11,-0.79,1.05,-1.68,0.07,0,0,0,17/11/2022 05:31:59
0.57,0.11,-0.80,-1.75,-2.38,-1.61,0,0,0,17/11/2022 05:31:59
0.58,0.12,-0.80,1.26,-0.77,0.49,0,0,0,17/11/2022 05:31:59
0.58,0.11,-0.79,-0.21,-1.19,0.98,0,0,0,17/11/2022 05:32:00
0.58,0.11,-0.79,-0.42,-1.47,0.56,0,0,0,17/11/2022 05:32:00
0.58,0.11,-0.80,1.33,-0.63,1.33,0,0,0,17/11/2022 05:32:00
0.58,0.11,-0.79,2.03,-0.21,1.96,0,0,0,17/11/2022 05:32:00
0.58,0.10,-0.79,1.82,-0.07,1.96,0,0,0,17/11/2022 05:32:00
0.58,0.09,-0.80,3.29,-0.21,1.96,0,0,0,17/11/2022 05:32:00
0.58,0.10,-0.80,3.29,0.14,1.75,0,0,0,17/11/2022 05:32:00
0.58,0.09,-0.80,10.85,2.59,2.31,0,0,0,17/11/2022 05:32:00
0.58,0.09,-0.80,16.73,3.36,3.50,0,0,0,17/11/2022 05:32:00
0.59,0.04,-0.77,10.22,1.47,2.73,0,0,0,17/11/2022 05:32:00
0.60,0.04,-0.77,1.75,-0.84,0.84,0,0,0,17/11/2022 05:32:00
0.59,0.06,-0.79,-3.78,-1.96,-0.49,0,0,0,17/11/2022 05:32:00
0.59,0.06,-0.80,-4.06,-1.75,-0.07,0,0,1,17/11/2022 05:32:00
0.59,0.06,-0.79,-4.62,-1.61,0.07,0,0,0,17/11/2022 05:32:00
0.59,0.07,-0.79,-3.29,-1.47,0.42,0,0,0,17/11/2022 05:32:00
0.59,0.07,-0.79,-2.45,-1.26,0.77,0,0,0,17/11/2022 05:32:00
0.59,0.07,-0.79,-0.07,-0.84,0.63,0,0,0,17/11/2022 05:32:01
0.59,0.06,-0.79,-1.05,-0.77,0.42,0,0,0,17/11/2022 05:32:01
0.59,0.07,-0.80,-1.61,-1.26,0.42,0,0,0,17/11/2022 05:32:01
0.59,0.07,-0.79,-2.10,-1.40,0.14,0,0,0,17/11/2022 05:32:01
0.59,0.07,-0.80,-1.96,-1.12,0.49,0,0,0,17/11/2022 05:32:01
0.59,0.07,-0.79,-2.10,-1.26,0.14,0,0,0,17/11/2022 05:32:01
0.59,0.08,-0.80,-2.52,-1.40,0.21,0,0,0,17/11/2022 05:32:01
0.59,0.07,-0.79,-2.03,-1.33,-0.21,0,0,1,17/11/2022 05:32:01
0.59,0.07,-0.79,-1.33,-0.98,-0.56,0,0,0,17/11/2022 05:32:01
0.59,0.07,-0.79,-1.47,-1.12,0.00,0,0,0,17/11/2022 05:32:01
0.59,0.08,-0.79,-1.12,-1.05,0.21,0,0,0,17/11/2022 05:32:01
0.59,0.08,-0.79,-1.05,-1.12,0.49,0,0,0,17/11/2022 05:32:01
0.59,0.08,-0.79,-1.96,-1.26,0.14,0,0,0,17/11/2022 05:32:01
0.58,0.08,-0.79,-0.63,-0.98,0.42,0,0,0,17/11/2022 05:32:01
0.59,0.08,-0.79,-0.42,-0.91,0.56,0,0,0,17/11/2022 05:32:01
0.58,0.08,-0.79,-1.05,-1.26,0.56,0,0,0,17/11/2022 05:32:01
0.59,0.08,-0.79,-0.56,-1.05,0.35,0,0,0,17/11/2022 05:32:01
0.59,0.08,-0.79,-0.28,-0.63,0.42,0,0,0,17/11/2022 05:32:01
0.59,0.08,-0.79,-0.70,-0.91,0.70,0,1,0,17/11/2022 05:32:02
0.59,0.08,-0.79,-0.84,-0.91,0.70,0,0,0,17/11/2022 05:32:02
0.59,0.07,-0.78,-2.45,-1.68,-0.21,0,0,0,17/11/2022 05:32:02
0.58,0.08,-0.79,-4.06,-2.52,-0.14,0,0,0,17/11/2022 05:32:02
0.58,0.09,-0.80,-2.24,-1.33,0.35,0,0,0,17/11/2022 05:32:02
0.59,0.09,-0.79,0.14,-0.63,0.70,0,0,0,17/11/2022 05:32:02
0.59,0.09,-0.79,-0.63,-0.70,0.77,0,0,0,17/11/2022 05:32:02
0.59,0.08,-0.79,-1.61,-1.05,0.07,0,0,0,17/11/2022 05:32:02
0.58,0.09,-0.80,-2.31,-1.61,0.35,0,0,0,17/11/2022 05:32:02
0.58,0.09,-0.79,-1.05,-0.98,0.77,0,0,0,17/11/2022 05:32:02
0.59,0.08,-0.79,-0.28,-0.98,0.35,0,1,0,17/11/2022 05:32:02
0.59,0.09,-0.80,-0.70,-0.91,0.63,0,0,0,17/11/2022 05:32:02
0.58,0.09,-0.79,-1.68,-1.26,0.14,0,0,0,17/11/2022 05:32:02
0.59,0.09,-0.79,-0.77,-1.12,0.63,0,0,0,17/11/2022 05:32:02
0.58,0.09,-0.79,-0.63,-0.91,0.63,0,0,0,17/11/2022 05:32:02
0.59,0.09,-0.79,0.07,-0.56,0.91,0,0,0,17/11/2022 05:32:02
0.59,0.09,-0.79,-0.98,-0.98,0.56,0,0,0,17/11/2022 05:32:03
0.59,0.09,-0.79,-1.40,-1.05,0.70,0,0,0,17/11/2022 05:32:03
0.59,0.09,-0.79,-0.63,-0.91,0.84,0,0,0,17/11/2022 05:32:03
0.58,0.09,-0.80,-0.84,-1.26,0.84,0,0,0,17/11/2022 05:32:03
0.59,0.09,-0.79,-0.77,-1.19,0.77,0,0,0,17/11/2022 05:32:03
0.59,0.09,-0.79,-0.42,-0.84,0.77,0,0,0,17/11/2022 05:32:03
0.58,0.09,-0.80,-1.47,-1.47,0.84,0,0,0,17/11/2022 05:32:03
0.58,0.08,-0.79,-0.42,-0.84,0.91,0,0,0,17/11/2022 05:32:03
0.58,0.09,-0.79,-0.49,-0.98,0.77,0,0,0,17/11/2022 05:32:03
0.58,0.09,-0.79,-1.19,-0.98,0.63,0,0,0,17/11/2022 05:32:03
0.58,0.09,-0.79,-0.56,-1.33,0.70,0,0,0,17/11/2022 05:32:03
0.58,0.09,-0.79,-0.42,-1.05,0.77,0,0,0,17/11/2022 05:32:03
0.59,0.09,-0.79,0.07,-0.98,0.98,0,0,0,17/11/2022 05:32:03
0.59,0.09,-0.79,-0.56,-1.33,0.63,0,0,0,17/11/2022 05:32:03
0.59,0.09,-0.79,-1.12,-1.26,0.56,0,0,0,17/11/2022 05:32:03
0.58,0.09,-0.79,-0.77,-0.98,0.49,0,0,0,17/11/2022 05:32:03
0.58,0.08,-0.79,-0.91,-1.33,0.70,0,0,0,17/11/2022 05:32:03
0.58,0.08,-0.79,-0.35,-0.84,0.49,0,0,0,17/11/2022 05:32:04
0.59,0.09,-0.79,-0.49,-0.91,0.84,0,0,0,17/11/2022 05:32:04
0.58,0.09,-0.79,-0.70,-1.12,0.70,0,0,0,17/11/2022 05:32:04
0.59,0.08,-0.79,-0.70,-0.77,0.77,0,0,0,17/11/2022 05:32:04
0.59,0.09,-0.79,-0.70,-1.19,0.98,0,0,0,17/11/2022 05:32:04
0.58,0.09,-0.79,-0.49,-0.63,0.91,0,0,0,17/11/2022 05:32:04
0.58,0.09,-0.79,-0.42,-0.84,0.91,0,0,0,17/11/2022 05:32:04
0.58,0.09,-0.79,-0.63,-0.63,0.84,0,0,0,17/11/2022 05:32:04
0.59,0.09,-0.80,-0.56,-0.77,0.98,0,0,0,17/11/2022 05:32:04
0.59,0.09,-0.80,-1.12,-1.05,0.63,0,0,0,17/11/2022 05:32:04
0.58,0.09,-0.79,-0.70,-0.98,0.63,0,0,0,17/11/2022 05:32:04
0.59,0.08,-0.80,-0.77,-0.77,0.77,0,0,0,17/11/2022 05:32:04
0.58,0.08,-0.79,-0.07,-0.63,0.98,0,0,0,17/11/2022 05:32:04
0.59,0.09,-0.79,-0.07,-0.91,0.77,0,0,0,17/11/2022 05:32:04
0.59,0.08,-0.79,-0.77,-1.05,0.56,0,0,0,17/11/2022 05:32:04
0.59,0.08,-0.80,-1.75,-1.40,0.56,0,0,0,17/11/2022 05:32:04
0.59,0.09,-0.79,-0.70,-1.19,0.98,0,0,0,17/11/2022 05:32:04
0.59,0.08,-0.79,-0.35,-0.56,0.84,0,0,0,17/11/2022 05:32:05
0.58,0.08,-0.79,-0.35,-0.98,0.91,0,0,0,17/11/2022 05:32:05
0.58,0.08,-0.79,-0.49,-0.91,0.77,0,0,0,17/11/2022 05:32:05
0.58,0.09,-0.79,-0.49,-1.05,0.84,0,0,0,17/11/2022 05:32:05
0.59,0.08,-0.79,-0.14,-0.84,1.05,0,0,0,17/11/2022 05:32:05
0.58,0.08,-0.79,-0.49,-0.70,0.77,0,0,0,17/11/2022 05:32:05
0.59,0.08,-0.80,-0.70,-0.98,0.98,0,0,0,17/11/2022 05:32:05
0.59,0.08,-0.79,-0.56,-0.84,0.63,0,0,0,17/11/2022 05:32:05
0.58,0.08,-0.79,-0.56,-0.70,0.63,0,0,0,17/11/2022 05:32:05
0.58,0.08,-0.79,-0.70,-0.77,0.35,0,0,0,17/11/2022 05:32:05
0.59,0.08,-0.79,-1.12,-0.91,0.21,0,0,0,17/11/2022 05:32:05
0.59,0.08,-0.79,-1.33,-1.12,0.14,0,0,0,17/11/2022 05:32:05
0.58,0.08,-0.79,-1.26,-0.84,0.00,0,0,0,17/11/2022 05:32:05
0.59,0.08,-0.79,-1.26,-1.12,-0.21,0,0,0,17/11/2022 05:32:05
0.59,0.08,-0.79,-1.61,-1.19,-0.07,0,0,0,17/11/2022 05:32:05
0.58,0.08,-0.79,-1.61,-1.19,-0.35,0,0,0,17/11/2022 05:32:05
0.58,0.09,-0.80,-0.77,-0.70,0.14,0,0,0,17/11/2022 05:32:06
0.58,0.09,-0.80,-1.12,-0.49,0.21,0,0,0,17/11/2022 05:32:06
0.59,0.08,-0.78,-1.61,-1.05,0.14,0,0,0,17/11/2022 05:32:06
0.59,0.08,-0.78,-1.47,-0.98,-0.28,0,0,0,17/11/2022 05:32:06
0.59,0.09,-0.79,-0.28,-0.77,0.00,0,0,0,17/11/2022 05:32:06
0.59,0.09,-0.79,-2.10,-1.75,0.42,0,0,0,17/11/2022 05:32:06
0.59,0.09,-0.79,-1.89,-2.10,0.35,0,0,0,17/11/2022 05:32:06
0.58,0.09,-0.79,-1.75,-1.54,-0.07,0,0,0,17/11/2022 05:32:06
0.58,0.09,-0.80,-0.84,-1.68,0.56,0,0,0,17/11/2022 05:32:06
0.58,0.09,-0.79,-0.84,-1.19,0.91,0,0,0,17/11/2022 05:32:06
0.58,0.08,-0.79,-2.87,-1.61,0.21,0,0,0,17/11/2022 05:32:06
