ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.42,0.41,-0.77,1.82,2.03,3.92,0,0,0,17/11/2022 05:27:26
0.43,0.42,-0.78,8.61,-3.64,24.15,0,0,0,17/11/2022 05:27:26
0.45,0.39,-0.79,6.16,-2.38,8.68,0,0,0,17/11/2022 05:27:26
0.44,0.44,-0.79,-20.44,-3.43,-13.51,0,0,0,17/11/2022 05:27:26
0.49,0.39,-0.78,-4.34,-1.68,-0.63,0,0,0,17/11/2022 05:27:26
0.44,0.41,-0.79,-1.33,-1.26,-0.28,0,0,0,17/11/2022 05:27:26
0.44,0.41,-0.78,-0.91,-0.63,0.35,0,0,0,17/11/2022 05:27:26
0.44,0.41,-0.78,-0.56,-1.05,0.56,0,0,0,17/11/2022 05:27:26
0.44,0.41,-0.78,-0.70,-1.05,0.56,0,0,0,17/11/2022 05:27:26
0.43,0.42,-0.78,-0.35,-0.84,0.98,0,0,0,17/11/2022 05:27:26
0.44,0.41,-0.78,-0.77,-0.84,0.77,0,0,0,17/11/2022 05:27:27
0.43,0.41,-0.78,-0.56,-0.91,0.84,0,0,0,17/11/2022 05:27:27
0.44,0.41,-0.78,-0.84,-0.98,0.77,0,0,0,17/11/2022 05:27:27
0.44,0.41,-0.78,-2.10,-1.33,0.14,0,0,0,17/11/2022 05:27:27
0.43,0.42,-0.78,-1.05,-1.54,0.28,0,0,0,17/11/2022 05:27:27
0.44,0.41,-0.78,-0.07,-1.19,0.91,0,0,0,17/11/2022 05:27:27
0.44,0.41,-0.79,-0.14,-0.91,0.98,0,0,0,17/11/2022 05:27:27
0.43,0.41,-0.78,-0.14,-0.84,0.98,0,0,0,17/11/2022 05:27:27
0.44,0.41,-0.79,-0.56,-1.47,0.56,0,0,0,17/11/2022 05:27:27
0.44,0.41,-0.79,-0.84,-1.19,0.56,0,0,0,17/11/2022 05:27:27
0.43,0.41,-0.79,-0.84,-1.40,0.84,0,0,0,17/11/2022 05:27:27
0.43,0.41,-0.79,-1.26,-1.33,0.56,0,0,0,17/11/2022 05:27:27
0.43,0.41,-0.78,-0.77,-1.12,0.28,0,0,0,17/11/2022 05:27:27
0.44,0.41,-0.78,-1.33,-1.19,0.07,0,0,0,17/11/2022 05:27:27
0.43,0.41,-0.78,-1.47,-1.54,0.14,0,0,0,17/11/2022 05:27:27
0.43,0.41,-0.78,-1.26,-1.40,0.14,0,0,0,17/11/2022 05:27:27
0.43,0.42,-0.78,-1.82,-1.54,0.21,0,0,0,17/11/2022 05:27:28
0.43,0.41,-0.79,-0.91,-1.40,0.28,0,0,0,17/11/2022 05:27:28
0.43,0.42,-0.78,-1.47,-1.33,0.35,0,0,0,17/11/2022 05:27:28
0.43,0.41,-0.78,-2.38,-1.19,-0.28,0,0,0,17/11/2022 05:27:28
0.42,0.42,-0.78,-2.66,-1.47,-0.70,0,0,0,17/11/2022 05:27:28
0.43,0.42,-0.79,-1.19,-1.05,0.07,0,0,0,17/11/2022 05:27:28
0.43,0.42,-0.78,0.56,-0.21,1.12,0,0,0,17/11/2022 05:27:28
0.43,0.42,-0.78,0.84,-0.35,1.82,0,0,0,17/11/2022 05:27:28
0.43,0.42,-0.79,0.84,-0.49,1.61,0,0,0,17/11/2022 05:27:28
0.43,0.41,-0.78,1.19,-0.56,1.54,0,0,0,17/11/2022 05:27:28
0.43,0.41,-0.78,0.91,-0.70,1.61,0,0,0,17/11/2022 05:27:28
0.43,0.41,-0.78,-0.07,-0.98,1.19,0,0,0,17/11/2022 05:27:28
