ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.22,-0.29,-0.97,14.70,42.63,-34.51,0,2,0,30/12/2022 03:28:03
0.46,-0.17,-0.84,-16.31,-13.79,0.84,0,0,0,30/12/2022 03:28:03
0.34,-0.20,-0.89,-35.77,0.56,-21.00,1,0,0,30/12/2022 03:28:03
0.31,-0.17,-0.90,-26.04,-0.63,-19.46,0,2,0,30/12/2022 03:28:03
0.31,-0.12,-0.93,-10.36,-2.87,-12.04,0,0,0,30/12/2022 03:28:03
0.26,-0.07,-1.05,-24.64,2.87,4.90,1,0,0,30/12/2022 03:28:03
0.28,-0.07,-1.03,-23.45,-1.12,15.54,0,0,0,30/12/2022 03:28:03
0.35,-0.04,-1.02,-31.64,-2.59,16.45,0,0,0,30/12/2022 03:28:04
0.31,-0.03,-0.96,-27.58,-0.91,14.49,0,0,0,30/12/2022 03:28:04
0.29,-0.06,-0.90,12.53,-4.83,0.70,0,0,0,30/12/2022 03:28:04
0.34,-0.03,-0.95,-2.87,-2.10,5.46,1,0,0,30/12/2022 03:28:04
0.32,-0.06,-0.95,-11.83,-1.61,4.55,0,0,0,30/12/2022 03:28:04
0.30,-0.04,-0.94,-14.07,-3.92,-1.61,6,0,0,30/12/2022 03:28:04
0.30,-0.04,-0.92,-13.09,-7.98,-7.14,0,0,0,30/12/2022 03:28:04
0.50,-0.06,-1.04,-22.68,-17.71,-18.48,0,0,0,30/12/2022 03:28:04
0.51,-0.11,-1.00,-27.02,-33.60,-32.90,0,0,1,30/12/2022 03:28:04
0.22,-0.16,-0.97,-26.11,-30.38,-35.49,1,132,0,30/12/2022 03:28:04
0.12,-0.02,-0.95,51.38,-39.34,-33.67,0,183,0,30/12/2022 03:28:04
0.03,-0.19,-1.09,36.40,-12.60,12.39,0,225,0,30/12/2022 03:28:04
0.05,-0.11,-1.08,-25.48,-14.77,11.41,4,277,0,30/12/2022 03:28:04
0.11,0.08,-0.95,-68.39,-19.04,29.12,0,116,7,30/12/2022 03:28:04
0.12,0.23,-0.86,-56.70,-24.29,40.39,1,0,0,30/12/2022 03:28:04
0.07,0.31,-0.83,-5.04,-10.71,23.45,1,2,4,30/12/2022 03:28:04
0.10,0.29,-0.91,24.22,12.39,8.75,0,0,0,30/12/2022 03:28:04
0.05,0.03,-1.04,65.66,0.70,-21.77,0,0,9,30/12/2022 03:28:05
