ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.02,-0.23,-0.92,4.69,5.53,4.90,6,0,0,30/12/2022 03:31:40
0.25,-0.08,-1.23,-102.62,-18.76,-31.43,0,0,0,30/12/2022 03:31:40
0.24,0.00,-0.91,-72.17,-28.07,-32.62,0,0,0,30/12/2022 03:31:40
0.09,-0.15,-0.83,-13.09,-32.27,-21.77,0,0,0,30/12/2022 03:31:40
0.03,-0.04,-0.74,-13.72,-8.68,-9.24,2,0,0,30/12/2022 03:31:40
0.04,0.10,-0.84,-8.96,8.96,-10.85,1,0,0,30/12/2022 03:31:40
0.10,0.17,-0.89,-1.68,24.92,-3.29,0,2,0,30/12/2022 03:31:40
0.07,0.16,-0.97,29.05,17.36,5.04,0,0,0,30/12/2022 03:31:40
0.09,0.05,-1.00,51.73,25.62,-1.40,0,3,1,30/12/2022 03:31:40
0.24,0.15,-0.82,125.44,10.15,-8.89,5,0,0,30/12/2022 03:31:40
0.23,-0.04,-1.03,20.30,45.36,-15.19,0,0,11,30/12/2022 03:31:40
0.21,0.08,-1.04,35.21,31.01,12.67,6,11,3,30/12/2022 03:31:40
0.13,-0.18,-1.01,139.58,-36.33,4.69,0,0,2,30/12/2022 03:31:40
0.08,-0.39,-1.06,-21.21,16.80,27.79,0,0,0,30/12/2022 03:31:40
0.22,-0.15,-1.03,-38.43,-0.28,15.33,0,1,0,30/12/2022 03:31:40
0.20,-0.13,-0.87,-22.19,-0.21,24.01,0,2,0,30/12/2022 03:31:41
0.18,-0.10,-0.94,-20.23,-4.27,21.63,0,0,0,30/12/2022 03:31:41
0.14,-0.11,-0.92,-40.25,2.52,24.01,0,0,0,30/12/2022 03:31:41
0.15,-0.07,-0.95,-16.45,3.01,18.69,8,2,1,30/12/2022 03:31:41
0.22,-0.01,-1.06,-8.61,-12.39,13.44,3,0,0,30/12/2022 03:31:41
0.25,0.03,-1.00,-11.34,6.23,-10.29,1,0,0,30/12/2022 03:31:41
0.22,-0.09,-0.90,9.31,3.57,-17.29,1,0,0,30/12/2022 03:31:41
0.34,-0.02,-0.98,-2.17,12.04,-35.35,0,1,2,30/12/2022 03:31:41
0.20,-0.21,-0.98,101.22,-14.63,-20.37,4,0,0,30/12/2022 03:31:41
0.02,-0.35,-0.99,48.09,-6.86,0.98,2,0,0,30/12/2022 03:31:41
-0.01,-0.17,-1.07,-59.92,-12.60,64.54,1,0,6,30/12/2022 03:31:41
0.36,0.06,-0.87,30.73,-9.17,13.30,0,0,0,30/12/2022 03:31:41
0.48,0.03,-1.03,49.98,10.36,-61.67,0,0,0,30/12/2022 03:31:41
0.29,-0.38,-0.98,83.51,-29.54,-73.15,0,0,2,30/12/2022 03:31:41
-0.07,-0.43,-0.99,-52.99,46.27,-11.83,0,0,0,30/12/2022 03:31:41
-0.03,-0.08,-1.12,-1.75,-7.56,33.18,0,0,0,30/12/2022 03:31:42
0.07,0.11,-0.97,-79.03,-2.10,54.53,0,0,0,30/12/2022 03:31:42
0.40,0.29,-0.84,-8.89,-22.26,6.51,0,0,0,30/12/2022 03:31:42
0.49,0.10,-0.90,6.93,-3.43,-40.95,0,0,0,30/12/2022 03:31:42
0.47,-0.17,-0.95,20.86,17.64,-83.51,0,0,0,30/12/2022 03:31:42
0.16,-0.53,-0.94,92.89,-3.15,-55.72,0,0,0,30/12/2022 03:31:42
-0.16,-0.57,-1.08,34.86,6.44,22.12,0,0,0,30/12/2022 03:31:42
-0.05,-0.18,-1.05,-100.45,4.69,92.26,0,1,0,30/12/2022 03:31:42
0.38,0.47,-0.95,-138.88,0.63,26.25,0,0,0,30/12/2022 03:31:42
0.44,0.31,-0.90,2.87,-9.24,-23.87,1,0,6,30/12/2022 03:31:42
0.40,-0.18,-0.94,0.00,43.40,-72.52,1,0,1,30/12/2022 03:31:42
0.26,-0.27,-0.97,95.13,-3.50,-61.04,0,2,3,30/12/2022 03:31:42
-0.19,-0.49,-1.05,4.90,-8.19,19.32,4,0,1,30/12/2022 03:31:42
0.05,-0.05,-0.94,-123.20,1.61,95.13,0,0,1,30/12/2022 03:31:42
0.48,0.36,-0.90,-81.69,8.75,42.07,7,0,0,30/12/2022 03:31:42
0.52,0.25,-1.01,15.82,20.02,-63.98,5,1,6,30/12/2022 03:31:43
0.38,-0.14,-1.18,71.89,4.41,-54.67,0,0,0,30/12/2022 03:31:43
-0.01,-0.67,-1.32,37.45,-65.38,14.00,0,2,0,30/12/2022 03:31:43
0.00,-0.26,-0.90,-219.66,8.89,100.80,1,0,9,30/12/2022 03:31:43
0.35,-0.13,-1.00,136.78,-46.13,-5.32,0,1,0,30/12/2022 03:31:43
0.19,-0.04,-0.81,44.59,-27.02,-17.99,0,0,0,30/12/2022 03:31:43
0.24,-0.36,-0.97,-10.08,7.14,7.49,0,0,0,30/12/2022 03:31:43
0.23,0.21,-1.00,1.75,-12.95,-23.73,0,223,0,30/12/2022 03:31:43
0.17,-0.22,-1.04,38.08,-4.27,-11.06,0,646,1,30/12/2022 03:31:43
0.17,-0.18,-1.04,-23.80,0.21,-8.19,0,726,1,30/12/2022 03:31:43
0.22,-0.04,-0.99,-217.28,-13.02,-24.71,0,705,0,30/12/2022 03:31:43
0.20,0.55,-0.74,-345.03,-11.83,-38.36,4,768,3,30/12/2022 03:31:43
0.02,0.70,-0.56,-420.98,2.94,-102.97,6,778,0,30/12/2022 03:31:43
-0.04,1.21,-0.18,-323.40,38.50,-36.96,0,753,0,30/12/2022 03:31:44
0.09,1.04,-0.34,-72.94,39.83,-29.05,10,759,3,30/12/2022 03:31:44
-0.01,0.75,-0.22,-0.77,24.01,-5.74,0,743,9,30/12/2022 03:31:44
0.08,0.81,0.01,-128.87,3.64,-9.66,0,734,8,30/12/2022 03:31:44
0.11,1.03,0.14,-65.66,12.25,37.31,1,716,0,30/12/2022 03:31:44
0.07,0.97,-0.11,348.18,-84.14,-27.72,0,4,0,30/12/2022 03:31:44
-0.07,0.61,-0.61,183.68,-19.18,9.59,4,5,0,30/12/2022 03:31:45
0.03,0.63,-0.79,213.64,-39.83,25.97,6,1,9,30/12/2022 03:31:45
0.02,0.34,-0.81,222.39,-70.77,18.90,0,0,1,30/12/2022 03:31:45
-0.02,0.31,-0.90,70.84,-25.06,24.85,8,1,2,30/12/2022 03:31:45
-0.13,0.10,-0.98,22.05,-19.88,10.29,1,0,0,30/12/2022 03:31:45
-0.07,0.17,-0.97,2.73,-4.90,10.99,0,0,0,30/12/2022 03:31:45
-0.08,0.18,-0.98,-15.19,3.99,0.56,0,70,0,30/12/2022 03:31:46
0.01,0.50,-0.85,86.10,13.72,16.10,5,246,332,30/12/2022 03:31:46
-0.01,0.19,-1.00,40.39,-6.44,-3.57,0,250,420,30/12/2022 03:31:46
0.04,0.14,-1.03,46.55,-10.99,3.78,0,291,379,30/12/2022 03:31:46
0.03,0.03,-1.03,54.39,-8.33,0.28,0,304,422,30/12/2022 03:31:46
0.05,0.06,-0.99,36.68,-2.17,-0.14,0,341,422,30/12/2022 03:31:46
0.06,-0.00,-1.01,27.44,2.38,-2.59,0,372,433,30/12/2022 03:31:46
0.09,-0.04,-1.02,34.44,-8.05,4.90,0,382,440,30/12/2022 03:31:46
0.04,-0.14,-0.98,12.46,-8.96,3.85,0,391,442,30/12/2022 03:31:46
0.05,-0.04,-1.00,-1.12,1.75,6.37,0,402,443,30/12/2022 03:31:46
0.07,-0.06,-0.99,-6.02,-0.84,0.21,0,401,444,30/12/2022 03:31:46
0.07,-0.03,-1.00,11.27,3.92,3.71,1,410,448,30/12/2022 03:31:46
0.04,-0.05,-1.02,12.46,-5.32,-1.12,0,401,420,30/12/2022 03:31:46
0.03,-0.10,-0.99,0.70,3.22,1.89,0,417,420,30/12/2022 03:31:46
0.02,-0.07,-1.01,16.73,-1.26,-0.14,0,417,426,30/12/2022 03:31:46
0.05,-0.08,-1.02,10.99,-5.67,-0.42,1,425,441,30/12/2022 03:31:46
0.06,-0.07,-1.02,12.53,-8.33,1.96,0,433,464,30/12/2022 03:31:46
0.02,-0.17,-1.00,7.07,5.25,-1.82,0,446,489,30/12/2022 03:31:46
0.06,-0.10,-1.01,15.19,0.63,0.49,0,453,497,30/12/2022 03:31:47
0.03,-0.18,-1.02,3.78,3.78,-2.38,0,456,510,30/12/2022 03:31:47
0.05,-0.17,-1.01,16.03,5.74,-1.33,0,461,521,30/12/2022 03:31:47
0.04,-0.18,-0.97,11.20,5.88,-4.20,0,462,526,30/12/2022 03:31:47
0.06,-0.23,-0.95,16.52,0.42,-1.82,0,473,539,30/12/2022 03:31:47
0.08,-0.21,-0.97,11.62,-0.70,2.73,0,474,566,30/12/2022 03:31:47
0.08,-0.23,-0.93,1.12,0.63,2.94,0,481,588,30/12/2022 03:31:47
0.08,-0.25,-0.95,10.43,-4.13,4.06,0,480,595,30/12/2022 03:31:47
0.08,-0.25,-0.96,4.27,-1.33,7.35,0,508,601,30/12/2022 03:31:47
0.08,-0.27,-0.98,-17.85,-3.78,5.32,0,545,620,30/12/2022 03:31:47
0.06,-0.20,-0.98,3.01,-2.17,-0.21,0,561,631,30/12/2022 03:31:47
0.05,-0.24,-0.98,-2.80,-4.34,4.13,6,571,636,30/12/2022 03:31:47
0.08,-0.22,-0.99,-2.94,-5.53,5.25,0,549,646,30/12/2022 03:31:47
0.06,-0.24,-0.97,-16.24,4.55,12.67,0,565,653,30/12/2022 03:31:47
0.05,-0.18,-1.00,-2.80,-1.96,-0.35,0,580,668,30/12/2022 03:31:47
0.03,-0.29,-1.02,12.25,0.49,5.74,0,568,649,30/12/2022 03:31:48
0.03,-0.20,-0.98,-2.73,2.52,1.05,0,532,647,30/12/2022 03:31:48
0.04,-0.19,-0.95,9.59,-11.69,1.33,0,481,635,30/12/2022 03:31:48
0.04,-0.26,-0.94,22.26,-7.14,1.68,2,459,621,30/12/2022 03:31:48
0.04,-0.30,-0.97,9.52,2.17,-2.59,0,454,617,30/12/2022 03:31:48
0.04,-0.27,-0.99,6.86,2.10,-7.70,0,458,622,30/12/2022 03:31:48
0.05,-0.26,-0.96,10.36,-1.26,-3.78,0,479,627,30/12/2022 03:31:48
0.01,-0.24,-0.96,7.21,-2.31,-2.66,4,504,638,30/12/2022 03:31:48
0.06,-0.29,-0.96,27.58,-16.10,31.15,0,505,656,30/12/2022 03:31:48
-0.02,-0.40,-0.95,13.51,2.52,35.84,3,552,673,30/12/2022 03:31:48
0.00,-0.36,-0.93,-5.60,-9.10,3.22,0,570,685,30/12/2022 03:31:48
0.01,-0.31,-0.92,-4.48,4.41,2.94,3,581,702,30/12/2022 03:31:48
0.03,-0.37,-0.95,-2.73,-4.27,1.40,0,588,737,30/12/2022 03:31:48
0.01,-0.37,-0.95,-13.51,4.20,5.67,177,570,715,30/12/2022 03:31:49
0.03,-0.30,-0.95,-21.98,5.53,3.43,110,543,673,30/12/2022 03:31:49
0.02,-0.28,-0.98,-24.50,5.32,0.70,128,498,642,30/12/2022 03:31:49
0.02,-0.28,-1.00,-17.36,2.80,-0.63,153,444,628,30/12/2022 03:31:49
-0.01,-0.25,-0.96,0.21,-4.27,-0.42,83,419,577,30/12/2022 03:31:49
0.02,-0.27,-0.97,-3.92,-3.57,2.45,0,266,518,30/12/2022 03:31:49
0.04,-0.21,-0.98,-13.02,2.24,-3.57,85,302,468,30/12/2022 03:31:49
0.02,-0.23,-1.00,-9.17,0.21,-2.24,99,409,476,30/12/2022 03:31:49
-0.00,-0.21,-1.00,-4.13,-1.68,-2.73,147,460,490,30/12/2022 03:31:49
0.01,-0.22,-0.95,-8.61,-2.66,-2.38,403,469,584,30/12/2022 03:31:49
0.04,-0.16,-0.95,-13.58,4.13,3.22,570,566,707,30/12/2022 03:31:50
