ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.27,-0.54,-0.78,-9.03,-29.47,27.16,0,0,0,07/11/2022 01:39:42
0.11,-0.54,-0.79,-7.42,-23.10,17.36,0,0,0,07/11/2022 01:39:42
0.21,-0.48,-0.80,-51.24,-45.01,20.30,0,0,0,07/11/2022 01:39:42
-0.06,-0.51,-0.80,-111.86,-49.91,-27.58,0,0,0,07/11/2022 01:39:42
0.05,-0.50,-0.87,-189.49,-72.45,20.30,0,0,0,07/11/2022 01:39:42
-0.08,0.03,-0.88,-234.64,-106.05,15.40,0,0,0,07/11/2022 01:39:42
-0.21,0.07,-0.90,-199.29,-64.89,13.02,0,0,0,07/11/2022 01:39:43
-0.35,0.46,-0.87,-136.85,-75.18,37.59,0,0,60,07/11/2022 01:39:43
-0.30,0.43,-0.83,-65.24,-33.95,15.75,0,0,0,07/11/2022 01:39:43
-0.43,0.59,-0.86,4.62,-19.32,9.38,0,0,105,07/11/2022 01:39:43
-0.38,0.45,-0.85,34.72,7.63,3.29,0,0,111,07/11/2022 01:39:43
-0.34,0.38,-0.86,5.53,-1.19,6.37,0,0,97,07/11/2022 01:39:43
-0.33,0.46,-0.82,2.03,3.01,8.96,0,0,0,07/11/2022 01:39:43
-0.30,0.48,-0.86,-21.84,-6.72,22.61,0,0,0,07/11/2022 01:39:43
-0.34,0.49,-0.84,-35.63,-16.52,-2.80,0,0,0,07/11/2022 01:39:43
-0.29,0.48,-0.79,4.83,-0.77,-2.10,0,0,0,07/11/2022 01:39:43
-0.35,0.36,-0.83,5.81,6.37,2.10,0,148,92,07/11/2022 01:39:43
-0.34,0.51,-0.85,-12.95,-6.86,-1.89,0,183,106,07/11/2022 01:39:43
-0.31,0.36,-0.80,-14.35,14.35,2.52,0,214,99,07/11/2022 01:39:43
-0.33,0.51,-0.78,-18.48,5.95,0.63,0,247,99,07/11/2022 01:39:43
-0.28,0.42,-0.82,-50.68,-0.70,7.21,0,256,94,07/11/2022 01:39:43
-0.32,0.59,-0.82,-31.01,-9.31,-33.60,0,267,96,07/11/2022 01:39:43
-0.30,0.62,-0.81,-0.63,-5.39,-0.63,0,260,98,07/11/2022 01:39:43
-0.30,0.53,-0.79,-0.56,-9.31,-1.19,0,266,100,07/11/2022 01:39:44
-0.35,0.55,-0.75,10.15,-7.91,-0.42,0,265,112,07/11/2022 01:39:44
-0.32,0.51,-0.77,7.35,-7.28,1.26,0,237,113,07/11/2022 01:39:44
-0.37,0.54,-0.74,4.62,-7.70,3.57,0,0,91,07/11/2022 01:39:44
-0.33,0.52,-0.75,10.29,-8.75,3.50,0,0,82,07/11/2022 01:39:44
-0.33,0.52,-0.71,-4.76,-6.30,2.94,0,0,61,07/11/2022 01:39:44
-0.34,0.54,-0.73,-5.67,-6.58,-18.76,0,0,9,07/11/2022 01:39:44
-0.38,0.62,-0.72,-16.94,-7.70,0.35,0,167,0,07/11/2022 01:39:44
-0.37,0.59,-0.73,10.29,-5.25,-3.92,0,208,0,07/11/2022 01:39:44
-0.39,0.53,-0.76,-0.14,0.07,-7.56,0,241,0,07/11/2022 01:39:44
-0.39,0.50,-0.79,-4.62,4.55,-5.11,0,272,0,07/11/2022 01:39:44
-0.38,0.48,-0.76,-6.37,3.08,-1.47,0,304,0,07/11/2022 01:39:44
-0.37,0.58,-0.76,-24.64,-7.21,-7.14,0,299,0,07/11/2022 01:39:44
-0.35,0.57,-0.71,2.87,4.34,-2.10,0,270,0,07/11/2022 01:39:44
-0.36,0.56,-0.73,1.12,-3.29,-1.05,0,285,0,07/11/2022 01:39:44
-0.38,0.48,-0.74,53.97,14.77,8.19,0,264,0,07/11/2022 01:39:44
-0.34,0.46,-0.77,-16.94,-7.14,1.26,0,273,0,07/11/2022 01:39:45
-0.39,0.59,-0.78,8.12,1.89,4.48,0,301,0,07/11/2022 01:39:45
-0.35,0.45,-0.77,3.43,3.43,1.05,0,376,0,07/11/2022 01:39:45
-0.39,0.53,-0.79,-11.76,-6.37,0.14,0,396,0,07/11/2022 01:39:45
-0.38,0.51,-0.78,29.33,9.24,0.56,0,419,0,07/11/2022 01:39:45
