ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.63,-0.70,-0.51,-51.24,-18.34,130.13,0,0,0,21/12/2022 09:04:47
0.18,-0.80,-0.56,-94.99,-18.34,23.66,0,0,0,21/12/2022 09:04:47
0.12,-0.46,-0.75,-134.82,-66.50,25.13,0,0,0,21/12/2022 09:04:47
-0.28,-0.14,-0.77,-85.96,-59.64,20.16,0,0,0,21/12/2022 09:04:48
-0.30,-0.07,-0.85,-31.29,-36.12,33.95,0,0,0,21/12/2022 09:04:48
-0.47,-0.15,-0.87,-21.70,-3.01,37.10,0,0,0,21/12/2022 09:04:48
-0.53,-0.10,-0.93,-38.01,18.76,34.30,0,0,0,21/12/2022 09:04:48
-0.40,0.03,-1.05,-22.47,29.75,45.85,0,0,0,21/12/2022 09:04:49
-0.36,0.02,-1.00,-37.10,13.86,27.72,0,0,0,21/12/2022 09:04:49
-0.36,0.09,-0.97,-55.09,10.08,20.44,0,0,0,21/12/2022 09:04:49
-0.28,0.19,-0.99,-43.19,8.47,-0.77,0,0,0,21/12/2022 09:04:49
-0.24,0.11,-0.91,-11.83,23.45,-19.25,0,0,0,21/12/2022 09:04:49
-0.12,0.05,-0.96,21.77,-10.50,-0.07,0,0,0,21/12/2022 09:04:49
-0.17,0.03,-0.97,11.06,-8.05,1.89,0,0,0,21/12/2022 09:04:49
-0.19,0.02,-1.00,21.56,-4.97,5.81,0,0,0,21/12/2022 09:04:49
-0.19,-0.02,-1.00,2.03,-10.92,1.96,0,0,0,21/12/2022 09:04:49
-0.22,0.03,-0.97,-7.07,-10.08,-1.40,0,0,0,21/12/2022 09:04:49
-0.22,0.03,-0.97,11.48,-2.31,1.33,0,0,0,21/12/2022 09:04:49
-0.22,-0.01,-0.98,-0.35,-4.27,1.26,0,0,0,21/12/2022 09:04:49
-0.20,0.03,-1.00,7.56,-2.38,0.00,0,0,0,21/12/2022 09:04:49
-0.21,-0.02,-0.99,6.02,-2.66,-0.14,0,0,0,21/12/2022 09:04:50
-0.23,-0.01,-0.97,2.94,1.26,0.14,0,0,0,21/12/2022 09:04:50
-0.22,-0.01,-0.96,5.60,3.71,-1.33,0,0,0,21/12/2022 09:04:50
-0.20,-0.02,-0.97,2.17,4.20,-4.83,0,0,0,21/12/2022 09:04:50
-0.29,-0.01,-1.00,-3.99,10.50,-14.91,0,0,0,21/12/2022 09:04:50
