ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.08,-0.52,-0.97,-12.74,-5.67,21.28,619,784,0,21/12/2022 09:13:52
0.13,-0.39,-0.89,30.17,-37.24,0.42,615,784,0,21/12/2022 09:13:52
-0.10,-0.45,-0.94,44.66,8.68,-73.43,623,784,0,21/12/2022 09:13:52
0.18,-0.62,-0.82,-28.84,-20.65,8.47,626,780,0,21/12/2022 09:13:53
0.17,-0.46,-0.84,-139.23,-23.87,-46.83,614,808,0,21/12/2022 09:13:53
0.00,-0.35,-0.86,-237.65,-45.71,-47.88,614,825,0,21/12/2022 09:13:53
0.01,0.12,-0.81,-233.45,-54.11,-50.68,550,843,0,21/12/2022 09:13:53
-0.18,0.35,-0.91,-130.34,-26.81,-17.64,518,844,0,21/12/2022 09:13:53
-0.10,0.46,-0.92,-58.03,-22.26,-35.42,515,846,0,21/12/2022 09:13:53
-0.16,0.41,-0.92,-11.90,-7.70,-4.13,492,842,0,21/12/2022 09:13:53
-0.15,0.47,-0.91,12.95,-8.47,-3.01,488,841,0,21/12/2022 09:13:53
-0.15,0.34,-0.92,38.57,10.29,-15.68,483,837,0,21/12/2022 09:13:53
-0.09,0.35,-0.98,-25.41,-16.03,-10.36,488,830,0,21/12/2022 09:13:53
-0.16,0.38,-0.90,-3.57,3.57,-9.52,490,816,0,21/12/2022 09:13:53
-0.13,0.32,-0.98,1.75,11.83,-5.25,487,805,0,21/12/2022 09:13:53
-0.10,0.33,-0.98,-22.68,1.96,-5.74,486,788,0,21/12/2022 09:13:53
-0.13,0.38,-0.95,5.11,5.81,-3.50,481,785,0,21/12/2022 09:13:53
-0.09,0.32,-0.95,-7.35,-0.70,-1.54,488,792,0,21/12/2022 09:13:53
-0.12,0.38,-0.93,-21.07,-7.91,-3.64,489,793,0,21/12/2022 09:13:53
-0.14,0.37,-0.91,7.35,2.38,-1.19,488,789,0,21/12/2022 09:13:53
-0.13,0.37,-0.91,-0.21,-1.82,1.19,488,791,0,21/12/2022 09:13:54
-0.12,0.40,-0.91,-4.97,-2.10,-0.28,491,793,0,21/12/2022 09:13:54
-0.12,0.38,-0.91,3.92,-0.49,-1.54,493,798,0,21/12/2022 09:13:54
-0.11,0.35,-0.92,-1.19,-1.33,-2.31,491,798,0,21/12/2022 09:13:54
-0.11,0.35,-0.91,-3.85,-2.66,-0.14,493,803,0,21/12/2022 09:13:54
-0.13,0.36,-0.90,-5.25,-2.73,1.05,495,813,0,21/12/2022 09:13:54
-0.14,0.38,-0.91,-15.54,-1.47,7.35,488,814,0,21/12/2022 09:13:54
-0.12,0.42,-0.88,-24.92,-7.42,4.13,500,829,0,21/12/2022 09:13:54
-0.12,0.44,-0.89,-0.77,-1.19,4.62,480,837,0,21/12/2022 09:13:54
-0.11,0.37,-0.89,-21.70,-2.38,2.52,471,832,0,21/12/2022 09:13:54
-0.13,0.48,-0.88,-13.23,-3.92,6.23,494,800,0,21/12/2022 09:13:54
-0.14,0.46,-0.90,-6.79,-1.47,4.83,483,753,0,21/12/2022 09:13:54
-0.15,0.44,-0.85,-9.10,-2.38,6.30,447,696,0,21/12/2022 09:13:54
-0.11,0.48,-0.88,-20.37,-5.53,8.96,456,762,0,21/12/2022 09:13:54
-0.14,0.46,-0.76,-44.24,-9.73,10.57,444,789,0,21/12/2022 09:13:54
-0.11,0.45,-0.76,-31.64,-8.61,-11.69,445,832,0,21/12/2022 09:13:54
-0.18,0.47,-0.81,-100.17,-28.56,13.09,450,845,0,21/12/2022 09:13:55
-0.18,0.55,-0.63,-170.10,-42.42,-52.50,453,859,0,21/12/2022 09:13:55
-0.27,1.18,-0.64,-38.85,0.84,27.23,434,859,0,21/12/2022 09:13:55
-0.31,0.55,-0.62,49.21,4.48,13.65,447,844,0,21/12/2022 09:13:55
-0.21,0.76,-0.61,-5.04,2.80,-4.20,454,858,0,21/12/2022 09:13:55
-0.22,0.72,-0.64,16.03,2.38,0.70,451,859,0,21/12/2022 09:13:55
-0.23,0.73,-0.67,13.86,-3.08,5.32,456,865,0,21/12/2022 09:13:55
-0.23,0.68,-0.63,-5.53,-3.85,3.85,443,852,0,21/12/2022 09:13:55
-0.23,0.66,-0.64,-15.89,-3.01,6.65,455,852,0,21/12/2022 09:13:55
-0.20,0.75,-0.63,-30.38,0.07,2.73,446,846,0,21/12/2022 09:13:55
-0.22,0.77,-0.61,15.33,0.70,3.57,457,846,0,21/12/2022 09:13:55
-0.20,0.73,-0.64,1.61,0.70,3.71,453,853,0,21/12/2022 09:13:55
-0.21,0.75,-0.61,2.24,0.49,8.82,450,852,0,21/12/2022 09:13:55
-0.20,0.73,-0.64,3.64,3.15,5.18,460,857,0,21/12/2022 09:13:55
