ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.24,-1.04,-0.38,-14.42,6.51,-8.96,447,0,0,21/12/2022 09:15:44
-0.18,-1.21,-0.36,13.65,-15.68,-8.89,448,0,0,21/12/2022 09:15:44
-0.17,-1.59,-0.09,-96.67,-10.85,-11.69,449,0,0,21/12/2022 09:15:44
0.18,-1.03,-0.40,-209.16,-26.53,59.36,448,0,0,21/12/2022 09:15:44
-0.26,-0.67,-0.48,-172.55,-69.44,46.97,446,0,0,21/12/2022 09:15:44
-0.26,-0.49,-0.56,-71.33,-63.21,56.35,448,0,0,21/12/2022 09:15:45
-0.41,-0.42,-0.47,-66.85,-48.09,56.84,448,0,0,21/12/2022 09:15:45
-0.47,-0.29,-0.44,-87.50,-28.84,43.54,450,0,0,21/12/2022 09:15:45
-0.52,-0.20,-0.46,-107.03,-15.33,34.02,451,0,0,21/12/2022 09:15:45
-0.51,0.06,-0.56,-76.72,-15.19,0.42,452,0,0,21/12/2022 09:15:45
-0.80,0.03,-0.54,-29.68,2.24,23.66,451,0,0,21/12/2022 09:15:45
-0.73,-0.01,-0.67,4.90,108.92,7.00,452,0,0,21/12/2022 09:15:45
-0.47,-0.16,-0.97,8.26,74.41,30.24,450,0,0,21/12/2022 09:15:45
-0.45,-0.19,-1.02,-45.43,69.02,25.13,452,0,0,21/12/2022 09:15:45
-0.46,-0.06,-0.96,-118.02,31.64,17.64,452,0,0,21/12/2022 09:15:45
-0.41,0.15,-1.01,-110.67,44.59,25.90,452,0,0,21/12/2022 09:15:45
-0.35,0.25,-1.03,-89.18,35.14,24.71,453,0,0,21/12/2022 09:15:45
-0.30,0.33,-1.08,-65.73,43.96,6.02,455,0,0,21/12/2022 09:15:45
-0.21,0.39,-1.09,-3.29,47.60,9.45,455,0,0,21/12/2022 09:15:45
-0.13,0.34,-1.01,45.22,31.78,23.45,454,0,0,21/12/2022 09:15:45
0.03,0.27,-1.08,-14.21,9.94,-13.58,454,0,0,21/12/2022 09:15:45
-0.04,0.40,-1.04,-34.72,-17.92,-22.61,454,0,0,21/12/2022 09:15:46
-0.04,0.34,-1.00,-26.60,-34.02,1.82,453,0,0,21/12/2022 09:15:46
-0.07,0.35,-0.99,-31.78,-45.15,-5.46,451,0,0,21/12/2022 09:15:46
-0.01,0.41,-0.91,-70.07,-68.88,-101.57,452,0,0,21/12/2022 09:15:46
-0.13,0.43,-0.88,-95.90,-140.07,-170.31,451,0,0,21/12/2022 09:15:46
-0.28,0.10,-0.02,-210.21,-193.90,70.91,454,0,0,21/12/2022 09:15:46
-1.11,1.56,-0.32,-220.92,27.93,-18.69,451,0,0,21/12/2022 09:15:46
-0.62,0.11,-0.51,95.62,53.27,-19.11,450,0,0,21/12/2022 09:15:46
-0.86,0.29,-0.35,-99.75,11.06,-33.25,446,0,0,21/12/2022 09:15:46
-0.56,0.63,-0.47,-222.04,-19.74,-25.13,446,0,0,21/12/2022 09:15:46
-0.69,0.86,-0.41,22.82,0.00,25.34,444,0,0,21/12/2022 09:15:46
-0.64,0.45,-0.41,-54.81,-16.80,1.68,442,0,0,21/12/2022 09:15:46
-0.67,0.95,-0.33,-46.13,-13.65,-0.35,439,0,0,21/12/2022 09:15:46
-0.78,0.79,-0.24,21.91,17.36,-2.66,443,0,0,21/12/2022 09:15:46
-0.53,0.72,-0.22,26.95,9.45,-10.71,434,0,0,21/12/2022 09:15:46
-0.57,0.70,-0.23,-28.49,-0.91,-18.20,433,0,0,21/12/2022 09:15:46
-0.64,0.62,-0.18,-23.17,5.39,6.93,438,0,0,21/12/2022 09:15:46
-0.64,0.83,-0.17,-50.75,-3.22,-20.16,438,0,0,21/12/2022 09:15:47
-0.63,0.69,-0.16,-61.04,6.44,1.96,443,0,0,21/12/2022 09:15:47
-0.63,0.93,-0.10,5.53,12.81,-7.42,440,0,0,21/12/2022 09:15:47
-0.68,0.68,-0.19,-30.66,24.43,-2.38,439,0,0,21/12/2022 09:15:47
-0.57,0.84,-0.23,-24.43,4.27,0.63,440,0,0,21/12/2022 09:15:47
-0.62,0.82,-0.14,31.29,11.27,-0.07,442,0,0,21/12/2022 09:15:47
-0.61,0.74,-0.16,17.64,-1.61,-5.67,446,0,0,21/12/2022 09:15:47
-0.60,0.83,-0.06,27.58,-1.89,-3.43,445,0,0,21/12/2022 09:15:47
-0.54,0.82,-0.16,72.45,-6.65,-12.88,447,0,0,21/12/2022 09:15:47
-0.64,0.65,-0.29,140.63,1.19,4.62,448,0,0,21/12/2022 09:15:47
-0.64,0.57,-0.31,136.64,17.71,10.08,448,0,0,21/12/2022 09:15:47
-0.66,0.51,-0.47,15.82,7.49,12.25,450,0,0,21/12/2022 09:15:47
-0.68,0.69,-0.55,45.78,5.88,12.11,450,0,0,21/12/2022 09:15:47
-0.67,0.53,-0.55,32.62,5.60,6.58,451,0,0,21/12/2022 09:15:47
-0.63,0.56,-0.54,-10.43,-6.02,-0.77,452,0,0,21/12/2022 09:15:47
-0.63,0.61,-0.53,17.57,0.98,1.82,453,0,0,21/12/2022 09:15:47
-0.59,0.55,-0.54,19.39,3.92,-0.63,452,0,0,21/12/2022 09:15:47
-0.61,0.54,-0.54,37.03,12.60,1.05,453,0,0,21/12/2022 09:15:48
-0.60,0.51,-0.57,11.55,13.44,-1.40,452,0,0,21/12/2022 09:15:48
-0.59,0.57,-0.61,19.74,13.23,-1.26,453,0,0,21/12/2022 09:15:48
-0.58,0.45,-0.59,12.60,18.62,0.63,454,0,0,21/12/2022 09:15:48
-0.58,0.55,-0.65,0.28,16.80,1.89,454,0,0,21/12/2022 09:15:48
-0.60,0.49,-0.65,-4.27,16.59,3.43,451,0,0,21/12/2022 09:15:48
-0.58,0.59,-0.67,-4.13,11.48,-4.48,448,0,0,21/12/2022 09:15:48
-0.54,0.51,-0.68,10.64,10.36,-8.61,448,0,0,21/12/2022 09:15:48
-0.56,0.50,-0.67,-8.19,5.53,-6.51,448,0,0,21/12/2022 09:15:48
-0.52,0.51,-0.70,8.89,6.23,-5.04,449,0,0,21/12/2022 09:15:48
-0.53,0.46,-0.67,2.66,2.80,1.12,449,0,0,21/12/2022 09:15:48
-0.49,0.52,-0.75,1.19,-7.00,6.16,449,0,0,21/12/2022 09:15:48
-0.52,0.49,-0.70,-7.28,-11.69,10.92,449,0,0,21/12/2022 09:15:48
-0.53,0.56,-0.69,-4.20,-16.17,17.50,449,0,0,21/12/2022 09:15:48
-0.54,0.55,-0.65,0.56,-11.06,14.49,449,0,0,21/12/2022 09:15:48
-0.51,0.56,-0.69,17.15,-3.78,10.15,449,0,0,21/12/2022 09:15:48
-0.51,0.46,-0.66,25.55,3.22,10.36,449,0,0,21/12/2022 09:15:49
-0.52,0.46,-0.66,11.76,-1.75,14.49,450,0,0,21/12/2022 09:15:49
-0.53,0.49,-0.66,11.20,-3.22,19.95,450,0,0,21/12/2022 09:15:49
-0.54,0.52,-0.67,-3.57,-13.09,12.81,450,0,0,21/12/2022 09:15:49
-0.57,0.51,-0.60,-1.19,-12.81,3.08,450,0,0,21/12/2022 09:15:49
-0.58,0.51,-0.65,-21.56,-9.03,10.22,451,0,0,21/12/2022 09:15:49
-0.49,0.55,-0.67,1.68,-0.91,5.46,451,0,0,21/12/2022 09:15:49
-0.50,0.57,-0.67,-3.08,-1.82,6.51,450,0,0,21/12/2022 09:15:49
-0.51,0.52,-0.65,-10.01,1.47,6.37,451,0,0,21/12/2022 09:15:49
-0.53,0.63,-0.65,-19.53,5.81,-7.14,450,0,0,21/12/2022 09:15:49
-0.47,0.48,-0.65,9.52,4.41,-0.63,452,0,0,21/12/2022 09:15:49
-0.44,0.54,-0.63,-26.53,4.83,1.54,451,0,0,21/12/2022 09:15:49
-0.45,0.56,-0.64,0.56,11.97,8.26,452,0,0,21/12/2022 09:15:49
-0.50,0.57,-0.68,10.78,16.31,8.82,453,0,1,21/12/2022 09:15:49
-0.50,0.59,-0.70,7.21,11.97,0.07,452,0,0,21/12/2022 09:15:49
-0.50,0.54,-0.75,7.07,5.74,-1.61,453,0,0,21/12/2022 09:15:49
-0.49,0.53,-0.73,-14.77,-7.35,-0.56,455,0,0,21/12/2022 09:15:49
-0.50,0.58,-0.71,1.40,-6.16,-6.51,453,0,0,21/12/2022 09:15:49
-0.45,0.56,-0.69,5.53,-9.31,-7.63,453,0,0,21/12/2022 09:15:50
-0.42,0.50,-0.66,-2.66,-10.64,-0.91,454,0,0,21/12/2022 09:15:50
-0.43,0.51,-0.58,-5.11,-4.83,9.31,454,0,0,21/12/2022 09:15:50
-0.41,0.65,-0.64,-28.56,12.88,0.00,453,0,0,21/12/2022 09:15:50
-0.50,0.50,-0.67,25.06,19.53,14.56,456,0,0,21/12/2022 09:15:50
-0.48,0.57,-0.73,-6.58,-2.38,15.82,455,0,0,21/12/2022 09:15:50
-0.51,0.66,-0.69,-22.40,-8.05,3.29,455,0,0,21/12/2022 09:15:50
-0.47,0.59,-0.66,17.99,5.46,-6.02,455,0,0,21/12/2022 09:15:50
-0.45,0.55,-0.68,8.75,7.84,-7.70,456,0,0,21/12/2022 09:15:50
-0.41,0.47,-0.69,3.71,7.63,6.16,457,0,0,21/12/2022 09:15:50
-0.44,0.70,-0.74,-13.79,-13.86,2.80,456,0,0,21/12/2022 09:15:50
-0.42,0.52,-0.71,-10.78,-16.66,-0.63,457,0,0,21/12/2022 09:15:50
