ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.01,-0.94,-0.65,27.37,-20.79,24.92,0,0,0,21/12/2022 09:17:30
-0.03,-0.90,-0.62,-30.38,-15.40,42.49,0,0,0,21/12/2022 09:17:30
0.07,-1.08,-0.55,-63.00,-56.49,54.39,1,0,0,21/12/2022 09:17:31
-0.06,-0.74,-0.54,-56.00,-50.82,63.07,0,0,0,21/12/2022 09:17:31
-0.26,-0.42,-0.52,-75.11,-41.02,72.94,0,0,0,21/12/2022 09:17:31
-0.63,-0.00,-0.80,-46.06,77.35,56.28,0,0,0,21/12/2022 09:17:31
-0.57,0.02,-0.95,-19.53,75.39,36.47,0,0,0,21/12/2022 09:17:31
-0.38,0.04,-1.08,-24.57,63.49,41.44,0,0,0,21/12/2022 09:17:31
-0.31,0.12,-1.08,-14.49,37.87,2.87,0,0,0,21/12/2022 09:17:31
-0.17,-0.02,-1.02,-23.59,27.44,-17.15,0,0,0,21/12/2022 09:17:31
-0.13,0.07,-1.01,-4.83,21.42,-15.82,0,0,0,21/12/2022 09:17:31
-0.11,0.06,-1.04,0.98,23.10,-18.76,0,0,0,21/12/2022 09:17:32
-0.06,0.10,-0.98,0.56,25.20,-27.09,0,0,0,21/12/2022 09:17:32
-0.03,0.05,-1.02,35.28,23.73,-18.76,0,0,0,21/12/2022 09:17:32
0.02,-0.01,-1.00,22.75,14.84,-11.62,0,0,0,21/12/2022 09:17:32
0.03,0.04,-0.98,22.47,16.10,-17.15,0,0,0,21/12/2022 09:17:32
0.22,-0.28,-1.00,7.91,14.49,4.34,0,0,0,21/12/2022 09:17:32
0.30,-0.27,-0.98,-15.68,-5.39,13.51,0,0,0,21/12/2022 09:17:33
0.34,-0.09,-0.91,-53.90,-12.39,-8.61,0,0,0,21/12/2022 09:17:33
0.12,-0.47,-0.93,13.79,12.39,3.15,0,0,0,21/12/2022 09:17:33
0.08,-0.17,-1.01,-30.59,-5.60,48.16,0,0,0,21/12/2022 09:17:33
0.09,-0.51,-0.98,37.52,20.44,-1.40,0,0,0,21/12/2022 09:17:33
0.06,-0.14,-0.97,-33.39,-4.69,49.56,0,0,0,21/12/2022 09:17:33
0.42,-0.33,-0.85,-1.89,-5.81,-26.04,0,0,0,21/12/2022 09:17:33
0.23,-0.33,-0.89,29.40,17.22,-12.39,0,0,0,21/12/2022 09:17:33
0.09,-0.40,-1.03,-9.80,21.77,8.05,0,0,0,21/12/2022 09:17:34
-0.06,-0.21,-1.00,-39.27,4.34,48.02,0,0,0,21/12/2022 09:17:34
0.43,0.18,-1.01,11.41,-13.44,-15.05,0,0,0,21/12/2022 09:17:34
0.41,-0.38,-0.89,53.41,24.43,-47.74,0,0,0,21/12/2022 09:17:34
-0.04,-0.46,-0.97,-21.84,12.04,58.24,0,0,0,21/12/2022 09:17:34
0.06,0.03,-1.06,-88.41,-28.21,57.75,0,0,0,21/12/2022 09:17:34
0.29,0.24,-0.93,-28.07,-49.42,14.63,0,0,0,21/12/2022 09:17:34
0.40,-0.04,-0.92,-9.66,-34.51,-36.33,0,0,0,21/12/2022 09:17:34
0.08,-0.70,-0.98,69.09,-25.34,55.65,0,0,0,21/12/2022 09:17:34
-0.03,-0.48,-0.96,-93.24,-51.38,120.19,0,0,0,21/12/2022 09:17:35
-0.13,-0.06,-0.98,-116.34,-56.07,122.92,0,0,0,21/12/2022 09:17:35
-0.12,0.12,-1.04,-76.86,-53.97,104.65,0,0,0,21/12/2022 09:17:35
-0.20,0.04,-0.75,-40.39,-39.90,71.61,0,0,0,21/12/2022 09:17:35
-0.25,0.04,-1.06,19.67,3.15,-46.06,0,0,0,21/12/2022 09:17:36
-0.04,-0.15,-0.99,-32.20,3.22,12.04,0,0,0,21/12/2022 09:17:36
-0.06,-0.08,-1.03,-11.27,0.00,-0.49,0,393,0,21/12/2022 09:17:36
-0.10,-0.12,-0.99,-140.56,-24.15,20.30,0,698,0,21/12/2022 09:17:36
-0.13,0.31,-0.89,-171.36,-22.26,6.51,0,674,0,21/12/2022 09:17:36
-0.27,0.44,-0.61,-206.08,-34.23,-57.33,0,699,0,21/12/2022 09:17:36
-0.31,0.54,-0.32,-245.49,-15.12,-3.78,0,713,0,21/12/2022 09:17:36
-0.24,0.80,-0.54,10.50,16.10,-3.08,0,695,0,21/12/2022 09:17:36
-0.26,0.83,-0.42,-14.07,8.89,-1.96,0,717,0,21/12/2022 09:17:37
-0.29,0.97,-0.42,-27.72,-8.05,-0.42,0,727,0,21/12/2022 09:17:37
-0.29,0.79,-0.32,11.69,4.97,4.55,0,726,0,21/12/2022 09:17:37
-0.28,0.90,-0.38,0.14,2.03,6.44,0,748,0,21/12/2022 09:17:37
-0.28,0.73,-0.36,2.52,-22.54,-15.40,0,239,0,21/12/2022 09:17:37
-0.39,0.80,-0.23,4.48,16.31,-0.07,0,14,0,21/12/2022 09:17:37
-0.27,0.88,-0.37,-27.86,21.14,-7.14,0,12,0,21/12/2022 09:17:37
-0.34,1.20,-0.33,-110.88,-3.43,-4.97,315,569,0,21/12/2022 09:17:37
-0.21,0.94,-0.09,2.45,-6.30,-4.41,370,722,0,21/12/2022 09:17:37
-0.31,0.96,-0.03,-31.99,2.52,4.27,437,0,0,21/12/2022 09:17:38
-0.33,0.96,0.04,7.56,-10.15,-4.34,344,204,0,21/12/2022 09:17:38
-0.27,0.92,0.09,-3.71,-7.49,-2.73,233,0,0,21/12/2022 09:17:38
-0.29,0.86,0.06,13.72,1.89,2.87,177,0,0,21/12/2022 09:17:38
-0.18,0.90,0.02,18.97,-25.13,-9.45,275,470,0,21/12/2022 09:17:39
-0.44,0.99,0.04,60.90,-30.80,-26.67,45,851,0,21/12/2022 09:17:39
-0.53,0.97,0.05,128.38,-4.76,-30.80,0,828,0,21/12/2022 09:17:39
-0.54,0.67,-0.23,125.65,58.24,-26.53,72,796,0,21/12/2022 09:17:39
-0.31,0.74,-0.62,42.56,66.57,-4.62,243,806,0,21/12/2022 09:17:39
-0.12,0.68,-0.82,-1.75,-5.88,-1.26,304,870,0,21/12/2022 09:17:39
-0.17,0.63,-0.70,-20.23,-6.65,-3.29,309,880,0,21/12/2022 09:17:39
-0.19,0.66,-0.72,28.77,9.94,5.46,326,884,0,21/12/2022 09:17:39
-0.16,0.74,-0.78,41.51,7.77,-13.86,312,876,0,21/12/2022 09:17:39
-0.14,0.61,-0.78,88.06,14.21,-11.62,137,816,0,21/12/2022 09:17:40
-0.15,0.34,-0.82,66.15,13.23,-19.18,80,819,0,21/12/2022 09:17:40
-0.12,0.43,-0.89,16.59,8.40,-4.62,125,873,0,21/12/2022 09:17:40
-0.17,0.47,-0.96,17.29,-0.70,-8.40,130,868,0,21/12/2022 09:17:41
-0.17,0.23,-0.90,8.33,10.99,-9.45,0,782,0,21/12/2022 09:17:41
