ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.21,-0.36,-0.92,-10.36,7.49,1.68,9,1,0,30/12/2022 03:20:13
0.31,-0.19,-0.97,34.93,-17.64,-18.69,0,0,1,30/12/2022 03:20:13
0.16,-0.35,-1.00,-8.05,-13.72,17.43,0,0,0,30/12/2022 03:20:13
0.11,-0.37,-0.93,-20.86,-2.52,10.92,1,0,0,30/12/2022 03:20:13
0.19,-0.23,-0.94,-10.99,-9.94,-5.95,0,0,0,30/12/2022 03:20:13
0.14,-0.29,-0.90,-15.05,-10.29,-3.08,0,4,0,30/12/2022 03:20:13
0.18,-0.31,-0.93,-24.36,-3.01,2.45,0,0,0,30/12/2022 03:20:14
0.17,-0.24,-0.94,-29.47,1.19,-0.07,2,0,0,30/12/2022 03:20:14
0.16,-0.22,-0.97,-10.50,-0.84,-1.40,0,0,2,30/12/2022 03:20:14
0.15,-0.24,-0.96,-5.74,-4.06,-4.06,0,0,0,30/12/2022 03:20:14
0.11,-0.25,-1.01,-16.17,1.19,1.05,0,1,0,30/12/2022 03:20:14
0.14,-0.21,-0.98,-35.84,8.05,0.21,2,0,0,30/12/2022 03:20:14
0.15,-0.18,-0.98,-68.39,13.58,1.19,0,3,0,30/12/2022 03:20:14
0.17,-0.03,-0.98,-63.14,12.32,-0.98,1,1,2,30/12/2022 03:20:14
0.20,-0.04,-0.97,-23.87,-2.17,-5.18,0,5,0,30/12/2022 03:20:14
0.22,-0.01,-0.98,-6.37,-5.53,-14.21,1,0,0,30/12/2022 03:20:14
0.25,-0.07,-0.95,3.15,-1.82,-25.90,1,0,0,30/12/2022 03:20:14
0.36,-0.17,-0.88,61.60,-7.00,-45.85,0,1,0,30/12/2022 03:20:14
0.25,-0.34,-1.03,71.75,-25.48,-49.42,0,0,0,30/12/2022 03:20:14
0.06,-0.36,-1.03,48.86,-35.84,-36.40,1,0,2,30/12/2022 03:20:14
0.04,-0.22,-1.07,-4.83,-14.35,6.16,0,0,0,30/12/2022 03:20:14
0.16,0.14,-0.99,-28.49,19.32,18.13,0,0,0,30/12/2022 03:20:14
-0.08,-0.24,-0.93,9.52,8.75,29.47,0,1,0,30/12/2022 03:20:14
0.15,0.02,-1.01,-72.10,45.99,4.27,0,0,0,30/12/2022 03:20:15
0.22,0.10,-0.90,-160.51,26.39,-47.39,0,0,0,30/12/2022 03:20:15
0.21,0.47,-0.87,-114.17,14.28,-22.89,0,0,2,30/12/2022 03:20:15
