ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.36,-0.02,-0.95,-18.13,4.97,-1.47,0,0,0,30/12/2022 03:22:30
0.31,0.00,-0.97,-15.96,1.26,-22.19,0,0,0,30/12/2022 03:22:31
0.28,-0.06,-1.14,-13.51,29.89,45.08,0,0,0,30/12/2022 03:22:31
0.63,0.19,-1.07,-97.09,4.55,-51.45,0,2,0,30/12/2022 03:22:31
0.58,0.07,-1.17,-84.91,-15.82,-71.47,1,0,2,30/12/2022 03:22:31
0.48,0.03,-1.02,-73.99,-34.72,-55.79,0,0,4,30/12/2022 03:22:31
0.28,0.22,-0.96,-107.31,-34.30,-32.62,2,0,1,30/12/2022 03:22:31
0.18,0.37,-0.74,-88.13,-42.77,-36.68,0,0,0,30/12/2022 03:22:31
0.07,0.46,-0.54,-56.63,-35.07,15.12,0,0,0,30/12/2022 03:22:31
0.10,0.57,-0.55,-0.98,-43.82,17.43,0,0,0,30/12/2022 03:22:31
0.16,0.56,-0.59,-12.81,-37.24,31.71,0,0,3,30/12/2022 03:22:31
0.08,0.60,-0.64,-9.03,-35.28,36.75,0,0,0,30/12/2022 03:22:31
0.12,0.57,-0.65,16.03,-22.12,15.05,0,0,0,30/12/2022 03:22:31
0.15,0.73,-0.62,39.97,2.38,-2.38,0,0,0,30/12/2022 03:22:31
0.22,0.78,-0.73,53.34,25.69,-30.17,0,0,0,30/12/2022 03:22:31
0.14,0.60,-0.76,71.68,31.43,-33.18,0,0,0,30/12/2022 03:22:31
0.13,0.44,-0.93,40.11,21.00,-26.25,0,0,0,30/12/2022 03:22:31
0.09,0.38,-1.01,55.09,14.07,-29.12,0,0,0,30/12/2022 03:22:31
0.14,0.29,-1.03,57.47,18.90,-26.81,0,0,1,30/12/2022 03:22:31
0.15,0.20,-1.14,52.64,8.40,-10.64,0,0,0,30/12/2022 03:22:32
0.18,0.03,-0.96,25.27,-13.23,-1.82,0,0,0,30/12/2022 03:22:32
0.01,0.26,-0.99,-34.44,-10.36,22.26,1,0,0,30/12/2022 03:22:32
0.12,0.40,-0.88,0.42,-14.42,10.43,0,2,0,30/12/2022 03:22:32
0.25,0.36,-0.92,-7.07,-6.51,-15.61,0,0,0,30/12/2022 03:22:32
0.24,0.25,-0.96,58.52,-11.20,-5.81,0,0,0,30/12/2022 03:22:32
0.22,0.11,-0.98,74.13,0.91,-70.00,4,0,0,30/12/2022 03:22:32
0.14,-0.26,-0.99,-10.29,6.44,-94.99,3,0,0,30/12/2022 03:22:32
0.07,0.09,-1.05,-94.29,33.25,7.07,0,150,2,30/12/2022 03:22:32
-0.02,0.22,-0.97,42.42,-3.01,49.49,0,195,0,30/12/2022 03:22:32
0.09,0.39,-0.87,-38.71,-8.96,81.90,0,3,0,30/12/2022 03:22:32
0.22,0.56,-1.02,12.39,-12.88,9.87,4,0,0,30/12/2022 03:22:32
0.17,0.12,-0.94,13.16,-0.28,-21.84,0,0,4,30/12/2022 03:22:32
0.44,0.11,-0.99,23.31,22.68,-34.51,0,0,6,30/12/2022 03:22:32
0.28,0.01,-0.97,-49.14,38.64,-66.99,0,0,0,30/12/2022 03:22:32
