ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.44,-0.61,-0.64,6.79,-3.01,16.10,740,0,0,21/12/2022 09:29:01
0.51,-0.63,-0.66,22.40,-20.58,19.81,740,0,0,21/12/2022 09:29:01
0.65,-1.40,-0.79,-34.02,-65.38,-45.22,740,0,0,21/12/2022 09:29:01
0.94,-0.32,-0.81,8.47,-101.71,109.06,740,0,0,21/12/2022 09:29:01
0.61,-0.79,-0.88,-124.32,-138.53,27.02,741,0,0,21/12/2022 09:29:01
0.53,-0.37,-0.91,-192.22,-184.17,-1.96,740,0,0,21/12/2022 09:29:01
0.12,-0.35,-0.85,-49.42,-173.11,23.94,741,0,0,21/12/2022 09:29:01
-0.22,-0.45,-0.92,45.71,-141.47,79.94,740,0,0,21/12/2022 09:29:01
-0.47,-0.49,-0.61,42.98,-109.27,90.72,739,0,0,21/12/2022 09:29:02
-0.74,-0.43,-0.53,69.02,-60.62,154.63,740,0,0,21/12/2022 09:29:02
-0.73,-0.26,-0.42,29.61,-32.76,147.84,740,0,0,21/12/2022 09:29:02
-0.94,0.04,-0.40,95.76,40.39,121.45,742,0,0,21/12/2022 09:29:02
-0.75,-0.03,-0.57,56.21,118.44,75.60,741,0,0,21/12/2022 09:29:02
-0.51,0.07,-0.89,-35.35,96.53,22.54,743,0,0,21/12/2022 09:29:02
-0.42,0.15,-0.90,-35.28,66.92,-7.49,743,0,0,21/12/2022 09:29:02
-0.25,0.07,-0.97,17.71,42.07,-34.09,745,0,0,21/12/2022 09:29:02
-0.19,-0.01,-1.01,-12.81,38.36,-35.07,743,0,0,21/12/2022 09:29:02
-0.15,-0.13,-0.95,3.43,24.50,-33.81,744,0,0,21/12/2022 09:29:02
-0.05,-0.13,-1.04,-24.43,9.24,-33.81,743,0,0,21/12/2022 09:29:02
-0.14,-0.13,-0.96,-9.52,6.79,-38.85,744,0,0,21/12/2022 09:29:02
-0.09,-0.17,-0.99,-28.63,8.61,-31.15,744,0,0,21/12/2022 09:29:02
-0.10,-0.06,-1.02,-19.81,7.84,-27.02,744,0,0,21/12/2022 09:29:02
-0.08,-0.15,-1.05,-18.83,-8.19,-7.35,744,0,0,21/12/2022 09:29:02
-0.14,-0.09,-1.02,-30.73,-10.64,-16.59,744,0,0,21/12/2022 09:29:02
-0.15,-0.07,-0.95,-15.61,1.05,-15.12,744,0,0,21/12/2022 09:29:03
-0.17,-0.09,-0.97,-7.84,13.37,-18.20,743,0,0,21/12/2022 09:29:03
-0.22,-0.04,-0.89,-3.64,23.80,-29.82,743,0,0,21/12/2022 09:29:03
-0.12,-0.03,-0.94,22.33,44.73,-31.50,744,0,0,21/12/2022 09:29:03
-0.07,-0.07,-0.97,25.34,58.38,-47.18,743,0,0,21/12/2022 09:29:03
0.02,-0.22,-0.99,38.85,52.50,-33.39,744,0,0,21/12/2022 09:29:03
0.14,-0.24,-1.04,32.83,28.77,-17.22,743,0,0,21/12/2022 09:29:03
0.11,-0.32,-1.03,-2.24,5.74,12.46,743,0,0,21/12/2022 09:29:03
0.09,-0.19,-1.02,-37.87,-9.45,10.99,743,0,0,21/12/2022 09:29:03
0.01,-0.13,-0.97,24.57,10.43,6.44,743,0,0,21/12/2022 09:29:03
0.10,-0.22,-0.98,26.67,14.28,2.24,744,0,0,21/12/2022 09:29:03
0.11,-0.20,-1.04,-33.11,2.17,8.89,744,0,0,21/12/2022 09:29:03
0.11,-0.16,-0.89,-10.01,-12.95,6.72,744,0,0,21/12/2022 09:29:03
0.08,-0.16,-0.96,28.63,-13.23,12.39,744,0,0,21/12/2022 09:29:03
0.04,-0.28,-1.17,20.02,-15.05,10.92,746,0,0,21/12/2022 09:29:03
0.03,-0.30,-0.94,10.36,-9.10,2.03,745,0,0,21/12/2022 09:29:03
0.10,-0.17,-0.89,-11.27,-13.79,-9.17,744,0,0,21/12/2022 09:29:03
0.18,-0.19,-0.94,26.04,-16.94,-17.92,748,0,0,21/12/2022 09:29:04
-0.04,-0.47,-1.04,0.91,-19.25,-4.62,748,0,0,21/12/2022 09:29:04
-0.19,-0.23,-0.84,-15.19,21.14,-32.97,748,0,0,21/12/2022 09:29:04
-0.30,-0.06,-0.92,-31.36,25.48,23.24,746,0,0,21/12/2022 09:29:04
0.01,0.02,-0.93,-17.15,9.66,36.82,745,0,0,21/12/2022 09:29:04
0.27,0.07,-1.05,-5.32,-7.91,-33.11,738,0,0,21/12/2022 09:29:04
0.17,-0.23,-0.91,38.22,-6.72,-48.86,737,0,0,21/12/2022 09:29:04
0.11,-0.44,-0.96,33.53,-4.97,-45.15,728,0,0,21/12/2022 09:29:04
-0.10,-0.29,-1.03,43.75,-13.86,65.52,731,0,0,21/12/2022 09:29:04
-0.15,-0.47,-1.05,-63.42,10.15,-107.31,734,0,0,21/12/2022 09:29:04
-0.26,0.13,-0.96,-101.15,26.81,74.27,725,0,0,21/12/2022 09:29:04
0.46,0.38,-0.96,4.83,-3.15,-57.54,725,0,0,21/12/2022 09:29:04
0.30,-0.32,-0.94,48.23,5.46,-52.92,730,0,0,21/12/2022 09:29:04
0.15,-0.49,-0.94,12.32,1.40,-54.88,740,0,0,21/12/2022 09:29:04
-0.16,-0.29,-0.91,32.06,75.11,-79.59,740,0,0,21/12/2022 09:29:04
-0.55,-0.15,-0.93,-44.59,10.85,58.17,739,0,0,21/12/2022 09:29:04
0.26,0.16,-1.06,-6.93,-4.20,56.98,737,0,0,21/12/2022 09:29:04
0.44,0.13,-0.99,-15.89,-13.44,-25.34,737,0,0,21/12/2022 09:29:04
0.26,-0.20,-0.98,9.94,-3.85,-64.12,742,0,0,21/12/2022 09:29:05
0.04,-0.57,-0.93,59.08,7.91,-36.12,748,0,0,21/12/2022 09:29:05
-0.31,-0.51,-0.90,-50.89,3.29,43.40,744,0,0,21/12/2022 09:29:05
-0.08,0.14,-1.04,-71.89,-8.82,90.44,738,0,0,21/12/2022 09:29:05
0.36,0.41,-1.02,-5.39,-14.35,1.75,736,0,0,21/12/2022 09:29:05
0.32,-0.05,-0.97,21.07,2.03,-60.34,738,0,0,21/12/2022 09:29:05
0.16,-0.56,-1.03,68.74,1.40,-57.05,740,0,0,21/12/2022 09:29:05
-0.22,-0.67,-0.86,-1.40,-1.61,34.16,743,0,0,21/12/2022 09:29:05
-0.11,-0.03,-1.09,-93.45,-20.44,92.54,747,0,0,21/12/2022 09:29:05
0.15,0.37,-0.98,-58.45,-27.23,31.50,743,0,0,21/12/2022 09:29:05
0.27,0.18,-0.89,40.32,-2.10,-29.89,741,0,0,21/12/2022 09:29:05
0.17,-0.29,-1.05,48.65,-9.59,-55.72,742,0,0,21/12/2022 09:29:05
-0.08,-0.65,-1.02,22.47,-31.85,27.86,742,0,0,21/12/2022 09:29:05
-0.13,-0.45,-1.02,-113.61,-56.77,105.00,740,0,0,21/12/2022 09:29:05
-0.12,0.19,-1.03,-112.91,-66.64,116.90,742,0,0,21/12/2022 09:29:05
-0.12,0.41,-0.76,19.11,-44.80,158.69,742,0,0,21/12/2022 09:29:06
-0.15,0.37,-0.79,41.51,4.48,40.81,743,0,0,21/12/2022 09:29:06
-0.13,0.12,-1.19,43.33,9.52,5.60,741,0,0,21/12/2022 09:29:06
-0.28,0.07,-0.84,26.46,19.25,-35.91,740,0,0,21/12/2022 09:29:06
-0.17,-0.01,-0.96,32.62,28.77,12.53,741,0,0,21/12/2022 09:29:06
-0.08,-0.17,-1.07,39.90,21.49,8.54,742,0,0,21/12/2022 09:29:06
0.03,-0.10,-1.05,-37.73,9.03,-1.82,736,0,0,21/12/2022 09:29:06
-0.07,0.07,-1.06,-31.43,6.79,-7.63,716,1,0,21/12/2022 09:29:06
-0.06,0.05,-0.96,-21.91,-1.26,4.41,721,0,0,21/12/2022 09:29:06
-0.08,0.07,-0.99,-26.04,9.66,-20.02,655,311,0,21/12/2022 09:29:06
-0.01,0.08,-1.00,41.09,3.08,-10.78,664,538,0,21/12/2022 09:29:06
-0.04,0.04,-0.96,77.28,1.33,-19.04,668,607,0,21/12/2022 09:29:06
-0.07,-0.24,-0.99,62.02,10.43,-14.35,615,528,0,21/12/2022 09:29:06
0.00,-0.18,-0.98,38.43,0.70,-15.54,653,471,0,21/12/2022 09:29:06
-0.06,-0.20,-1.03,16.59,6.65,-16.03,676,318,0,21/12/2022 09:29:06
-0.01,-0.30,-0.97,-3.78,-4.62,3.15,685,223,0,21/12/2022 09:29:06
-0.05,-0.18,-0.99,-73.22,-1.68,12.88,682,197,0,21/12/2022 09:29:06
-0.05,-0.08,-0.94,-28.63,-6.65,20.51,679,197,0,21/12/2022 09:29:06
-0.02,-0.12,-0.98,-51.59,-4.69,6.30,666,163,0,21/12/2022 09:29:07
-0.05,0.04,-1.00,-38.08,-0.07,-3.15,674,172,0,21/12/2022 09:29:07
-0.03,0.07,-0.99,-11.55,3.15,-7.91,680,87,0,21/12/2022 09:29:07
-0.08,-0.01,-0.99,3.99,-0.70,0.07,685,79,0,21/12/2022 09:29:07
-0.06,-0.01,-1.01,-8.05,-1.05,3.08,688,67,0,21/12/2022 09:29:07
0.01,0.01,-0.96,2.87,0.14,2.59,692,62,0,21/12/2022 09:29:07
-0.07,-0.06,-1.00,-11.69,1.19,1.68,698,92,0,21/12/2022 09:29:07
-0.02,0.04,-1.01,-19.88,3.50,-0.77,692,151,0,21/12/2022 09:29:07
-0.02,0.07,-1.01,-6.79,-1.47,3.15,685,160,0,21/12/2022 09:29:07
-0.04,0.04,-0.99,12.11,-3.22,3.01,693,167,0,21/12/2022 09:29:07
-0.02,0.01,-1.02,-2.45,-3.29,-1.19,696,160,0,21/12/2022 09:29:07
-0.05,0.04,-0.97,-4.48,-3.29,-1.61,689,155,0,21/12/2022 09:29:07
-0.02,0.03,-1.01,10.71,-3.43,0.91,699,158,0,21/12/2022 09:29:07
-0.07,0.01,-0.99,3.36,0.91,-4.20,700,0,0,21/12/2022 09:29:07
-0.04,-0.04,-1.02,4.41,0.91,3.01,698,0,0,21/12/2022 09:29:07
-0.01,0.01,-1.07,1.40,-2.17,0.98,690,0,0,21/12/2022 09:29:07
0.04,-0.03,-1.05,-2.10,-23.45,13.23,685,0,0,21/12/2022 09:29:07
-0.18,0.06,-0.93,-25.76,-23.17,2.87,694,0,0,21/12/2022 09:29:08
-0.16,0.27,-0.85,-30.80,13.23,-20.02,681,0,0,21/12/2022 09:29:08
-0.05,-0.18,-0.99,77.84,-2.52,28.63,685,0,0,21/12/2022 09:29:08
0.00,0.01,-0.99,-54.46,0.35,-24.85,685,0,0,21/12/2022 09:29:08
-0.08,-0.01,-1.02,7.00,-7.07,11.83,687,0,0,21/12/2022 09:29:08
