ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.81,-0.03,-0.68,-10.08,7.49,-44.10,0,11,0,21/12/2022 09:30:29
0.80,0.09,-0.55,3.57,-51.73,-37.45,0,10,0,21/12/2022 09:30:29
0.98,0.34,-0.64,-9.17,-151.76,137.34,0,9,0,21/12/2022 09:30:29
0.76,-0.02,-0.81,21.77,-260.75,203.49,0,21,0,21/12/2022 09:30:29
-0.27,-0.20,-0.89,-47.53,-151.55,51.38,0,16,0,21/12/2022 09:30:29
0.61,-0.26,-0.98,1.05,-109.62,143.15,0,0,0,21/12/2022 09:30:29
0.26,-0.10,-0.91,-31.71,-138.74,11.76,0,0,0,21/12/2022 09:30:29
-0.07,-0.29,-1.03,-50.26,-137.20,64.96,0,12,0,21/12/2022 09:30:29
-0.10,-0.15,-0.77,-32.20,-129.08,101.64,0,6,0,21/12/2022 09:30:29
-0.31,-0.28,-0.86,-114.24,-83.65,129.99,0,10,0,21/12/2022 09:30:29
-0.26,0.17,-0.74,-210.49,-98.28,83.72,0,8,0,21/12/2022 09:30:29
-0.28,0.28,-0.75,-80.71,-40.95,-53.20,0,5,0,21/12/2022 09:30:29
-0.69,0.50,-0.22,-250.67,-211.47,631.82,0,4,0,21/12/2022 09:30:29
-0.96,0.89,-0.60,48.58,-50.96,13.23,0,0,0,21/12/2022 09:30:29
-0.59,0.61,-0.41,126.63,4.20,109.48,0,22,0,21/12/2022 09:30:30
-0.52,0.57,-0.57,-7.14,-18.20,31.78,0,11,0,21/12/2022 09:30:30
-0.57,0.67,-0.50,-38.08,-7.07,22.26,0,14,0,21/12/2022 09:30:30
-0.46,0.68,-0.54,4.90,18.69,28.07,0,1,0,21/12/2022 09:30:30
-0.42,0.78,-0.57,-44.24,16.03,-1.33,0,0,0,21/12/2022 09:30:30
-0.40,0.74,-0.57,40.25,42.98,17.78,0,3,0,21/12/2022 09:30:30
-0.34,0.58,-0.64,20.09,38.64,4.41,0,0,0,21/12/2022 09:30:30
-0.28,0.72,-0.73,35.42,25.83,9.94,0,2,0,21/12/2022 09:30:30
-0.23,0.66,-0.71,52.36,15.89,1.40,0,1,0,21/12/2022 09:30:30
-0.20,0.65,-0.59,14.98,-3.43,-1.68,0,5,0,21/12/2022 09:30:30
-0.21,0.69,-0.64,24.43,43.19,-20.09,0,17,0,21/12/2022 09:30:30
-0.17,0.59,-0.82,106.96,73.85,-31.50,0,22,0,21/12/2022 09:30:30
-0.14,0.41,-0.92,116.83,67.97,-45.57,0,0,0,21/12/2022 09:30:30
-0.01,0.10,-0.77,99.26,66.43,-7.56,0,4,0,21/12/2022 09:30:30
0.14,0.27,-1.09,-2.24,38.92,-8.96,0,0,0,21/12/2022 09:30:30
0.25,0.34,-1.08,82.18,41.86,0.28,0,0,0,21/12/2022 09:30:30
0.17,-0.01,-1.04,6.16,1.89,3.92,0,9,0,21/12/2022 09:30:30
0.06,0.32,-1.01,-73.92,-38.15,2.87,0,14,0,21/12/2022 09:30:31
-0.12,0.31,-0.89,-14.42,0.98,-4.69,0,30,0,21/12/2022 09:30:31
-0.03,0.09,-0.89,-6.65,21.14,7.77,0,19,0,21/12/2022 09:30:31
0.06,0.32,-0.92,-31.71,-6.51,-10.85,0,8,0,21/12/2022 09:30:31
0.15,0.29,-1.02,15.12,16.03,-8.05,0,22,0,21/12/2022 09:30:31
0.12,0.27,-0.99,-18.76,7.42,-35.28,0,1,0,21/12/2022 09:30:31
0.05,0.14,-1.04,-2.52,17.15,-23.24,0,0,0,21/12/2022 09:30:31
-0.07,0.16,-1.00,26.39,2.52,10.29,0,0,0,21/12/2022 09:30:31
-0.26,0.06,-0.97,-13.23,-18.97,48.37,0,0,0,21/12/2022 09:30:31
-0.22,0.39,-0.81,-44.03,-35.77,38.22,0,0,0,21/12/2022 09:30:31
0.02,0.41,-0.83,-54.46,-13.02,23.24,0,2,0,21/12/2022 09:30:31
0.18,0.61,-0.89,-40.04,20.16,-21.77,0,6,0,21/12/2022 09:30:31
0.31,0.46,-1.02,-47.88,26.88,-73.01,0,0,0,21/12/2022 09:30:31
0.17,0.30,-0.94,25.69,28.49,-59.08,0,23,0,21/12/2022 09:30:31
0.06,0.04,-1.07,13.79,18.69,5.32,0,15,0,21/12/2022 09:30:31
-0.31,0.22,-0.91,-10.57,-29.40,51.03,0,0,0,21/12/2022 09:30:31
-0.33,0.50,-0.82,34.23,-33.39,60.97,0,10,0,21/12/2022 09:30:32
0.01,0.53,-0.79,-51.31,-27.09,28.56,0,6,0,21/12/2022 09:30:32
0.16,0.74,-0.86,-41.65,3.99,-27.58,0,0,0,21/12/2022 09:30:32
0.27,0.57,-0.97,-15.26,32.34,-74.48,0,29,0,21/12/2022 09:30:32
0.20,0.35,-1.00,31.50,45.85,-46.20,0,0,0,21/12/2022 09:30:32
-0.11,0.09,-0.97,36.61,13.16,-5.74,0,9,0,21/12/2022 09:30:32
-0.28,0.14,-0.92,26.32,-16.45,59.99,0,18,0,21/12/2022 09:30:32
-0.30,0.41,-0.75,6.30,-35.07,57.47,0,20,0,21/12/2022 09:30:32
0.06,0.64,-0.83,-56.35,-38.85,26.32,0,2,0,21/12/2022 09:30:32
0.22,0.80,-0.93,-12.46,23.45,-25.83,0,0,0,21/12/2022 09:30:32
0.32,0.45,-1.07,5.88,42.49,-55.16,0,6,0,21/12/2022 09:30:32
0.11,0.21,-0.98,39.48,33.04,-28.21,0,0,0,21/12/2022 09:30:32
-0.21,0.06,-0.95,21.42,1.47,51.03,0,7,0,21/12/2022 09:30:32
-0.41,0.42,-0.84,28.98,-32.97,47.53,0,0,0,21/12/2022 09:30:32
-0.02,0.56,-0.81,-35.14,-34.09,19.53,0,6,0,21/12/2022 09:30:32
0.13,0.73,-0.91,-30.10,-6.72,-36.89,0,0,0,21/12/2022 09:30:32
0.25,0.38,-1.03,3.01,38.50,-49.84,0,0,0,21/12/2022 09:30:32
0.15,0.27,-0.98,46.55,30.59,-39.62,0,0,0,21/12/2022 09:30:33
-0.00,-0.03,-1.00,45.36,19.04,26.46,0,0,0,21/12/2022 09:30:33
-0.17,0.27,-0.87,-21.14,-64.26,44.03,0,0,0,21/12/2022 09:30:33
-0.23,0.49,-0.78,-24.29,-23.10,40.25,0,6,0,21/12/2022 09:30:33
0.03,0.68,-0.93,-37.45,-18.34,-7.63,0,0,0,21/12/2022 09:30:33
0.22,0.46,-0.98,-16.94,16.52,-43.12,0,9,0,21/12/2022 09:30:33
0.27,0.38,-1.08,0.56,2.66,-40.95,0,5,0,21/12/2022 09:30:33
0.14,0.10,-1.00,27.09,-28.63,-3.15,0,8,0,21/12/2022 09:30:33
-0.05,0.24,-0.91,-61.46,-97.65,42.56,0,0,0,21/12/2022 09:30:33
-0.30,0.53,-0.71,-57.40,-95.48,41.58,0,0,0,21/12/2022 09:30:33
-0.30,0.56,-0.65,-6.79,-62.65,51.94,0,2,0,21/12/2022 09:30:33
-0.42,0.59,-0.62,-19.25,-41.23,40.04,0,2,0,21/12/2022 09:30:33
-0.39,0.61,-0.71,32.69,-5.67,18.41,0,14,0,21/12/2022 09:30:33
-0.39,0.45,-0.60,38.15,21.42,7.84,0,16,0,21/12/2022 09:30:33
-0.40,0.58,-0.94,73.15,20.37,-12.60,0,8,0,21/12/2022 09:30:33
-0.33,0.33,-0.92,107.45,38.85,11.41,0,0,0,21/12/2022 09:30:33
-0.14,0.15,-0.91,2.94,29.05,13.65,0,11,0,21/12/2022 09:30:33
-0.12,0.39,-0.95,-62.58,-5.74,-8.54,0,27,0,21/12/2022 09:30:34
-0.05,0.44,-0.96,19.46,7.49,3.50,0,25,0,21/12/2022 09:30:34
-0.12,0.35,-0.88,-22.19,-0.07,-5.95,0,0,0,21/12/2022 09:30:34
-0.14,0.43,-1.00,27.51,10.43,2.17,0,0,0,21/12/2022 09:30:34
-0.12,0.32,-0.88,-1.61,0.91,-5.04,0,10,0,21/12/2022 09:30:34
-0.04,0.25,-0.99,0.21,-0.49,7.07,0,19,0,21/12/2022 09:30:34
-0.18,0.42,-0.93,-31.71,-3.78,4.97,0,19,0,21/12/2022 09:30:34
-0.15,0.43,-0.91,-21.49,-10.92,3.08,0,10,0,21/12/2022 09:30:34
-0.16,0.39,-0.90,3.01,12.67,6.51,0,6,0,21/12/2022 09:30:34
-0.12,0.47,-0.94,-3.36,-15.75,-5.32,0,331,0,21/12/2022 09:30:34
-0.14,0.36,-0.84,-1.54,-3.01,-5.74,0,461,0,21/12/2022 09:30:34
-0.14,0.51,-0.89,11.13,-9.17,-17.15,0,467,0,21/12/2022 09:30:34
-0.10,0.27,-0.97,-7.07,-4.62,-7.14,0,377,0,21/12/2022 09:30:34
-0.24,0.38,-0.88,-11.13,4.90,-2.10,0,0,0,21/12/2022 09:30:34
-0.25,0.41,-0.84,2.66,3.01,-2.24,0,8,0,21/12/2022 09:30:34
-0.16,0.41,-0.92,-17.92,-2.59,-1.61,0,173,0,21/12/2022 09:30:34
-0.14,0.27,-0.88,-19.04,3.64,2.17,0,510,0,21/12/2022 09:30:34
-0.16,0.49,-0.82,-21.91,-4.20,2.31,0,625,0,21/12/2022 09:30:35
-0.13,0.51,-0.89,17.15,1.47,-5.60,0,581,0,21/12/2022 09:30:35
-0.22,0.38,-0.89,29.19,14.07,-1.26,0,558,0,21/12/2022 09:30:35
-0.12,0.37,-0.88,-6.37,-7.21,3.92,0,568,0,21/12/2022 09:30:35
-0.17,0.46,-0.86,47.88,11.62,3.15,0,347,0,21/12/2022 09:30:35
-0.17,0.24,-0.94,4.41,1.75,-10.50,0,233,0,21/12/2022 09:30:35
-0.13,0.40,-0.97,-13.44,-9.24,-6.02,0,42,0,21/12/2022 09:30:35
-0.10,0.30,-0.99,-27.02,-12.39,-7.70,0,0,0,21/12/2022 09:30:35
-0.22,0.37,-0.90,-55.58,-46.97,22.12,0,72,0,21/12/2022 09:30:35
-0.25,0.55,-0.82,-45.08,-21.98,12.53,0,0,0,21/12/2022 09:30:35
-0.31,0.56,-0.83,-47.46,-15.05,-0.14,0,303,0,21/12/2022 09:30:35
-0.22,0.39,-0.75,-33.32,6.09,16.31,0,21,0,21/12/2022 09:30:35
-0.10,0.82,-0.82,-38.50,-9.03,-3.92,0,394,0,21/12/2022 09:30:35
-0.36,0.46,-0.69,-27.16,-15.26,-2.38,0,271,0,21/12/2022 09:30:35
-0.21,0.75,-0.76,-28.56,-3.29,-12.11,0,354,0,21/12/2022 09:30:35
-0.31,0.62,-0.66,-47.46,11.27,-17.43,0,159,0,21/12/2022 09:30:35
-0.26,0.69,-0.68,-22.05,9.59,-8.54,0,220,0,21/12/2022 09:30:36
-0.24,0.71,-0.67,-17.71,10.08,-11.20,0,228,0,21/12/2022 09:30:36
-0.26,0.68,-0.67,-54.53,0.21,-11.06,0,306,0,21/12/2022 09:30:36
-0.26,0.73,-0.63,3.36,-2.10,2.52,0,172,0,21/12/2022 09:30:36
-0.30,0.73,-0.61,-43.33,6.02,-10.08,0,19,0,21/12/2022 09:30:36
-0.29,0.70,-0.58,-9.38,10.64,4.83,0,0,0,21/12/2022 09:30:36
-0.15,0.82,-0.71,-33.32,-11.69,-3.01,0,0,0,21/12/2022 09:30:36
