ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.60,0.18,-0.84,-89.04,-18.34,-138.67,0,0,0,21/12/2022 08:44:39
-0.42,0.33,-0.81,-43.40,-7.91,-31.22,0,0,0,21/12/2022 08:44:40
-0.46,0.35,-0.83,0.49,5.95,-5.25,0,0,0,21/12/2022 08:44:40
-0.45,0.27,-0.88,3.36,6.23,-1.68,0,0,0,21/12/2022 08:44:40
-0.44,0.23,-0.88,-0.14,4.41,-0.91,0,0,0,21/12/2022 08:44:40
-0.44,0.34,-0.82,-0.49,-2.45,1.05,0,0,0,21/12/2022 08:44:40
-0.45,0.28,-0.87,-11.13,-2.38,0.63,0,0,0,21/12/2022 08:44:40
-0.47,0.30,-0.85,-0.21,3.36,-4.13,0,0,0,21/12/2022 08:44:40
-0.41,0.30,-0.88,0.84,1.40,-0.35,0,0,0,21/12/2022 08:44:40
-0.40,0.26,-0.87,0.21,1.33,-1.40,0,0,0,21/12/2022 08:44:41
-0.41,0.25,-0.87,2.59,-1.47,2.52,0,0,0,21/12/2022 08:44:41
-0.44,0.24,-0.84,-0.35,-5.18,10.22,0,0,0,21/12/2022 08:44:41
-0.40,0.25,-0.88,-18.83,-18.27,20.37,0,0,0,21/12/2022 08:44:42
-0.45,0.35,-0.79,12.95,-6.51,17.22,0,0,0,21/12/2022 08:44:42
-0.44,0.28,-0.84,-0.56,-1.26,4.20,0,0,0,21/12/2022 08:44:42
-0.40,0.30,-0.86,-0.91,0.14,3.64,0,0,0,21/12/2022 08:44:42
-0.40,0.30,-0.86,-1.19,-5.74,4.48,0,0,0,21/12/2022 08:44:42
-0.40,0.28,-0.87,3.36,0.98,-5.67,0,0,0,21/12/2022 08:44:43
-0.41,0.25,-0.86,-2.52,1.96,-4.13,0,0,0,21/12/2022 08:44:43
-0.43,0.26,-0.86,3.43,0.35,-7.42,0,0,0,21/12/2022 08:44:43
-0.36,0.28,-0.85,8.75,15.61,-2.24,0,0,0,21/12/2022 08:44:44
-0.45,0.19,-0.85,3.22,-11.76,24.64,0,0,0,21/12/2022 08:44:44
-0.47,0.27,-0.90,-69.86,-10.50,38.22,0,0,0,21/12/2022 08:44:44
-0.50,0.60,-0.71,43.89,48.30,-10.36,0,0,0,21/12/2022 08:44:44
-0.21,0.43,-0.79,17.01,54.04,-10.92,0,0,0,21/12/2022 08:44:45
-0.27,0.54,-0.81,-5.11,8.61,-19.11,0,0,0,21/12/2022 08:44:45
-0.14,0.52,-0.87,24.50,27.37,-9.59,0,0,0,21/12/2022 08:44:45
-0.22,0.44,-0.82,3.22,3.92,0.70,0,0,0,21/12/2022 08:44:45
-0.24,0.42,-0.85,12.32,26.60,-5.25,0,0,0,21/12/2022 08:44:45
-0.12,0.35,-0.89,23.03,37.31,-21.28,0,0,0,21/12/2022 08:44:45
-0.06,0.37,-0.98,33.95,40.11,-34.51,0,0,0,21/12/2022 08:44:45
0.39,0.37,-1.01,20.65,34.79,-37.66,0,0,0,21/12/2022 08:44:46
0.01,-0.18,-0.94,38.99,35.00,30.03,0,0,0,21/12/2022 08:44:46
0.01,-0.05,-1.12,-65.10,-58.87,39.34,0,0,0,21/12/2022 08:44:46
-0.11,0.38,-0.90,-94.85,-81.20,21.98,0,0,0,21/12/2022 08:44:46
0.07,0.39,-0.80,-15.82,-14.98,6.23,0,0,0,21/12/2022 08:44:46
0.37,0.47,-0.92,-30.59,1.05,-39.69,0,0,0,21/12/2022 08:44:46
0.38,0.33,-0.99,6.16,40.46,-51.87,0,0,0,21/12/2022 08:44:47
-0.16,0.43,-0.93,-43.89,-69.65,38.50,0,0,0,21/12/2022 08:44:47
0.45,0.66,-0.94,-30.31,5.95,-88.13,0,0,0,21/12/2022 08:44:47
0.43,0.72,-0.95,-44.73,3.85,-76.93,0,0,0,21/12/2022 08:44:47
0.31,0.04,-0.92,44.80,71.05,-23.66,0,0,0,21/12/2022 08:44:47
-0.11,-0.17,-1.10,5.32,23.66,43.54,0,0,0,21/12/2022 08:44:47
-0.08,0.60,-0.88,-46.76,-97.23,52.85,0,0,0,21/12/2022 08:44:47
0.30,0.58,-0.90,11.69,54.74,-84.63,0,0,0,21/12/2022 08:44:47
-0.00,0.72,-0.75,-97.72,-212.10,100.87,0,0,0,21/12/2022 08:44:47
-0.40,0.68,-0.62,-1.96,-113.33,52.71,0,0,0,21/12/2022 08:44:47
-0.30,0.41,-0.65,27.30,-77.42,21.07,0,0,0,21/12/2022 08:44:47
-0.40,0.37,-0.64,-20.16,-95.62,33.46,0,0,0,21/12/2022 08:44:48
-0.49,0.44,-0.62,-6.44,-71.54,15.05,0,0,0,21/12/2022 08:44:48
-0.63,0.40,-0.54,-15.68,-29.26,52.85,0,0,0,21/12/2022 08:44:48
-0.53,0.23,-0.59,-26.32,20.58,3.22,0,0,0,21/12/2022 08:44:48
-0.56,0.67,-0.75,-51.80,15.54,-7.42,0,0,0,21/12/2022 08:44:48
-0.45,0.54,-0.78,57.61,73.15,14.70,0,0,0,21/12/2022 08:44:48
-0.40,0.54,-0.84,5.88,32.76,19.74,0,0,0,21/12/2022 08:44:48
-0.20,0.72,-0.90,-23.59,-18.76,1.68,0,0,0,21/12/2022 08:44:49
-0.22,0.44,-0.77,50.68,37.31,11.62,0,0,0,21/12/2022 08:44:49
-0.24,0.45,-0.77,-20.65,-6.93,11.90,0,0,0,21/12/2022 08:44:49
-0.54,0.80,-0.74,-130.69,-28.84,15.96,0,0,0,21/12/2022 08:44:49
-0.34,0.77,-0.32,-112.91,-0.98,-33.88,0,0,0,21/12/2022 08:44:49
-0.39,0.81,-0.48,14.21,-1.19,8.05,0,0,0,21/12/2022 08:44:50
-0.31,0.82,-0.38,-151.76,-61.81,-10.29,0,0,0,21/12/2022 08:44:50
-0.45,0.99,-0.08,45.85,9.03,-21.00,0,0,0,21/12/2022 08:44:50
-0.37,0.89,-0.21,15.05,19.88,-4.27,0,0,0,21/12/2022 08:44:50
-0.26,0.69,-0.16,-1.05,14.21,5.18,0,0,0,21/12/2022 08:44:50
-0.33,1.02,-0.39,-48.44,-14.70,6.23,0,0,0,21/12/2022 08:44:50
-0.31,0.73,-0.14,-45.15,-26.60,6.23,0,0,0,21/12/2022 08:44:50
-0.40,1.03,-0.18,-23.87,-28.63,-2.38,0,0,0,21/12/2022 08:44:50
-0.34,0.70,0.10,72.10,15.40,17.85,0,0,0,21/12/2022 08:44:51
