ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.19,-0.29,-0.92,-1.68,-6.65,19.46,0,0,0,30/12/2022 03:34:24
0.22,-0.30,-0.95,-5.32,-9.24,14.84,0,0,0,30/12/2022 03:34:24
0.23,-0.77,-0.90,-76.79,11.13,-28.21,0,0,0,30/12/2022 03:34:24
0.33,-0.38,-1.01,-60.90,-19.11,-1.82,0,0,0,30/12/2022 03:34:24
0.31,-0.25,-1.02,-84.49,-14.14,-13.23,0,0,0,30/12/2022 03:34:24
0.37,-0.21,-1.05,-98.63,-48.44,-30.31,0,2,0,30/12/2022 03:34:24
0.31,-0.09,-0.69,-98.77,-36.26,-14.49,0,0,0,30/12/2022 03:34:24
0.10,-0.01,-0.81,-52.15,-27.86,-1.12,0,0,0,30/12/2022 03:34:24
-0.25,0.22,-0.81,16.31,-5.46,36.12,0,0,8,30/12/2022 03:34:24
-0.09,0.19,-0.94,12.25,13.72,54.25,0,1,0,30/12/2022 03:34:24
0.15,0.36,-1.08,-17.36,6.09,58.24,0,0,0,30/12/2022 03:34:24
0.05,0.40,-1.08,-55.37,-7.00,53.06,0,0,1,30/12/2022 03:34:24
0.02,0.33,-0.97,-83.86,-5.18,34.58,0,0,0,30/12/2022 03:34:24
0.04,0.49,-0.96,-50.68,1.47,32.34,0,0,0,30/12/2022 03:34:24
0.06,0.39,-0.91,-23.73,7.21,14.21,0,0,0,30/12/2022 03:34:24
0.12,0.40,-0.92,32.06,-4.76,-13.58,0,0,0,30/12/2022 03:34:24
0.31,0.40,-1.01,1.89,-14.14,39.55,0,0,0,30/12/2022 03:34:25
0.18,0.38,-0.87,-68.04,-2.59,-27.58,0,0,0,30/12/2022 03:34:25
0.20,0.35,-0.85,11.48,-8.47,-25.13,0,0,0,30/12/2022 03:34:25
0.04,0.28,-0.91,-3.92,7.84,-27.72,0,0,0,30/12/2022 03:34:25
0.05,0.38,-0.93,16.66,-1.54,-9.31,0,0,1,30/12/2022 03:34:25
