ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.51,-0.39,-0.78,2.17,-26.74,9.52,0,0,0,21/12/2022 08:55:21
0.45,-0.32,-0.78,17.71,-69.65,-8.12,0,0,0,21/12/2022 08:55:21
0.36,-0.25,-0.85,3.57,13.65,-40.04,0,0,0,21/12/2022 08:55:21
0.43,-0.33,-0.83,9.59,7.98,9.10,0,0,0,21/12/2022 08:55:21
0.54,-0.45,-0.83,2.24,16.03,2.73,0,0,0,21/12/2022 08:55:21
0.38,-0.42,-0.81,-7.07,-11.62,-9.31,0,0,0,21/12/2022 08:55:21
0.42,-0.44,-0.80,-18.20,13.23,-0.07,0,0,0,21/12/2022 08:55:21
0.42,-0.47,-0.81,-13.16,7.35,17.71,0,0,0,21/12/2022 08:55:21
0.76,-0.46,-0.72,-15.96,-28.63,19.46,0,0,0,21/12/2022 08:55:22
0.55,-0.33,-0.78,-30.66,-97.93,35.98,0,0,0,21/12/2022 08:55:22
0.42,-0.42,-0.80,-15.61,-150.50,69.65,0,0,0,21/12/2022 08:55:22
0.04,-0.34,-0.87,-70.63,-120.05,92.75,0,0,0,21/12/2022 08:55:22
-0.03,-0.26,-0.84,-108.29,-109.48,90.51,0,0,0,21/12/2022 08:55:22
-0.21,-0.13,-0.86,-117.95,-135.52,87.92,0,0,0,21/12/2022 08:55:22
-0.55,0.20,-0.85,-73.78,-24.22,45.50,0,0,0,21/12/2022 08:55:22
-0.52,0.28,-0.87,-13.65,-21.28,92.05,0,0,0,21/12/2022 08:55:22
-0.32,0.03,-0.92,25.76,-7.77,35.35,0,0,0,21/12/2022 08:55:22
-0.50,0.10,-0.95,-40.53,6.58,53.20,0,0,0,21/12/2022 08:55:22
-0.33,0.20,-0.96,-35.98,2.03,42.84,0,0,0,21/12/2022 08:55:22
-0.39,0.24,-0.98,-6.23,4.90,19.11,0,0,0,21/12/2022 08:55:22
-0.31,0.21,-0.96,-2.10,-2.45,14.14,0,0,0,21/12/2022 08:55:22
-0.32,0.22,-0.94,-8.12,0.77,3.92,0,0,0,21/12/2022 08:55:22
-0.26,0.22,-0.93,-6.44,-2.52,4.13,0,0,0,21/12/2022 08:55:22
-0.28,0.25,-0.93,-0.77,-1.89,3.50,0,0,0,21/12/2022 08:55:22
-0.28,0.19,-0.92,-3.99,-1.68,-2.94,0,0,0,21/12/2022 08:55:22
-0.28,0.22,-0.94,-4.76,-0.28,3.64,0,0,0,21/12/2022 08:55:23
-0.28,0.19,-0.94,-0.07,1.26,0.56,0,0,0,21/12/2022 08:55:23
-0.30,0.19,-0.93,4.55,1.19,3.99,0,0,0,21/12/2022 08:55:23
-0.28,0.19,-0.96,-2.87,0.14,3.71,0,0,0,21/12/2022 08:55:23
-0.28,0.19,-0.94,4.41,-5.95,5.46,0,0,0,21/12/2022 08:55:23
-0.31,0.17,-0.95,-1.33,-9.73,8.47,0,0,0,21/12/2022 08:55:23
-0.32,0.20,-0.92,-0.84,-7.70,11.34,0,0,0,21/12/2022 08:55:23
-0.31,0.19,-0.93,6.23,-7.91,9.38,0,0,0,21/12/2022 08:55:23
-0.30,0.16,-0.90,4.06,-4.41,9.59,0,0,0,21/12/2022 08:55:23
-0.30,0.13,-0.94,4.20,-2.45,14.28,0,0,0,21/12/2022 08:55:23
-0.31,0.16,-0.92,8.19,-0.91,24.57,0,0,0,21/12/2022 08:55:23
-0.29,0.21,-0.94,14.91,0.49,29.75,0,0,0,21/12/2022 08:55:23
-0.26,0.25,-0.94,6.09,0.42,16.66,0,0,0,21/12/2022 08:55:23
-0.33,0.23,-0.93,9.03,-3.36,12.74,0,0,0,21/12/2022 08:55:23
-0.28,0.23,-0.93,9.10,-0.14,9.59,0,0,0,21/12/2022 08:55:23
-0.32,0.22,-0.93,3.01,-1.05,2.45,0,0,0,21/12/2022 08:55:23
-0.27,0.20,-0.94,-0.70,-4.27,-1.05,0,0,0,21/12/2022 08:55:24
-0.28,0.21,-0.93,-5.25,-5.39,-2.24,0,0,0,21/12/2022 08:55:24
-0.31,0.18,-0.94,-8.19,-4.48,-5.67,0,0,0,21/12/2022 08:55:24
-0.26,0.17,-0.94,-0.35,-2.52,-3.92,0,0,0,21/12/2022 08:55:24
-0.28,0.15,-0.91,-0.21,2.17,-6.44,0,0,0,21/12/2022 08:55:24
-0.27,0.20,-0.91,-3.15,10.50,-5.95,0,0,0,21/12/2022 08:55:24
-0.25,0.20,-0.91,-0.14,14.42,-6.23,0,0,0,21/12/2022 08:55:24
-0.22,0.20,-0.93,-5.11,17.22,-8.12,0,0,0,21/12/2022 08:55:24
-0.26,0.18,-0.96,-8.26,14.35,-4.20,0,0,0,21/12/2022 08:55:24
-0.23,0.16,-0.98,-10.22,8.82,6.30,0,0,0,21/12/2022 08:55:24
-0.21,0.19,-0.98,-13.30,3.57,4.34,0,0,0,21/12/2022 08:55:24
-0.21,0.23,-0.96,-11.27,6.23,3.50,0,0,0,21/12/2022 08:55:24
-0.21,0.21,-0.97,-1.19,4.55,-1.05,0,0,0,21/12/2022 08:55:24
-0.23,0.21,-0.97,-2.24,3.50,0.21,1,0,0,21/12/2022 08:55:24
-0.22,0.20,-0.95,-1.47,0.21,3.08,0,0,0,21/12/2022 08:55:24
-0.21,0.19,-0.91,-9.52,3.22,6.93,0,0,0,21/12/2022 08:55:24
-0.24,0.06,-0.92,-38.08,6.51,1.12,0,0,0,21/12/2022 08:55:24
-0.27,0.26,-1.11,-62.58,12.81,33.67,0,0,0,21/12/2022 08:55:25
-0.23,0.45,-1.09,-30.87,-33.39,17.64,0,0,0,21/12/2022 08:55:25
-0.35,0.36,-0.93,-60.55,-63.21,-7.77,0,0,0,21/12/2022 08:55:25
-0.43,0.40,-0.77,-91.84,-85.12,-17.57,0,0,0,21/12/2022 08:55:25
-0.62,0.67,-0.63,-70.77,-49.56,-102.48,0,0,0,21/12/2022 08:55:25
-0.58,0.63,-0.64,32.41,-19.32,-7.91,0,0,0,21/12/2022 08:55:25
-0.48,0.58,-0.71,158.13,7.56,-38.29,0,0,0,21/12/2022 08:55:25
-0.37,0.15,-0.71,38.85,5.60,-13.86,0,0,0,21/12/2022 08:55:25
-0.46,0.28,-0.76,-23.87,5.04,-23.24,0,0,0,21/12/2022 08:55:25
-0.38,0.36,-0.79,32.48,24.64,-8.68,0,0,0,21/12/2022 08:55:25
-0.42,0.20,-0.81,9.66,40.88,-5.81,0,0,0,21/12/2022 08:55:25
-0.45,0.18,-0.69,0.49,65.03,-9.10,0,0,0,21/12/2022 08:55:25
-0.33,0.41,-0.79,10.29,90.23,-17.85,0,0,0,21/12/2022 08:55:25
-0.07,0.32,-0.87,79.66,131.74,-26.67,0,0,0,21/12/2022 08:55:25
0.26,0.16,-1.09,57.89,94.71,-8.33,0,0,0,21/12/2022 08:55:25
0.19,0.08,-1.04,29.54,27.37,-25.41,0,0,0,21/12/2022 08:55:25
0.07,-0.03,-1.00,19.46,23.80,-18.34,0,0,0,21/12/2022 08:55:25
0.03,-0.02,-1.00,2.73,28.84,-18.97,0,0,0,21/12/2022 08:55:25
0.03,-0.02,-0.97,40.60,39.48,-16.10,0,0,0,21/12/2022 08:55:26
0.14,-0.03,-1.03,8.19,17.36,4.13,0,0,0,21/12/2022 08:55:26
0.10,0.01,-1.00,-16.94,-0.56,-3.71,0,0,0,21/12/2022 08:55:26
0.05,0.08,-0.97,-2.94,6.02,-8.40,0,0,0,21/12/2022 08:55:26
0.10,0.01,-0.98,13.65,18.41,-3.22,0,0,0,21/12/2022 08:55:26
0.16,-0.01,-1.00,19.60,16.24,-10.22,0,0,0,21/12/2022 08:55:26
0.18,-0.05,-1.00,23.38,13.72,-3.43,0,0,0,21/12/2022 08:55:26
0.21,-0.07,-0.96,15.96,12.67,-5.88,0,0,0,21/12/2022 08:55:26
0.25,-0.12,-1.02,20.79,15.40,-1.96,0,0,0,21/12/2022 08:55:26
0.19,-0.11,-0.96,-15.05,-12.53,-3.57,0,0,0,21/12/2022 08:55:26
0.23,-0.01,-0.96,52.92,1.05,-5.46,0,0,0,21/12/2022 08:55:26
0.16,-0.21,-0.96,3.01,-1.75,-2.80,0,0,0,21/12/2022 08:55:26
0.10,-0.06,-1.01,-2.45,-2.17,-5.32,0,0,0,21/12/2022 08:55:26
0.16,-0.19,-0.98,-22.68,-8.26,14.70,0,0,0,21/12/2022 08:55:26
0.16,-0.02,-0.98,-7.70,-2.10,-10.99,0,0,0,21/12/2022 08:55:26
0.40,-0.09,-0.99,38.22,7.35,-25.62,0,0,0,21/12/2022 08:55:26
0.33,-0.13,-0.91,34.65,9.66,-28.49,0,0,0,21/12/2022 08:55:27
0.20,-0.31,-1.00,31.15,7.28,4.06,0,0,0,21/12/2022 08:55:27
0.11,-0.29,-0.92,-6.65,-7.98,11.97,0,0,0,21/12/2022 08:55:27
0.00,-0.01,-1.01,-49.35,-10.22,33.46,0,0,0,21/12/2022 08:55:27
0.06,-0.07,-0.95,-22.82,-5.39,13.79,0,0,0,21/12/2022 08:55:27
0.37,0.04,-0.98,-6.79,-2.31,-37.31,0,0,0,21/12/2022 08:55:27
