ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
0.16,-0.27,-0.97,-11.76,-7.77,41.02,0,0,0,30/12/2022 03:35:47
0.13,-0.21,-0.98,-14.63,-19.11,64.47,0,0,0,30/12/2022 03:35:47
0.15,-0.43,-1.03,2.38,-25.27,-41.65,1,1,0,30/12/2022 03:35:47
0.10,-0.22,-0.96,-14.28,-3.22,17.29,0,0,1,30/12/2022 03:35:47
0.10,-0.22,-0.93,-14.98,1.05,9.38,0,0,0,30/12/2022 03:35:47
0.44,-0.18,-0.85,-155.75,-6.51,-39.83,0,0,0,30/12/2022 03:35:47
0.39,0.09,-0.77,-196.21,-9.80,-49.21,0,0,1,30/12/2022 03:35:47
-0.11,-0.02,-0.99,-47.32,-1.19,35.00,0,0,0,30/12/2022 03:35:48
-0.22,0.31,-1.28,14.98,-29.82,-2.94,0,0,0,30/12/2022 03:35:48
-0.25,0.08,-1.15,8.54,-35.70,93.94,0,0,0,30/12/2022 03:35:48
-0.14,0.60,-1.00,-19.67,-25.20,67.06,0,0,0,30/12/2022 03:35:48
0.00,0.50,-0.82,-1.40,-0.63,57.47,0,1,0,30/12/2022 03:35:48
0.06,0.52,-1.13,-10.43,4.69,10.71,0,0,0,30/12/2022 03:35:48
-0.02,0.26,-0.93,16.31,-14.63,5.46,0,0,1,30/12/2022 03:35:48
0.18,0.40,-0.83,-2.03,6.37,-13.37,0,0,1,30/12/2022 03:35:48
0.27,-0.04,-0.82,52.08,18.48,-37.03,1,3,1,30/12/2022 03:35:48
-0.25,0.40,-1.05,-3.92,-45.22,42.98,0,0,5,30/12/2022 03:35:48
-0.15,0.36,-0.86,-84.49,-10.50,64.05,0,1,0,30/12/2022 03:35:49
0.37,0.58,-0.81,-36.68,5.04,-2.66,5,1,0,30/12/2022 03:35:49
0.52,0.37,-0.81,2.03,46.97,-69.23,0,5,0,30/12/2022 03:35:49
0.34,-0.11,-1.04,71.33,29.19,-79.31,1,6,5,30/12/2022 03:35:49
-0.23,-0.21,-1.17,9.45,11.41,-9.80,3,8,4,30/12/2022 03:35:49
-0.27,0.29,-1.06,-67.55,-0.35,23.17,6,3,1,30/12/2022 03:35:49
-0.09,0.25,-1.03,11.34,-59.08,51.87,0,8,7,30/12/2022 03:35:49
0.34,0.41,-0.74,14.35,30.45,-15.33,0,1,9,30/12/2022 03:35:49
0.66,0.35,-1.06,47.67,48.44,-58.80,0,0,2,30/12/2022 03:35:49
-0.22,0.43,-1.04,-48.86,-31.57,75.32,0,0,0,30/12/2022 03:35:49
0.41,0.38,-0.75,25.13,30.24,-28.84,6,10,0,30/12/2022 03:35:49
0.55,0.12,-1.02,80.78,15.75,-59.64,0,0,0,30/12/2022 03:35:49
0.13,-0.29,-1.02,59.99,6.86,-56.35,0,0,0,30/12/2022 03:35:50
-0.29,-0.22,-1.15,21.28,-3.78,24.08,10,4,1,30/12/2022 03:35:50
0.25,0.96,-0.87,-191.87,-2.38,-12.88,0,0,0,30/12/2022 03:35:50
0.12,0.42,-0.83,-10.08,-18.97,-30.52,0,0,0,30/12/2022 03:35:50
0.36,0.09,-0.70,55.72,39.55,-31.15,0,0,0,30/12/2022 03:35:50
0.43,-0.17,-1.15,66.01,22.82,-36.19,0,0,0,30/12/2022 03:35:50
-0.07,-0.13,-1.29,59.36,-26.95,-7.28,0,0,0,30/12/2022 03:35:50
-0.43,0.08,-0.95,-17.71,-23.73,53.83,0,0,0,30/12/2022 03:35:50
0.01,0.73,-0.80,-81.06,-7.49,30.87,0,0,0,30/12/2022 03:35:50
0.39,0.38,-0.84,-5.39,18.69,-5.25,0,0,0,30/12/2022 03:35:50
0.48,0.21,-0.99,16.59,30.38,-45.43,0,0,0,30/12/2022 03:35:50
0.13,-0.16,-1.06,52.43,8.19,-51.03,0,0,2,30/12/2022 03:35:50
-0.27,-0.18,-1.19,31.78,-14.14,18.20,0,0,0,30/12/2022 03:35:50
-0.25,0.43,-1.03,-17.22,-26.88,66.92,0,0,4,30/12/2022 03:35:50
-0.00,0.41,-0.74,-62.09,-12.25,41.02,8,0,0,30/12/2022 03:35:50
0.39,0.47,-0.84,-22.12,19.67,-18.69,0,0,0,30/12/2022 03:35:50
0.62,0.18,-1.03,40.18,27.72,-59.15,0,0,0,30/12/2022 03:35:50
0.23,-0.22,-0.97,-7.07,28.21,-76.58,0,2,0,30/12/2022 03:35:51
-0.21,-0.06,-1.13,61.11,-26.81,19.81,1,0,0,30/12/2022 03:35:51
-0.41,0.16,-1.10,-24.92,-44.17,56.42,0,0,3,30/12/2022 03:35:51
-0.05,0.64,-0.79,-115.85,-34.86,69.23,0,0,0,30/12/2022 03:35:51
0.24,0.66,-0.78,-6.72,-6.86,-3.22,0,0,0,30/12/2022 03:35:51
0.57,0.29,-0.84,38.29,33.46,-59.43,0,0,2,30/12/2022 03:35:51
0.34,-0.32,-1.09,55.30,7.28,-53.90,0,0,0,30/12/2022 03:35:51
-0.17,-0.21,-1.10,-8.96,-8.40,-8.33,0,0,0,30/12/2022 03:35:51
0.01,0.04,-1.18,-36.96,-12.88,49.00,1,0,0,30/12/2022 03:35:51
0.25,0.32,-1.24,-90.79,-21.70,-1.75,0,0,1,30/12/2022 03:35:51
-0.07,0.20,-0.93,-81.13,-17.01,89.74,0,0,0,30/12/2022 03:35:51
0.24,1.21,-0.50,-77.63,88.20,-19.74,1,1,0,30/12/2022 03:35:51
0.25,0.55,-0.93,-66.50,38.92,-37.87,0,4,9,30/12/2022 03:35:52
0.31,0.68,-0.74,159.81,-18.06,43.26,0,0,0,30/12/2022 03:35:52
0.17,0.29,-0.74,226.17,-48.09,-28.77,0,0,0,30/12/2022 03:35:52
0.18,-0.20,-0.69,-36.05,47.67,-1.19,11,1,0,30/12/2022 03:35:52
0.63,0.51,-0.90,147.28,-28.77,33.18,0,0,2,30/12/2022 03:35:52
0.19,0.13,-0.88,-60.69,-40.53,-32.97,50,6,0,30/12/2022 03:35:52
0.23,0.87,-0.70,-73.01,-51.94,16.94,62,3,2,30/12/2022 03:35:52
0.01,0.48,-0.87,-16.94,-3.64,-30.45,20,0,0,30/12/2022 03:35:52
-0.04,0.49,-0.83,3.85,2.80,-3.99,112,0,0,30/12/2022 03:35:52
-0.02,0.58,-0.82,-2.94,1.12,-12.46,147,3,0,30/12/2022 03:35:53
-0.03,0.55,-0.79,19.04,-0.63,-2.80,161,0,0,30/12/2022 03:35:53
-0.04,0.49,-0.79,7.07,-6.58,-2.17,160,2,0,30/12/2022 03:35:53
0.00,0.60,-0.76,56.63,-9.52,3.15,20,0,1,30/12/2022 03:35:53
-0.08,0.39,-0.91,-11.55,0.70,2.87,0,3,3,30/12/2022 03:35:53
-0.10,0.39,-0.88,16.73,3.01,-8.26,0,0,0,30/12/2022 03:35:53
-0.05,0.41,-0.93,-0.49,3.78,0.98,0,0,0,30/12/2022 03:35:53
-0.06,0.46,-0.87,-8.75,0.35,-1.47,0,1,0,30/12/2022 03:35:53
-0.03,0.45,-0.87,-20.44,5.74,-3.15,0,0,2,30/12/2022 03:35:53
-0.05,0.45,-0.87,-28.84,17.08,0.63,0,12,0,30/12/2022 03:35:53
-0.04,0.55,-0.89,2.45,7.21,-1.68,0,14,0,30/12/2022 03:35:53
-0.02,0.47,-0.91,-3.64,-2.52,-5.11,7,297,225,30/12/2022 03:35:53
-0.06,0.44,-0.85,6.23,-0.98,-8.26,0,441,325,30/12/2022 03:35:53
-0.03,0.46,-0.92,-9.87,11.90,-17.43,2,469,306,30/12/2022 03:35:53
-0.00,0.42,-0.87,-2.17,-0.42,0.91,1,388,346,30/12/2022 03:35:54
0.12,0.53,-0.87,-12.32,-3.08,6.65,2,390,346,30/12/2022 03:35:54
-0.09,0.46,-0.72,24.57,0.84,-8.47,1,398,313,30/12/2022 03:35:54
-0.07,0.42,-0.90,63.84,30.66,-0.84,3,468,239,30/12/2022 03:35:54
-0.01,0.26,-1.06,47.04,-12.04,-5.53,76,470,221,30/12/2022 03:35:54
-0.02,0.20,-0.95,9.80,-8.05,-2.59,76,464,196,30/12/2022 03:35:54
0.02,0.25,-0.96,20.51,-3.64,0.14,86,439,173,30/12/2022 03:35:54
0.03,0.21,-0.98,1.54,-1.82,-4.62,7,390,93,30/12/2022 03:35:54
