ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.01,0.05,1.00,0.14,-1.89,0.63,26,25,16,19/11/2022 09:54:28
-0.01,0.05,1.00,0.14,-1.89,0.63,219,215,275,19/11/2022 09:54:28
-0.01,0.05,1.00,0.28,-1.96,0.70,33,33,32,19/11/2022 09:54:28
-0.01,0.05,1.00,0.14,-1.96,0.70,115,116,141,19/11/2022 09:54:28
-0.01,0.05,1.00,0.14,-1.82,0.70,176,174,223,19/11/2022 09:54:28
-0.01,0.05,1.00,0.21,-1.89,0.70,29,32,28,19/11/2022 09:54:28
-0.01,0.05,1.00,0.21,-1.96,0.63,173,171,213,19/11/2022 09:54:28
-0.01,0.05,1.00,0.14,-1.89,0.70,229,223,286,19/11/2022 09:54:28
-0.01,0.05,1.00,0.14,-2.03,0.70,17,18,10,19/11/2022 09:54:29
-0.01,0.05,1.00,0.21,-1.89,0.63,182,178,223,19/11/2022 09:54:29
-0.01,0.05,1.00,0.07,-2.03,0.70,167,164,206,19/11/2022 09:54:29
-0.01,0.05,1.00,0.21,-1.96,0.63,0,2,0,19/11/2022 09:54:29
-0.01,0.05,1.00,0.14,-1.89,0.63,205,202,256,19/11/2022 09:54:29
-0.01,0.05,1.00,0.28,-1.96,0.63,72,71,83,19/11/2022 09:54:29
-0.01,0.05,1.00,0.21,-1.96,0.56,123,121,150,19/11/2022 09:54:29
-0.01,0.05,1.00,0.21,-1.89,0.63,170,169,216,19/11/2022 09:54:29
-0.01,0.05,1.00,0.14,-1.89,0.70,5,9,0,19/11/2022 09:54:29
-0.01,0.05,1.00,0.21,-1.89,0.70,226,224,287,19/11/2022 09:54:29
-0.01,0.05,1.00,0.28,-1.89,0.70,35,34,35,19/11/2022 09:54:29
-0.01,0.05,1.00,0.28,-1.89,0.77,71,75,86,19/11/2022 09:54:29
-0.01,0.05,1.00,0.07,-1.89,0.77,214,210,270,19/11/2022 09:54:29
-0.01,0.05,1.00,0.07,-1.96,0.63,0,2,0,19/11/2022 09:54:29
-0.01,0.05,1.00,0.14,-1.89,0.70,44,50,48,19/11/2022 09:54:29
-0.01,0.05,1.00,0.21,-1.89,0.63,100,100,121,19/11/2022 09:54:29
-0.01,0.05,1.00,0.14,-1.89,0.77,154,154,192,19/11/2022 09:54:30
