ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.00,0.03,1.00,0.21,-1.96,0.63,77,88,97,09/11/2022 08:12:19
-0.01,0.03,1.01,0.21,-1.96,0.63,107,90,100,09/11/2022 08:12:19
-0.01,0.03,1.01,0.21,-2.10,0.49,236,164,274,09/11/2022 08:12:19
-0.00,0.03,1.01,0.14,-1.96,0.56,5,47,0,09/11/2022 08:12:19
-0.00,0.03,1.01,0.14,-1.96,0.63,258,165,274,09/11/2022 08:12:19
-0.01,0.03,1.00,0.21,-2.03,0.63,276,186,302,09/11/2022 08:12:19
-0.00,0.03,1.01,0.14,-2.03,0.63,5,49,3,09/11/2022 08:12:19
-0.00,0.03,1.00,0.07,-1.96,0.56,245,161,261,09/11/2022 08:12:19
-0.01,0.03,1.00,0.21,-2.03,0.63,94,98,123,09/11/2022 08:12:19
-0.00,0.02,1.00,0.28,-1.96,0.56,94,84,81,09/11/2022 08:12:19
-0.01,0.03,1.00,0.14,-2.03,0.56,245,170,286,09/11/2022 08:12:19
-0.00,0.03,1.00,-0.35,-2.10,0.56,5,46,0,09/11/2022 08:12:19
-0.00,0.03,1.00,0.28,-1.89,0.49,249,162,265,09/11/2022 08:12:19
-0.00,0.03,1.01,-0.49,-2.17,0.63,83,92,108,09/11/2022 08:12:19
-0.01,0.03,1.00,-0.28,-1.96,0.56,24,54,28,09/11/2022 08:12:19
-0.00,0.02,1.01,-0.07,-2.03,0.63,191,132,192,09/11/2022 08:12:19
-0.00,0.03,1.00,0.00,-1.82,0.63,189,139,208,09/11/2022 08:12:19
-0.00,0.02,1.00,0.28,-1.75,0.63,29,56,20,09/11/2022 08:12:20
-0.00,0.02,1.00,0.14,-1.96,0.63,279,179,312,09/11/2022 08:12:20
-0.00,0.03,1.00,0.35,-1.89,0.63,31,61,22,09/11/2022 08:12:20
-0.01,0.03,1.00,0.35,-1.89,0.49,241,160,260,09/11/2022 08:12:20
-0.01,0.03,1.01,0.42,-1.82,0.49,64,79,68,09/11/2022 08:12:20
-0.00,0.03,1.01,0.35,-1.82,0.49,118,98,117,09/11/2022 08:12:20
-0.00,0.03,1.01,0.49,-1.89,0.56,144,115,155,09/11/2022 08:12:20
-0.00,0.03,1.00,0.28,-1.96,0.56,0,39,0,09/11/2022 08:12:20
-0.00,0.03,1.00,0.07,-2.03,0.49,264,169,282,09/11/2022 08:12:20
-0.00,0.02,1.01,0.07,-2.03,0.56,175,135,190,09/11/2022 08:12:20
-0.01,0.02,1.00,0.21,-1.96,0.49,44,64,40,09/11/2022 08:12:20
-0.01,0.03,1.01,0.14,-2.10,0.56,280,180,304,09/11/2022 08:12:20
-0.00,0.02,1.00,0.14,-1.89,0.56,239,169,262,09/11/2022 08:12:20
-0.00,0.02,1.00,0.07,-2.03,0.56,18,55,11,09/11/2022 08:12:20
-0.01,0.03,1.00,0.14,-2.03,0.63,282,179,304,09/11/2022 08:12:20
-0.01,0.02,1.00,0.21,-2.24,0.56,14,52,10,09/11/2022 08:12:20
-0.00,0.02,1.00,-0.07,-1.82,0.63,280,179,298,09/11/2022 08:12:21
-0.00,0.02,1.01,0.00,-1.89,0.63,33,63,29,09/11/2022 08:12:21
-0.00,0.03,1.00,0.14,-1.82,0.63,170,123,172,09/11/2022 08:12:21
-0.01,0.02,1.00,0.21,-1.82,0.63,200,143,216,09/11/2022 08:12:21
-0.00,0.02,1.00,0.14,-1.96,0.63,29,57,24,09/11/2022 08:12:21
