ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.02,0.03,1.00,0.49,-1.96,0.70,58,68,59,19/11/2022 09:42:19
-0.01,0.03,1.00,0.21,-2.03,0.70,254,163,323,19/11/2022 09:42:19
-0.02,0.03,1.00,0.49,-2.03,0.63,80,86,97,19/11/2022 09:42:19
-0.02,0.02,1.01,0.42,-1.89,0.70,13,49,11,19/11/2022 09:42:19
-0.01,0.03,1.00,0.28,-1.89,0.70,220,146,280,19/11/2022 09:42:19
-0.01,0.02,1.00,0.21,-1.96,0.63,247,165,312,19/11/2022 09:42:19
-0.02,0.03,1.00,0.21,-1.89,0.70,248,167,313,19/11/2022 09:42:19
-0.01,0.03,1.00,0.21,-1.96,0.63,7,51,4,19/11/2022 09:42:19
-0.02,0.03,1.00,0.21,-1.96,0.70,220,147,279,19/11/2022 09:42:19
-0.02,0.03,1.00,0.07,-1.89,0.56,194,140,248,19/11/2022 09:42:20
-0.01,0.03,1.00,0.07,-1.96,0.70,121,106,152,19/11/2022 09:42:20
-0.01,0.03,1.01,-17.64,-1.68,0.70,66,75,77,19/11/2022 09:42:20
-0.01,0.03,1.00,0.35,-1.89,0.70,256,166,323,19/11/2022 09:42:20
-0.01,0.02,1.00,0.49,-2.03,0.70,25,60,24,19/11/2022 09:42:20
-0.01,0.03,1.00,0.63,-1.96,0.63,171,124,216,19/11/2022 09:42:20
-0.01,0.02,0.99,0.28,-1.96,0.70,163,124,206,19/11/2022 09:42:20
-0.01,0.03,1.00,4.41,-2.73,0.70,33,61,33,19/11/2022 09:42:20
-0.02,0.03,1.01,0.42,-2.17,0.63,92,85,113,19/11/2022 09:42:20
-0.02,0.03,1.00,0.07,-1.96,0.70,256,165,324,19/11/2022 09:42:20
-0.01,0.03,1.00,0.14,-1.96,0.70,164,127,204,19/11/2022 09:42:20
-0.02,0.03,1.00,0.07,-1.96,0.63,2,45,0,19/11/2022 09:42:20
-0.01,0.03,1.00,0.07,-1.96,0.70,64,70,72,19/11/2022 09:42:20
-0.01,0.03,1.00,0.07,-1.96,0.63,253,163,323,19/11/2022 09:42:20
-0.01,0.03,1.01,0.00,-1.96,0.63,0,46,0,19/11/2022 09:42:20
-0.01,0.03,1.00,0.00,-1.89,0.70,236,154,300,19/11/2022 09:42:20
-0.01,0.03,1.00,0.07,-1.96,0.70,168,128,211,19/11/2022 09:42:20
-0.01,0.03,1.00,0.00,-2.10,0.70,109,100,135,19/11/2022 09:42:21
-0.02,0.03,1.00,-0.07,-2.03,0.56,216,150,277,19/11/2022 09:42:21
-0.01,0.03,1.00,0.07,-1.89,0.63,150,120,188,19/11/2022 09:42:21
-0.02,0.03,1.00,0.07,-1.89,0.77,82,86,100,19/11/2022 09:42:21
