ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.01,0.04,1.01,0.42,-2.03,0.63,195,137,204,19/11/2022 09:43:34
-0.01,0.04,1.00,0.21,-2.10,0.63,236,164,262,19/11/2022 09:43:34
-0.01,0.04,1.00,0.28,-1.89,0.63,71,85,80,19/11/2022 09:43:34
-0.01,0.04,1.00,0.42,-2.10,0.70,100,92,106,19/11/2022 09:43:34
-0.01,0.04,1.01,0.49,-2.31,0.63,186,139,208,19/11/2022 09:43:34
-0.01,0.04,1.00,0.14,-1.89,0.70,11,51,7,19/11/2022 09:43:35
-0.01,0.05,1.00,-0.70,-1.61,0.70,238,162,263,19/11/2022 09:43:35
-0.01,0.04,1.01,0.14,-1.89,0.63,66,81,71,19/11/2022 09:43:35
-0.01,0.04,1.00,0.28,-1.89,0.70,107,95,109,19/11/2022 09:43:35
-0.01,0.04,1.00,0.21,-2.03,0.70,222,156,248,19/11/2022 09:43:35
-0.01,0.04,1.00,0.14,-1.96,0.56,158,127,174,19/11/2022 09:43:35
-0.01,0.04,1.00,0.35,-1.82,0.63,14,53,13,19/11/2022 09:43:35
-0.01,0.04,1.02,0.98,-1.40,0.70,238,160,262,19/11/2022 09:43:35
-0.01,0.04,1.01,0.56,-1.82,0.56,81,87,89,19/11/2022 09:43:35
-0.01,0.04,1.00,0.28,-1.89,0.70,96,89,99,19/11/2022 09:43:35
-0.01,0.04,1.01,0.35,-1.96,0.63,230,159,260,19/11/2022 09:43:35
-0.01,0.04,1.00,0.28,-1.96,0.63,1,46,0,19/11/2022 09:43:35
-0.01,0.04,1.00,0.35,-1.89,0.70,237,158,262,19/11/2022 09:43:35
-0.01,0.04,1.00,0.35,-1.82,0.77,183,138,199,19/11/2022 09:43:35
-0.01,0.04,1.00,0.28,-2.03,0.63,64,77,64,19/11/2022 09:43:35
-0.01,0.04,1.00,0.28,-1.96,0.70,261,173,291,19/11/2022 09:43:35
-0.01,0.04,1.00,0.35,-1.96,0.56,14,55,9,19/11/2022 09:43:36
-0.01,0.04,1.00,0.28,-1.96,0.63,223,152,243,19/11/2022 09:43:36
-0.01,0.04,1.00,0.28,-1.96,0.63,128,110,143,19/11/2022 09:43:36
-0.01,0.04,1.00,0.14,-1.96,0.63,65,76,63,19/11/2022 09:43:36
-0.01,0.04,1.01,0.21,-2.03,0.63,259,171,289,19/11/2022 09:43:36
-0.01,0.04,1.00,0.28,-1.96,0.63,15,53,8,19/11/2022 09:43:36
-0.01,0.04,1.00,0.35,-1.89,0.70,222,152,246,19/11/2022 09:43:36
-0.01,0.04,1.00,0.21,-1.96,0.63,126,110,137,19/11/2022 09:43:36
-0.01,0.04,1.00,0.21,-2.10,0.63,67,78,70,19/11/2022 09:43:36
-0.01,0.04,1.01,0.28,-1.96,0.70,257,171,290,19/11/2022 09:43:36
-0.01,0.04,1.00,0.21,-1.96,0.63,9,52,8,19/11/2022 09:43:36
-0.01,0.04,1.00,0.28,-1.89,0.70,227,154,251,19/11/2022 09:43:36
-0.01,0.04,1.00,0.21,-1.89,0.63,123,109,135,19/11/2022 09:43:36
-0.01,0.04,1.00,0.28,-1.96,0.63,69,77,69,19/11/2022 09:43:36
-0.01,0.04,1.00,0.28,-1.96,0.77,257,171,288,19/11/2022 09:43:36
-0.01,0.04,1.00,0.28,-1.96,0.70,13,52,6,19/11/2022 09:43:36
-0.01,0.04,1.00,0.21,-1.96,0.63,224,152,248,19/11/2022 09:43:36
-0.01,0.04,1.00,0.21,-1.96,0.56,121,109,135,19/11/2022 09:43:37
-0.01,0.04,1.00,0.21,-1.96,0.70,69,78,72,19/11/2022 09:43:37
-0.01,0.04,1.00,0.28,-1.96,0.70,256,171,287,19/11/2022 09:43:37
-0.01,0.04,1.00,0.28,-1.96,0.63,10,52,3,19/11/2022 09:43:37
-0.01,0.04,1.00,0.28,-1.89,0.77,226,154,251,19/11/2022 09:43:37
-0.01,0.04,1.00,0.21,-1.96,0.63,116,106,130,19/11/2022 09:43:37
-0.01,0.04,1.00,0.21,-1.96,0.63,72,81,75,19/11/2022 09:43:37
-0.01,0.04,1.00,0.14,-1.96,0.56,256,171,285,19/11/2022 09:43:37
-0.01,0.04,1.00,0.14,-1.96,0.70,12,54,6,19/11/2022 09:43:37
-0.01,0.04,1.01,0.21,-1.96,0.63,226,155,253,19/11/2022 09:43:37
-0.01,0.04,1.00,0.35,-1.96,0.63,119,109,132,19/11/2022 09:43:37
-0.01,0.04,1.00,0.28,-1.96,0.70,73,83,78,19/11/2022 09:43:37
-0.01,0.04,1.00,0.14,-1.96,0.70,258,174,287,19/11/2022 09:43:37
-0.01,0.04,1.01,0.07,-1.89,0.63,7,52,3,19/11/2022 09:43:37
-0.01,0.04,1.00,0.14,-1.96,0.63,229,156,254,19/11/2022 09:43:37
-0.01,0.04,1.00,0.28,-1.96,0.70,115,105,129,19/11/2022 09:43:37
-0.01,0.04,1.00,0.21,-2.03,0.63,75,84,78,19/11/2022 09:43:38
-0.01,0.04,1.00,0.28,-1.82,0.70,254,170,283,19/11/2022 09:43:38
-0.01,0.04,1.00,0.14,-2.10,0.63,8,52,3,19/11/2022 09:43:38
-0.01,0.04,1.00,0.14,-1.96,0.63,229,155,253,19/11/2022 09:43:38
-0.01,0.04,1.00,0.35,-1.96,0.70,115,106,124,19/11/2022 09:43:38
-0.01,0.04,1.01,0.14,-1.89,0.70,73,81,79,19/11/2022 09:43:38
-0.01,0.04,1.00,0.14,-1.96,0.63,256,171,287,19/11/2022 09:43:38
-0.01,0.04,1.00,0.21,-2.10,0.63,37,67,38,19/11/2022 09:43:38
-0.01,0.04,1.00,0.28,-1.89,0.63,229,157,254,19/11/2022 09:43:38
-0.01,0.04,1.00,0.21,-1.96,0.63,110,104,124,19/11/2022 09:43:38
-0.01,0.03,0.99,1.61,-2.03,0.70,76,81,80,19/11/2022 09:43:38
-0.01,0.04,1.00,-0.56,-3.78,0.77,255,170,284,19/11/2022 09:43:38
-0.01,0.04,1.00,-0.28,-2.10,0.63,7,51,1,19/11/2022 09:43:38
-0.01,0.04,1.00,0.07,-2.10,0.63,227,154,252,19/11/2022 09:43:38
-0.01,0.04,1.01,0.00,-2.03,0.63,114,104,123,19/11/2022 09:43:38
-0.01,0.04,1.00,0.14,-2.03,0.63,74,80,79,19/11/2022 09:43:38
-0.01,0.04,1.01,0.21,-2.10,0.70,255,171,284,19/11/2022 09:43:38
-0.01,0.04,1.00,0.21,-1.89,0.70,5,51,3,19/11/2022 09:43:39
-0.01,0.04,1.00,0.14,-2.03,0.63,228,153,250,19/11/2022 09:43:39
-0.01,0.04,1.01,0.14,-2.10,0.70,110,103,124,19/11/2022 09:43:39
-0.01,0.04,1.00,0.28,-2.03,0.63,74,80,75,19/11/2022 09:43:39
