ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.02,0.03,1.00,0.56,-2.03,0.70,84,88,94,02/11/2022 12:26:48
-0.01,0.04,1.01,1.89,-2.38,0.77,184,136,234,02/11/2022 12:26:48
-0.02,0.03,1.00,-0.42,-1.54,0.70,63,81,77,02/11/2022 12:26:48
-0.01,0.03,1.00,-0.14,-1.96,0.70,332,205,423,02/11/2022 12:26:48
-0.02,0.03,1.01,-0.35,-1.82,0.63,28,71,27,02/11/2022 12:26:48
-0.02,0.03,1.01,-0.35,-1.68,0.70,269,175,338,02/11/2022 12:26:48
-0.02,0.03,1.00,-0.07,-1.89,0.70,284,192,360,02/11/2022 12:26:48
-0.02,0.03,1.01,0.42,-2.03,0.77,0,55,0,02/11/2022 12:26:48
-0.02,0.03,1.00,0.70,-2.03,0.70,303,190,385,02/11/2022 12:26:49
-0.02,0.03,1.01,1.47,-1.75,0.70,64,89,81,02/11/2022 12:26:49
-0.02,0.03,1.02,1.26,-2.52,0.70,145,118,179,02/11/2022 12:26:49
-0.02,0.03,1.01,0.00,-1.82,0.70,304,201,395,02/11/2022 12:26:49
-0.02,0.03,1.00,0.07,-1.89,0.70,0,59,0,02/11/2022 12:26:49
-0.02,0.03,1.01,0.14,-1.89,0.63,320,199,408,02/11/2022 12:26:49
-0.02,0.03,1.00,0.14,-1.82,0.70,0,56,0,02/11/2022 12:26:49
-0.02,0.03,1.01,0.07,-1.89,0.70,305,191,387,02/11/2022 12:26:49
-0.02,0.03,1.01,0.07,-1.82,0.70,227,166,286,02/11/2022 12:26:49
-0.02,0.03,1.01,0.14,-1.89,0.70,39,75,47,02/11/2022 12:26:49
-0.02,0.03,1.01,0.00,-1.82,0.77,320,201,400,02/11/2022 12:26:49
-0.02,0.03,1.01,0.00,-1.89,0.70,53,86,69,02/11/2022 12:26:49
-0.02,0.03,1.01,0.14,-1.82,0.77,167,129,211,02/11/2022 12:26:49
-0.02,0.03,1.00,0.07,-1.89,0.70,260,176,332,02/11/2022 12:26:49
-0.02,0.03,1.01,0.14,-1.89,0.63,0,55,0,02/11/2022 12:26:49
-0.02,0.03,1.00,0.07,-1.96,0.70,291,186,375,02/11/2022 12:26:49
-0.02,0.03,1.00,0.07,-1.82,0.77,181,145,229,02/11/2022 12:26:49
-0.02,0.03,1.00,0.14,-1.89,0.63,19,63,24,02/11/2022 12:26:50
-0.02,0.03,1.01,0.00,-1.89,0.84,341,208,431,02/11/2022 12:26:50
-0.02,0.03,1.01,0.07,-1.68,0.70,23,70,26,02/11/2022 12:26:50
-0.02,0.03,1.00,0.07,-1.82,0.70,295,189,376,02/11/2022 12:26:50
-0.02,0.03,1.00,0.14,-1.75,0.63,92,102,116,02/11/2022 12:26:50
-0.02,0.03,1.01,0.14,-1.89,0.77,265,176,333,02/11/2022 12:26:50
-0.02,0.03,1.00,0.07,-1.89,0.77,39,76,39,02/11/2022 12:26:50
-0.02,0.03,1.01,0.07,-1.75,0.77,240,164,303,02/11/2022 12:26:50
-0.02,0.03,1.00,0.07,-1.96,0.77,210,157,268,02/11/2022 12:26:50
-0.02,0.03,1.00,0.00,-1.82,0.84,45,79,54,02/11/2022 12:26:50
-0.02,0.04,1.00,0.14,-1.82,0.77,306,195,391,02/11/2022 12:26:50
-0.02,0.03,1.01,0.14,-1.82,0.77,1,57,0,02/11/2022 12:26:50
-0.02,0.04,1.00,0.07,-1.75,0.70,304,190,381,02/11/2022 12:26:50
