ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.14,-0.65,0.83,170.66,18.97,-21.98,1000,2000,3000,26/10/2022 10:57:29
-0.04,0.01,0.99,137.13,-47.39,11.20,1000,2000,3000,26/10/2022 10:57:29
0.09,0.32,1.00,-105.84,7.84,-5.46,1000,2000,3000,26/10/2022 10:57:30
0.01,-0.45,0.92,-250.11,-64.54,-4.83,1000,2000,3000,26/10/2022 10:57:30
0.26,-0.82,0.55,28.14,-68.81,-32.62,1000,2000,3000,26/10/2022 10:57:30
0.23,0.21,1.04,374.64,60.48,-21.77,1000,2000,3000,26/10/2022 10:57:30
0.31,0.79,0.67,87.36,-24.71,-45.64,1000,2000,3000,26/10/2022 10:57:30
0.21,0.62,0.77,-241.43,10.71,-7.00,1000,2000,3000,26/10/2022 10:57:31
0.03,-0.33,1.02,-277.20,-61.53,27.16,1000,2000,3000,26/10/2022 10:57:31
0.23,-0.65,0.64,12.46,-60.97,-3.99,1000,2000,3000,26/10/2022 10:57:31
0.32,-0.46,0.77,121.52,-47.46,-41.23,1000,2000,3000,26/10/2022 10:57:31
0.32,0.46,0.91,401.03,85.89,-38.22,1000,2000,3000,26/10/2022 10:57:31
0.32,0.76,0.72,-28.35,0.56,-18.27,1000,2000,3000,26/10/2022 10:57:32
0.07,0.21,0.81,-403.83,137.13,-8.47,1000,2000,3000,26/10/2022 10:57:32
-0.10,-0.65,0.89,-132.09,-13.02,-14.77,1000,2000,3000,26/10/2022 10:57:32
0.13,-0.69,0.56,-8.26,-45.99,5.46,1000,2000,3000,26/10/2022 10:57:32
0.11,-0.44,0.92,240.73,-12.81,-23.38,1000,2000,3000,26/10/2022 10:57:32
0.02,0.14,1.11,-22.05,53.41,-13.93,1000,2000,3000,26/10/2022 10:57:33
0.02,-0.06,1.00,-8.82,-18.27,-9.59,1000,2000,3000,26/10/2022 10:57:33
-0.02,0.02,0.99,-5.46,-1.82,1.47,1000,2000,3000,26/10/2022 10:57:33
-0.02,0.02,1.00,0.00,-2.03,0.56,1000,2000,3000,26/10/2022 10:57:33
-0.02,0.02,1.00,0.28,-1.96,0.56,1000,2000,3000,26/10/2022 10:57:33
-0.03,0.02,1.00,0.98,-2.03,0.63,1000,2000,3000,26/10/2022 10:57:34
-0.03,0.02,1.01,0.21,-2.17,0.63,1000,2000,3000,26/10/2022 10:57:34
-0.02,0.02,1.00,0.00,-2.17,0.56,1000,2000,3000,26/10/2022 10:57:34
-0.02,0.02,1.00,0.21,-1.89,0.49,1000,2000,3000,26/10/2022 10:57:34
-0.02,0.02,1.00,0.07,-1.89,0.56,1000,2000,3000,26/10/2022 10:57:35
-0.02,0.02,1.00,-0.14,-1.96,0.56,1000,2000,3000,26/10/2022 10:57:35
-0.02,0.02,1.01,1.89,-1.54,0.63,1000,2000,3000,26/10/2022 10:57:35
-0.02,0.02,1.00,1.33,-1.75,0.56,1000,2000,3000,26/10/2022 10:57:35
